Mode,Depth,Div,kappa,tau_scalar,tau_vec,delta,NL_Threshold
approx,6,4,3.524104066318779e-05,4.217736890475971e-08,3.5563712512977315e-08,6.613656391782396e-09,639423.1313312651
exact,6,4,5.254114884506549e-05,2.4420673631022925e-08,1.3082379927118105e-08,1.133829370390482e-08,556074.6639713951
