Estimator,A,B,r2_curve,n_grid_points
moment_quant_exact_intervals,1.608545944733939e-05,0.00013702473410498066,0.9760383509750804,50
moment_quant_approx_intervals,5.421630926700518e-05,0.0003066075869837782,0.8611022440204816,50
