Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
ECG200,train,100,96,moment_quant_exact_samples,5,0.006690833000902785
ECG200,test,100,96,moment_quant_exact_samples,5,0.005199541999900248
ECG200,train,100,96,moment_quant_approx_samples,7,0.020052791998750763
ECG200,test,100,96,moment_quant_approx_samples,7,0.018672457998036407
ECG200,train,100,96,quant_float64,8,0.025155791998258792
ECG200,test,100,96,quant_float64,8,0.023500375002186047
ECG200,train,100,96,moment_quant_approx_auto,8,0.02014408399918466
ECG200,test,100,96,moment_quant_approx_auto,8,0.018822165999154095
ECG200,train,100,96,moment_quant_approx_samples,0,0.020122083002206637
ECG200,test,100,96,moment_quant_approx_samples,0,0.01890287500282284
ECG200,train,100,96,moment_quant_approx_samples,2,0.019959416997153312
ECG200,test,100,96,moment_quant_approx_samples,2,0.01881324999703793
ECG200,train,100,96,moment_quant_approx_samples,1,0.02016991699929349
ECG200,test,100,96,moment_quant_approx_samples,1,0.018731583000771934
ECG200,train,100,96,moment_quant_exact_auto,9,0.007412582999677397
ECG200,test,100,96,moment_quant_exact_auto,9,0.006070333998650312
ECG200,train,100,96,moment_quant_exact_intervals,8,0.010385791996668559
ECG200,test,100,96,moment_quant_exact_intervals,8,0.008969999998953426
ECG200,train,100,96,moment_quant_exact_samples,6,0.006945583001652267
ECG200,test,100,96,moment_quant_exact_samples,6,0.006298666998191038
ECG200,train,100,96,moment_quant_exact_intervals,5,0.010259249997034203
ECG200,test,100,96,moment_quant_exact_intervals,5,0.009081500000320375
ECG200,train,100,96,moment_quant_approx_auto,5,0.02029562499956228
ECG200,test,100,96,moment_quant_approx_auto,5,0.019015834001038456
ECG200,train,100,96,moment_quant_approx_samples,3,0.01992574999894714
ECG200,test,100,96,moment_quant_approx_samples,3,0.018786209002428222
ECG200,train,100,96,moment_quant_exact_intervals,1,0.01029312500031665
ECG200,test,100,96,moment_quant_exact_intervals,1,0.008960000002844026
ECG200,train,100,96,quant_float64,2,0.024694915999134537
ECG200,test,100,96,quant_float64,2,0.023554707997391233
ECG200,train,100,96,moment_quant_approx_samples,6,0.02022933300031582
ECG200,test,100,96,moment_quant_approx_samples,6,0.018909791000623954
ECG200,train,100,96,quant_float64,9,0.024691833998076618
ECG200,test,100,96,quant_float64,9,0.023352416999841807
ECG200,train,100,96,moment_quant_exact_intervals,4,0.010431833001348423
ECG200,test,100,96,moment_quant_exact_intervals,4,0.008977458001027117
ECG200,train,100,96,moment_quant_exact_intervals,9,0.010232708002149593
ECG200,test,100,96,moment_quant_exact_intervals,9,0.008940540999901714
ECG200,train,100,96,moment_quant_approx_intervals,1,0.026135333002457628
ECG200,test,100,96,moment_quant_approx_intervals,1,0.02482383299866342
ECG200,train,100,96,moment_quant_approx_samples,4,0.02004224999836879
ECG200,test,100,96,moment_quant_approx_samples,4,0.018754000000626547
ECG200,train,100,96,moment_quant_exact_intervals,0,0.010375874997407664
ECG200,test,100,96,moment_quant_exact_intervals,0,0.008965375000116182
ECG200,train,100,96,moment_quant_exact_samples,4,0.006544916999700945
ECG200,test,100,96,moment_quant_exact_samples,4,0.006730082997819409
ECG200,train,100,96,quant_float64,5,0.02486016699913307
ECG200,test,100,96,quant_float64,5,0.0234855000016978
ECG200,train,100,96,moment_quant_approx_auto,3,0.02015258300161804
ECG200,test,100,96,moment_quant_approx_auto,3,0.018872083001042483
ECG200,train,100,96,moment_quant_approx_intervals,4,0.026311749999877065
ECG200,test,100,96,moment_quant_approx_intervals,4,0.024869582997780526
ECG200,train,100,96,moment_quant_approx_auto,7,0.02004345800014562
ECG200,test,100,96,moment_quant_approx_auto,7,0.01877049999893643
ECG200,train,100,96,moment_quant_exact_samples,0,0.006310332999419188
ECG200,test,100,96,moment_quant_exact_samples,0,0.004867334002483403
ECG200,train,100,96,moment_quant_exact_samples,3,0.006362874999467749
ECG200,test,100,96,moment_quant_exact_samples,3,0.004977417000191053
Wafer,train,1000,152,moment_quant_exact_auto,8,0.054714707999664824
Wafer,test,6164,152,moment_quant_exact_auto,8,0.318824666999717
Wafer,train,1000,152,moment_quant_approx_intervals,6,0.08212420800191467
Wafer,test,6164,152,moment_quant_approx_intervals,6,0.4812679999995453
Wafer,train,1000,152,moment_quant_exact_samples,5,0.055590708998352056
Wafer,test,6164,152,moment_quant_exact_samples,5,0.3217618329981633
Wafer,train,1000,152,moment_quant_exact_auto,6,0.06057158399926266
Wafer,test,6164,152,moment_quant_exact_auto,6,0.32563391700023203
Wafer,train,1000,152,moment_quant_exact_samples,6,0.055974708000576356
Wafer,test,6164,152,moment_quant_exact_samples,6,0.31427283299854025
Wafer,train,1000,152,moment_quant_exact_auto,2,0.056521250000514556
Wafer,test,6164,152,moment_quant_exact_auto,2,0.31060525000066264
Wafer,train,1000,152,moment_quant_exact_intervals,3,0.0659282919987163
Wafer,test,6164,152,moment_quant_exact_intervals,3,0.4140538329993433
Wafer,train,1000,152,moment_quant_exact_intervals,2,0.06752725000114879
Wafer,test,6164,152,moment_quant_exact_intervals,2,0.4189867079985561
Wafer,train,1000,152,quant_float64,0,0.10350383400145802
Wafer,test,6164,152,quant_float64,0,0.4542990000009013
Wafer,train,1000,152,moment_quant_approx_intervals,5,0.08328091699877405
Wafer,test,6164,152,moment_quant_approx_intervals,5,0.48424291599803837
Wafer,train,1000,152,moment_quant_exact_samples,4,0.058394540999870514
Wafer,test,6164,152,moment_quant_exact_samples,4,0.30591008299961686
Wafer,train,1000,152,moment_quant_exact_samples,7,0.05563020800036611
Wafer,test,6164,152,moment_quant_exact_samples,7,0.327255125001102
Wafer,train,1000,152,quant_float64,5,0.10294566599986865
Wafer,test,6164,152,quant_float64,5,0.4475955000016256
Wafer,train,1000,152,moment_quant_exact_intervals,5,0.06589437499860651
Wafer,test,6164,152,moment_quant_exact_intervals,5,0.42172629100241465
Wafer,train,1000,152,quant_float64,7,0.11009279200152378
Wafer,test,6164,152,quant_float64,7,0.4505066249985248
Wafer,train,1000,152,moment_quant_exact_samples,1,0.05687204100104282
Wafer,test,6164,152,moment_quant_exact_samples,1,0.33893141700173146
Wafer,train,1000,152,moment_quant_approx_auto,8,0.05009224999957951
Wafer,test,6164,152,moment_quant_approx_auto,8,0.21215524999934132
Wafer,train,1000,152,moment_quant_exact_intervals,1,0.06878074999985984
Wafer,test,6164,152,moment_quant_exact_intervals,1,0.4391036670022004
Wafer,train,1000,152,moment_quant_approx_auto,5,0.049997165999229765
Wafer,test,6164,152,moment_quant_approx_auto,5,0.20729004200256895
Wafer,train,1000,152,moment_quant_exact_intervals,7,0.06879774999833899
Wafer,test,6164,152,moment_quant_exact_intervals,7,0.43309687500004657
Wafer,train,1000,152,moment_quant_approx_auto,0,0.048033582999778446
Wafer,test,6164,152,moment_quant_approx_auto,0,0.21088495799995144
Wafer,train,1000,152,quant_float64,9,0.1176233330006653
Wafer,test,6164,152,quant_float64,9,0.47788008299903595
Wafer,train,1000,152,moment_quant_approx_samples,3,0.05174770799931139
Wafer,test,6164,152,moment_quant_approx_samples,3,0.2071395000020857
Wafer,train,1000,152,moment_quant_approx_auto,3,0.0504138750002312
Wafer,test,6164,152,moment_quant_approx_auto,3,0.2091287499970349
Wafer,train,1000,152,moment_quant_exact_samples,3,0.05630558400298469
Wafer,test,6164,152,moment_quant_exact_samples,3,0.308309249998274
Wafer,train,1000,152,moment_quant_approx_samples,9,0.0498474170017289
Wafer,test,6164,152,moment_quant_approx_samples,9,0.209822124998027
Wafer,train,1000,152,moment_quant_approx_intervals,3,0.08709491700210492
Wafer,test,6164,152,moment_quant_approx_intervals,3,0.49661612500131014
Wafer,train,1000,152,moment_quant_approx_samples,1,0.049071041001298
Wafer,test,6164,152,moment_quant_approx_samples,1,0.21439900000041234
