Dataset,LengthBin,AccuracyDelta,RuntimeSpeedup,Comparison,SeriesLength
GunPointMaleVersusFemale,Medium-short,0.00031645569620253333,1.2663921603498545,approx_vs_exact,150
GunPointOldVersusYoung,Medium-short,0.0,1.3719268957631954,approx_vs_exact,150
Ham,Medium-long,0.019365079365079474,1.0809812199154112,approx_vs_exact,431
HandOutlines,Long,-0.006846846846846888,1.0705522241854035,approx_vs_exact,2709
Haptics,Long,-0.01406926406926401,1.048179944892942,approx_vs_exact,1092
Herring,Medium-long,0.004687499999999956,1.0008363753397758,approx_vs_exact,512
HouseTwenty,Long,-0.03445378151260503,0.9934867382453592,approx_vs_exact,2000
InlineSkate,Long,0.019939393939393923,1.2178351197914288,approx_vs_exact,1882
InsectEPGRegularTrain,Medium-long,0.0,1.1142870598549743,approx_vs_exact,601
InsectEPGSmallTrain,Medium-long,0.0,1.0202095021265276,approx_vs_exact,601
InsectWingbeatSound,Medium-short,-0.009023569023569045,1.0762275988510428,approx_vs_exact,256
ItalyPowerDemand,Short,-9.718172983463891e-05,1.3154058982698582,approx_vs_exact,24
KeplerLightCurves,Long,0.011194653299916535,1.1210036283093974,approx_vs_exact,4767
LargeKitchenAppliances,Medium-long,-0.04479999999999995,0.9096735891807417,approx_vs_exact,720
Lightning2,Medium-long,0.033879781420764976,1.0301917932576852,approx_vs_exact,637
Lightning7,Medium-short,0.014155251141552472,1.0053836697697265,approx_vs_exact,319
Mallat,Long,0.009793887704335424,1.629053138043571,approx_vs_exact,1024
Meat,Medium-long,0.0005555555555555314,0.9994811291511261,approx_vs_exact,448
MedicalImages,Short,0.0025000000000000577,1.1983628532967678,approx_vs_exact,99
MelbournePedestrian,Short,-0.00022998418858688474,1.3043255316369988,approx_vs_exact,24
MiddlePhalanxOutlineAgeGroup,Short,-0.001948051948051921,1.090453075543487,approx_vs_exact,80
MiddlePhalanxOutlineCorrect,Short,-0.00045819014891179677,1.1274179755618725,approx_vs_exact,80
MiddlePhalanxTW,Short,0.0034632034632033903,1.0680471420869564,approx_vs_exact,80
MixedShapesRegularTrain,Long,-0.012041237113402103,1.1871786362470165,approx_vs_exact,1024
MixedShapesSmallTrain,Long,-0.01712714776632307,1.4921252454520704,approx_vs_exact,1024
MoteStrain,Short,-0.036448349307774186,1.868981289899014,approx_vs_exact,84
NonInvasiveFetalECGThorax1,Long,0.0037828668363021345,1.1718421839974167,approx_vs_exact,750
NonInvasiveFetalECGThorax2,Long,-0.0032569974554705894,1.1618695718437475,approx_vs_exact,750
OSULeaf,Medium-long,-0.007438016528925617,1.0854224622467776,approx_vs_exact,427
OliveOil,Medium-long,0.012222222222222245,0.899940403636697,approx_vs_exact,570
PLAID,Long,-0.007324643078833071,1.055660224101859,approx_vs_exact,1345
PhalangesOutlinesCorrect,Short,0.0004662004662003838,1.1503918821076213,approx_vs_exact,80
PhoneHeartbeatSound,Long,0.0012820512820512775,1.1047724420085683,approx_vs_exact,3053
Phoneme,Long,-0.003164556962025389,1.1348788718710676,approx_vs_exact,1024
PickupGestureWiimoteZ,Medium-long,0.006000000000000005,0.9628914050603984,approx_vs_exact,361
