Dataset,Estimator,Accuracy,LengthBin,SeriesLength,TransformRuntime
Covid3Month_disc,moment_quant_approx,0.6289617486338799,Short,84,0.0380920419993343
Covid3Month_disc,moment_quant_exact,0.6213114754098361,Short,84,0.0300918749999254
Covid3Month_disc,quant,0.6213114754098361,Short,84,0.0411695409966341
CricketX,moment_quant_approx,0.7572649572649574,Medium-short,300,0.1135074989979329
CricketX,moment_quant_exact,0.7645299145299145,Medium-short,300,0.11529579100169929
CricketX,quant,0.7645299145299145,Medium-short,300,0.20858287399823888
CricketY,moment_quant_approx,0.7729059829059829,Medium-short,300,0.1178307920017686
CricketY,moment_quant_exact,0.7696581196581197,Medium-short,300,0.114857666001626
CricketY,quant,0.7696581196581197,Medium-short,300,0.2113502499996684
CricketZ,moment_quant_approx,0.7835897435897435,Medium-short,300,0.11139204299979599
CricketZ,moment_quant_exact,0.7894017094017094,Medium-short,300,0.11452033300156461
CricketZ,quant,0.7894017094017094,Medium-short,300,0.2090920829978131
Crop,moment_quant_approx,0.7773154761904763,Short,46,1.0105357079992245
Crop,moment_quant_exact,0.7765972222222222,Short,46,0.3345711250003659
Crop,quant,0.7761607142857143,Short,46,0.5168100000009872
DiatomSizeReduction,moment_quant_approx,0.9315904139433552,Medium-long,345,0.07651174900092869
DiatomSizeReduction,moment_quant_exact,0.9163398692810458,Medium-long,345,0.0627754170018306
DiatomSizeReduction,quant,0.9163398692810458,Medium-long,345,0.11400291699828799
DistalPhalanxOutlineAgeGroup,moment_quant_approx,0.8093525179856116,Short,80,0.0464201249997131
DistalPhalanxOutlineAgeGroup,moment_quant_exact,0.8107913669064748,Short,80,0.0870997490019362
DistalPhalanxOutlineAgeGroup,quant,0.8107913669064748,Short,80,0.0535747489957429
DistalPhalanxOutlineCorrect,moment_quant_approx,0.8351449275362319,Short,80,0.0582682919994112
DistalPhalanxOutlineCorrect,moment_quant_exact,0.8351449275362319,Short,80,0.1390972500012139
DistalPhalanxOutlineCorrect,quant,0.8351449275362319,Short,80,0.0649577920012234
DistalPhalanxTW,moment_quant_approx,0.7103117505995205,Short,80,0.0463689999996858
DistalPhalanxTW,moment_quant_exact,0.7067146282973621,Short,80,0.08226187600303081
DistalPhalanxTW,quant,0.7067146282973621,Short,80,0.0533121670014224
DodgerLoopDay,moment_quant_approx,0.603030303030303,Medium-short,288,0.0585537919978378
DodgerLoopDay,moment_quant_exact,0.6181818181818183,Medium-short,288,0.0521313760000338
DodgerLoopDay,quant,0.6181818181818183,Medium-short,288,0.0732771250040968
