Dataset,Resample,Classifier,Accuracy,BalancedAccuracy,LogLoss,ROCAUC,F1
Adiac,28,extra_trees,0.8158567774936062,0.8202849702849703,0.9011956324209522,0.9900742680001829,0.8117330776550692
Adiac,28,random_forest,0.7979539641943734,0.7997073872073872,1.0455374157564263,0.9887423631687885,0.7943764416488232
Adiac,28,ridge,0.6265984654731458,0.6465640965640965,13.458755485450395,0.8086312921841199,0.5577105527970853
Adiac,29,extra_trees,0.8005115089514067,0.8015074265074265,1.00967751926344,0.9868189616595227,0.801426471571268
Adiac,29,random_forest,0.7902813299232737,0.795978795978796,1.0139288189245867,0.9873210115294394,0.7867797564812744
Adiac,29,ridge,0.639386189258312,0.6551392301392301,12.997839201702094,0.8150240707632465,0.5751780481309787
ArrowHead,0,extra_trees,0.8342857142857143,0.8365691368152403,0.5438164380775046,0.9514519906323186,0.83322068115272
ArrowHead,0,random_forest,0.7828571428571428,0.7828821438337435,0.6135707153658452,0.9388882506296672,0.781816687163222
ArrowHead,0,ridge,0.7657142857142857,0.774222951417373,8.444513079736018,0.8301113516857408,0.7695097238895557
ArrowHead,1,extra_trees,0.8228571428571428,0.8210737398596301,0.5126073061546028,0.9444036940479873,0.8241655016425584
ArrowHead,1,random_forest,0.7542857142857143,0.7499772126515358,0.6043152790591793,0.9092165613538951,0.7558602722086634
ArrowHead,1,ridge,0.6914285714285714,0.6924619451280649,11.122041617213293,0.7743581812557995,0.6964348276259394
ArrowHead,2,extra_trees,0.8114285714285714,0.8041199526023153,0.4966666035683693,0.9443374132826653,0.8071101295784735
ArrowHead,2,random_forest,0.8171428571428572,0.8089508704767114,0.5858295198321619,0.9183862843002961,0.8136700082508636
ArrowHead,2,ridge,0.7371428571428571,0.7325676784249384,9.474331747996509,0.8021961026909992,0.7371270900883717
ArrowHead,3,extra_trees,0.8857142857142857,0.8800473976848053,0.49212149306783803,0.9615116433211084,0.8852602859325548
ArrowHead,3,random_forest,0.8628571428571429,0.8563485552821074,0.4948342903084926,0.9566276346604217,0.8620509500351864
ArrowHead,3,ridge,0.8342857142857143,0.8278187950050132,5.972948275910842,0.8761985771729045,0.8339459955092309
ArrowHead,4,extra_trees,0.9028571428571428,0.9003737125148117,0.47225973257315657,0.9824046661658787,0.9014197601808221
ArrowHead,4,random_forest,0.8685714285714285,0.862637863458208,0.5431842205541251,0.971279218770713,0.8651567466523676
ArrowHead,4,ridge,0.6971428571428572,0.6900009114939385,10.916077883561197,0.7784565419115373,0.7014977153652158
ArrowHead,5,extra_trees,0.8914285714285715,0.8863367058609061,0.41872536001891003,0.9760668993857982,0.8914419294990723
ArrowHead,5,random_forest,0.8571428571428571,0.8529760277094157,0.4522997134597375,0.969587291767929,0.8580207032203413
ArrowHead,5,ridge,0.7142857142857143,0.7117856166256494,10.2981866826049,0.788895762449737,0.7178534207727756
ArrowHead,6,extra_trees,0.8285714285714286,0.8244462674323216,0.4889240211935094,0.9534545534885775,0.8288515406162466
ArrowHead,6,random_forest,0.8057142857142857,0.8036642056330324,0.5383512596580275,0.9377521983120498,0.8073084713451687
ArrowHead,6,ridge,0.72,0.720991705405159,10.092222948952804,0.7948499845344881,0.7225904207529263
ArrowHead,7,extra_trees,0.8,0.7915413362501139,0.7073337103571673,0.9296151296893642,0.7993197278911565
ArrowHead,7,random_forest,0.7485714285714286,0.7349375626652083,0.7480174839902689,0.9119424682957007,0.7434633994442846
ArrowHead,7,ridge,0.8,0.8017500683620454,7.208730677823431,0.8540828951438292,0.8017458585421873
ArrowHead,8,extra_trees,0.9314285714285714,0.934737033998724,0.4232280559864201,0.9879673898634617,0.9311353383458647
ArrowHead,8,random_forest,0.8914285714285715,0.8907118767660195,0.49839963663002707,0.9787667358932439,0.8913977761102394
ArrowHead,8,ridge,0.7314285714285714,0.7306535411539513,9.680295481648606,0.8049025672749768,0.7383898075359175
ArrowHead,9,extra_trees,0.8285714285714286,0.8244462674323216,0.602670816428566,0.9301502364013962,0.8280140644057422
ArrowHead,9,random_forest,0.84,0.8384832740862272,0.6047392715324243,0.936522469179444,0.839721279165872
ArrowHead,9,ridge,0.7257142857142858,0.7112387202625102,9.886259215300706,0.7970924837612124,0.7250436059315812
ArrowHead,10,extra_trees,0.8514285714285714,0.8393947680247926,0.46367903515649234,0.9625973222570808,0.8494715359828141
ArrowHead,10,random_forest,0.8114285714285714,0.7982863913954973,0.49610342977410987,0.953779329238655,0.8065506623702112
ArrowHead,10,ridge,0.7371428571428571,0.7267341172181205,9.474331747996509,0.8015774822146614,0.735092600865525
ArrowHead,11,extra_trees,0.8228571428571428,0.8269073010664479,0.46708871646316114,0.969249701736556,0.8266764625850341
ArrowHead,11,random_forest,0.8228571428571428,0.823990520463039,0.5075109610515772,0.9547041668507799,0.8241729323308271
ArrowHead,11,ridge,0.8342857142857143,0.8321939659101267,5.972948275910842,0.8768171976492422,0.8347728823616675
ArrowHead,12,extra_trees,0.8514285714285714,0.8481451098350196,0.42364383339768347,0.9704370111793557,0.8522408229346784
ArrowHead,12,random_forest,0.8342857142857143,0.8321939659101267,0.47158995303364815,0.9552940656621448,0.8345706145706144
ArrowHead,12,ridge,0.6914285714285714,0.6880867742229514,11.122041617213293,0.770646458397773,0.6933356632366533
ArrowHead,13,extra_trees,0.8857142857142857,0.8815057879865099,0.4151764703442333,0.9780548804736866,0.8859850400692568
ArrowHead,13,random_forest,0.8742857142857143,0.8733023425394221,0.46040562175258554,0.9714064778401308,0.8751080432172869
ArrowHead,13,ridge,0.8628571428571429,0.8694740679974479,4.943129607650352,0.8985462418806063,0.8651363553993575
ArrowHead,14,extra_trees,0.8571428571428571,0.8442256858991888,0.45989253690050014,0.9654451858070787,0.8545969417863533
ArrowHead,14,random_forest,0.8228571428571428,0.812323398049403,0.5070496121432679,0.9467416375767751,0.8209382843864028
ArrowHead,14,ridge,0.8342857142857143,0.8351107465135357,5.972948275910842,0.8755799566965666,0.8355105435105435
ArrowHead,15,extra_trees,0.7885714285714286,0.7877130617081396,0.7418660646021629,0.9262856259113605,0.7917831748083849
ArrowHead,15,random_forest,0.7942857142857143,0.7940023698842403,0.5678885635401499,0.9225677168485705,0.7973003728270471
ArrowHead,15,ridge,0.8514285714285714,0.8539786710418377,5.355057074954549,0.8897309000927932,0.85176456570952
ArrowHead,16,extra_trees,0.76,0.7416826178105915,0.49865875271166576,0.9537625381114401,0.7504158655820725
ArrowHead,16,random_forest,0.7485714285714286,0.7320207820617993,0.5836221555997457,0.9246414210596084,0.7402721182266009
ArrowHead,16,ridge,0.7028571428571428,0.6919150487649257,10.710114149909101,0.7844107639962882,0.7017369262950659
ArrowHead,17,extra_trees,0.8114285714285714,0.8084951235074286,0.6877536349809155,0.9385055896778755,0.8121586312614351
ArrowHead,17,random_forest,0.7485714285714286,0.7480630753805487,0.5638557765587267,0.9184636118598383,0.7492130325814537
ArrowHead,17,ridge,0.7371428571428571,0.7384012396317564,9.474331747996509,0.8065264460253635,0.7409373828271466
ArrowHead,18,extra_trees,0.7828571428571428,0.7857989244371525,0.5511561271077159,0.9336295347090273,0.7824149659863945
ArrowHead,18,random_forest,0.7771428571428571,0.7780512259593474,0.5951015557505126,0.9235279042022005,0.7807703858704464
ArrowHead,18,ridge,0.6628571428571428,0.6624737945492662,12.151860285473784,0.7495360346427467,0.6642933431770642
ArrowHead,19,extra_trees,0.8457142857142858,0.83893902105551,0.4540372194333687,0.9612884980778578,0.8454571428571428
ArrowHead,19,random_forest,0.8342857142857143,0.8234436240998998,0.5336912920432796,0.9462520436569307,0.8320574580180933
ArrowHead,19,ridge,0.7542857142857143,0.7528939932549449,8.856440547040215,0.8151098051345499,0.7554177707780361
ArrowHead,20,extra_trees,0.8742857142857143,0.8645520007291951,0.4808901345858476,0.9576700101630506,0.8722313210160478
ArrowHead,20,random_forest,0.84,0.8311913225777049,0.5329523918562521,0.9483354690468826,0.8392201203160107
ArrowHead,20,ridge,0.76,0.7475161790174095,8.650476813388115,0.8216826476956388,0.7580279269602578
ArrowHead,21,extra_trees,0.7771428571428571,0.7605505423388935,0.5921551802071432,0.9088228536078831,0.7676252345364771
ArrowHead,21,random_forest,0.7542857142857143,0.7383100902379,0.5937133276640539,0.9081353011356105,0.7471924376157787
ArrowHead,21,ridge,0.8057142857142857,0.8036642056330324,7.0027669441713325,0.8544695329415405,0.8043427981719004
ArrowHead,22,extra_trees,0.8057142857142857,0.7949138638228055,0.489801331207803,0.950346869338518,0.8045706043696207
ArrowHead,22,random_forest,0.8228571428571428,0.812323398049403,0.5442002532245945,0.9505965268878971,0.8202278207834859
ArrowHead,22,ridge,0.8342857142857143,0.8351107465135357,5.972948275910842,0.8786730590782555,0.8363512448183691
ArrowHead,23,extra_trees,0.8057142857142857,0.8022058153313281,0.7657766869954363,0.9119398170650876,0.8070005009112522
ArrowHead,23,random_forest,0.7828571428571428,0.7785069729286301,0.5601213238688509,0.9181277893155405,0.7845368150104991
ArrowHead,23,ridge,0.7771428571428571,0.7765928356576429,8.032585612431824,0.8352149706155274,0.7788908002381948
ArrowHead,24,extra_trees,0.8342857142857143,0.8321939659101267,0.4632842100827129,0.9560072466970085,0.8342900022414313
ArrowHead,24,random_forest,0.8171428571428572,0.8162428219852339,0.5095699268537819,0.9445459767575451,0.8180406652171358
ArrowHead,24,ridge,0.7142857142857143,0.7117856166256494,10.298186682604902,0.7901330034024127,0.7172183320410933
ArrowHead,25,extra_trees,0.8228571428571428,0.8196153495579255,0.49816273538435685,0.9456506561795768,0.8233542484402788
ArrowHead,25,random_forest,0.8,0.7959165071552275,0.5862313879781283,0.9215885290088817,0.8007964095849462
