Dataset,Resample,Estimator,Accuracy,BalancedAccuracy,LogLoss,ROCAUC,F1,Runtime,Runtime_FeatureExtractionTrain,Runtime_ClassifierFit,Runtime_FeatureExtractionTest,Runtime_Prediction
ACSF1,0,moment_quant_exact,0.92,0.9199999999999999,0.4054526578959613,0.9943333333333334,0.9192648287385129,0.4096359170071082,0.03903170800185762,0.3171519589959644,0.036151457999949344,0.017300792009336874
ACSF1,0,moment_quant_approx,0.85,0.85,0.5689418410438377,0.9839444444444445,0.8469393179919495,0.4029691250034375,0.04783695799415,0.29274395800894126,0.04522495900164358,0.017163249998702668
ACSF1,0,quant,0.92,0.9199999999999999,0.4054526578959613,0.9943333333333334,0.9192648287385129,0.5859166669979459,0.14000374999886844,0.2911429999949178,0.13730858299823012,0.01746133400592953
ACSF1,1,moment_quant_exact,0.79,0.79,0.7322212752671201,0.9674444444444446,0.7842840687577528,0.351364874994033,0.03698499999882188,0.26835475000552833,0.03293991700047627,0.013085207989206538
ACSF1,1,moment_quant_approx,0.76,0.76,1.4374176323560999,0.9530000000000001,0.7553840697224732,0.39059004200680647,0.047356542010675184,0.2801612499897601,0.04597062501125038,0.0171016249951208
ACSF1,1,quant,0.79,0.79,0.7322212752671201,0.9674444444444446,0.7842840687577528,0.5828452919959091,0.14025899999251124,0.28564091700536665,0.1398772079992341,0.017068166998797096
ACSF1,2,moment_quant_exact,0.83,0.8300000000000001,0.5736500475665158,0.9812222222222223,0.8224546214019897,0.3926098340016324,0.03893262500059791,0.29688049999822397,0.03969233400130179,0.017104375001508743
ACSF1,2,moment_quant_approx,0.78,0.78,0.7158564455176735,0.9641111111111111,0.772703818369453,0.4037212089897366,0.04637279199960176,0.29803295800229535,0.046470499990391545,0.012844958997447975
ACSF1,2,quant,0.83,0.8300000000000001,0.5736500475665158,0.9812222222222223,0.8224546214019897,0.5822046670073178,0.13914170800126158,0.28795566700864583,0.13779829199484084,0.01730900000256952
ACSF1,3,moment_quant_exact,0.73,0.73,1.5410541221916958,0.9425555555555555,0.7308169299479031,0.3747013749962207,0.036995207992731594,0.28579779200663324,0.034631374990567565,0.01727700000628829
ACSF1,3,moment_quant_approx,0.7,0.7,1.317644536853792,0.9395000000000002,0.6966436622958362,0.37523704100749455,0.04780020800535567,0.2651126669952646,0.045131040998967364,0.01719312500790693
ACSF1,3,quant,0.73,0.73,1.5410541221916958,0.9425555555555555,0.7308169299479031,0.5808195420104312,0.1403770830074791,0.28233245899900794,0.1411075000069104,0.017002499997033738
ACSF1,4,moment_quant_exact,0.8,0.8,0.6997878779266925,0.9781111111111112,0.7914319281024086,0.3821178750076797,0.03720370899827685,0.29554887500125915,0.033142958011012524,0.01622233299713116
ACSF1,4,moment_quant_approx,0.72,0.72,0.6919758313479343,0.9800555555555556,0.697128746327831,0.41165391700633336,0.04656504200829659,0.30060137499822304,0.04733904199383687,0.017148458005976863
ACSF1,4,quant,0.8,0.8,0.6997878779266925,0.9781111111111112,0.7914319281024086,0.5903552090021549,0.1397190420102561,0.2943356670002686,0.1388497500010999,0.017450749990530312
ACSF1,5,moment_quant_exact,0.75,0.75,1.329220840082834,0.9618333333333333,0.7480487576765675,0.37868491699919105,0.038891999996849336,0.2926060839963611,0.033999040999333374,0.013187792006647214
ACSF1,5,moment_quant_approx,0.7,0.7,2.1344221475800818,0.9383888888888889,0.6935969603152264,0.38508808400365524,0.046196167008019984,0.27810720799607225,0.04489350000221748,0.01589120899734553
ACSF1,5,quant,0.75,0.75,1.329220840082834,0.9618333333333333,0.7480487576765675,0.584962416003691,0.14017400000011548,0.2908630410092883,0.14044570899568498,0.013479665998602286
ACSF1,6,moment_quant_exact,0.8,0.8,1.4367231382196106,0.9493888888888888,0.7953939997051452,0.35683145800430793,0.03597445799096022,0.27378595901245717,0.034006707996013574,0.013064333004876971
ACSF1,6,moment_quant_approx,0.69,0.6900000000000001,1.5742497741585908,0.9317777777777776,0.6804804559643705,0.38616729198838584,0.04636666699661873,0.2764796249975916,0.04614533300627954,0.017175666987895966
ACSF1,6,quant,0.8,0.8,1.4367231382196106,0.9493888888888888,0.7953939997051452,0.5664560829900438,0.1399436249921564,0.274623999997857,0.13851312499900814,0.013375333001022227
ACSF1,7,moment_quant_exact,0.79,0.79,0.5831287933626568,0.9837777777777776,0.7808669692133147,0.3744105830119224,0.03835504100425169,0.28808141700574197,0.03475508299015928,0.013219042011769488
ACSF1,7,moment_quant_approx,0.77,0.77,0.6656962988442092,0.9785555555555555,0.7631600643863398,0.4089567079936387,0.04648224999255035,0.2981590830022469,0.04743166700063739,0.016883707998204045
ACSF1,7,quant,0.79,0.79,0.5831287933626568,0.9837777777777776,0.7808669692133147,0.5842634590080706,0.13919470900145825,0.29225837500416674,0.1395684579911176,0.013241917011328042
