l,Variant,Run,Runtime
512,indirect,25,6.548999999722583e-06
1024,direct,8,9.561333998135524e-06
16,indirect,13,7.304208333152929e-07
4,keyvalue,5,6.227841600048123e-07
4194304,keyvalue,11,0.40950912500011327
262144,direct,11,0.018051396000373643
2048,keyvalue,21,3.12647949976963e-05
512,direct,28,4.556500000035157e-06
8192,indirect,36,0.0004679491799834068
512,direct,36,4.480749999856925e-06
4,keyvalue,7,6.032741799936047e-07
4194304,keyvalue,10,0.3752317500002391
8,direct,4,3.7999084001057783e-07
256,indirect,0,3.1976874997781124e-06
32,direct,37,5.182707999665581e-07
8192,direct,39,0.00037652917999366766
64,indirect,22,1.0857958000997314e-06
512,keyvalue,14,5.475333000504179e-06
512,direct,6,4.504124999584746e-06
16384,direct,26,0.0008830049999960465
64,direct,29,7.05904099959298e-07
64,keyvalue,27,1.0109540999110322e-06
128,keyvalue,22,1.722741599951405e-06
16384,keyvalue,33,0.000939743359995191
65536,keyvalue,8,0.004367986000033852
32,indirect,33,8.28472899956978e-07
8192,direct,29,0.00040971665999677497
1024,indirect,32,1.2531249998573913e-05
32768,keyvalue,1,0.001983833333270013
2048,direct,24,5.5319164994216406e-05
32768,direct,25,0.001871645833337728
8,indirect,20,6.312016599986237e-07
2048,direct,33,4.0550624999013965e-05
8192,direct,0,0.0003705700000136858
32768,direct,32,0.0018724930000644235
2048,indirect,15,8.554103999813378e-05
2048,indirect,22,5.852250000316417e-05
2048,indirect,10,2.922083500379813e-05
4096,direct,10,0.00013105542000630522
16384,indirect,20,0.0010911583200504539
512,indirect,1,6.0112500013929095e-06
32,direct,20,5.417520999799308e-07
64,direct,21,7.261667000420857e-07
8192,keyvalue,0,0.0004145450000214623
64,direct,1,7.362166001257719e-07
4,keyvalue,31,6.062108399783028e-07
256,indirect,4,3.0550414994650053e-06
64,indirect,18,1.1283709000053932e-06
32,keyvalue,12,7.788124999933643e-07
16,direct,31,4.2799166670495955e-07
8,indirect,12,6.334475000039675e-07
16384,indirect,9,0.0011122400000022027
64,direct,35,6.761209000615054e-07
4194304,direct,8,0.3576784159995441
64,direct,37,7.507083000746206e-07
4096,direct,5,0.00014997041000242462
2048,indirect,18,9.171770499960985e-05
8,direct,15,3.8509083999088036e-07
65536,indirect,3,0.005205173666581686
16384,keyvalue,36,0.0009666450000077021
64,direct,28,7.37825000032899e-07
8,direct,7,3.879075000077137e-07
1048576,keyvalue,10,0.08506029199998011
1024,keyvalue,30,1.2811084001441485e-05
2048,indirect,7,4.6633960000690425e-05
4096,indirect,14,0.00015889833000983343
128,direct,1,1.2116750000132016e-06
64,direct,34,7.167957999627106e-07
1024,keyvalue,2,1.7981916000280763e-05
8,indirect,8,6.243416799770784e-07
4,direct,24,3.598416600289056e-07
65536,indirect,1,0.0051843679999971455
512,indirect,11,6.007083000440616e-06
4096,keyvalue,34,0.00014523333999022725
64,direct,18,7.215083000119194e-07
262144,direct,10,0.018310729499717127
16,keyvalue,10,7.08605566675639e-07
8,indirect,18,6.460041600075783e-07
128,indirect,3,1.8285915997694247e-06
4096,keyvalue,12,0.00014093041001615348
65536,keyvalue,7,0.004362645833377125
256,indirect,3,3.0772079999223933e-06
16,indirect,0,7.223958333270275e-07
8,keyvalue,3,6.40037500015751e-07
16384,direct,17,0.0008809199999814155
128,indirect,7,1.8862418000935576e-06
512,indirect,38,6.170500000735046e-06
4,indirect,26,6.111733400030062e-07
4,keyvalue,2,6.269299999985378e-07
4194304,indirect,0,0.5101708330003021
16384,direct,28,0.0008818983200035291
32768,direct,0,0.0019092152500282584
512,direct,39,4.450165999514866e-06
16384,direct,4,0.0008583366800303338
4194304,keyvalue,1,0.3767026249988703
256,direct,23,2.2263540004132665e-06
32768,direct,9,0.0018979374999616994
2048,keyvalue,39,5.831374999615946e-05
64,keyvalue,4,1.0401833000287297e-06
64,keyvalue,6,9.937541999534005e-07
8,direct,23,3.717166799833649e-07
4,indirect,28,6.13615820002451e-07
128,keyvalue,2,1.6007500002160668e-06
32768,indirect,19,0.0023558958332614566
256,keyvalue,17,2.873729000384628e-06
32,direct,3,5.129854500410147e-07
2048,indirect,19,6.0361460000422085e-05
512,direct,29,4.480916999455075e-06
8,keyvalue,25,6.259791800039239e-07
32,indirect,12,8.298875000036787e-07
4,direct,1,3.668083400043542e-07
2048,direct,25,2.3998329997994005e-05
2048,keyvalue,4,3.109666999989713e-05
4096,keyvalue,32,0.0001368683300097473
4194304,direct,9,0.35683691700069176
32,indirect,37,8.188458000404352e-07
2048,indirect,35,3.115437500127882e-05
16,keyvalue,19,6.718708333210088e-07
