l,Variant,Run,Runtime
4096,indirect,21,0.00019635666998510715
16384,keyvalue,11,0.0009517283199966187
512,keyvalue,19,5.7435840008110975e-06
4,keyvalue,25,6.048091599950567e-07
16384,keyvalue,27,0.0009363099999609403
16384,direct,7,0.0008932300000014947
4,keyvalue,39,6.159433200082276e-07
4,keyvalue,4,6.11063340002147e-07
32768,keyvalue,36,0.0020543576665659202
512,indirect,22,6.228416999874753e-06
64,keyvalue,3,1.0360000000218862e-06
4096,direct,39,0.0001739208300023165
2048,indirect,6,6.872396000289882e-05
16384,keyvalue,3,0.0009313833200576483
4,indirect,38,5.99965000001248e-07
16,keyvalue,11,7.186972000151097e-07
16,keyvalue,30,7.14841666679907e-07
16384,indirect,12,0.0010633799999777694
1024,indirect,31,1.2630583998543442e-05
256,indirect,30,3.0477914997391053e-06
4096,keyvalue,18,0.00014609709000069416
32,indirect,31,8.298770999317639e-07
1024,direct,4,1.5395250000437955e-05
1048576,indirect,6,0.10621699999865086
32768,keyvalue,16,0.00203397574993384
256,indirect,8,3.087957999923674e-06
1024,indirect,16,1.4213750000635628e-05
16384,direct,36,0.0008773466799902963
4096,direct,3,0.00014988917000664516
32,keyvalue,7,8.016333499654138e-07
256,indirect,27,3.183417000400368e-06
32768,keyvalue,7,0.002036263833360863
4096,keyvalue,1,0.00016874375000043075
128,indirect,19,1.85380000002624e-06
16,indirect,11,6.9934306666255e-07
4,direct,17,3.7036165998870273e-07
2048,keyvalue,6,3.359375000400178e-05
128,direct,13,1.1917334002646385e-06
256,keyvalue,3,3.006021000146575e-06
16384,direct,20,0.0008719483599998057
4194304,indirect,6,0.5119189170000027
32768,direct,29,0.0018859687500783668
16384,keyvalue,35,0.0009627099999488564
16384,direct,12,0.0008781833200191613
8,direct,2,3.85999999998603e-07
8,keyvalue,15,6.525058199986233e-07
65536,keyvalue,3,0.004334958333553611
65536,indirect,11,0.005036749999817403
256,keyvalue,38,2.9121039997335172e-06
32768,keyvalue,26,0.002022857666664398
1024,direct,19,9.85824999952456e-06
16,direct,33,4.3744583332833524e-07
4194304,direct,4,0.36052570799984096
1024,direct,32,9.588831999280955e-06
4096,keyvalue,33,0.00015653749998818965
16,direct,23,4.438805666723056e-07
8,keyvalue,33,6.381933399825357e-07
128,indirect,27,1.7994665999140125e-06
4096,indirect,9,0.0001636908300133655
16,keyvalue,16,7.020208333415212e-07
2048,direct,18,2.3320624995903928e-05
262144,indirect,10,0.024120145999404485
512,direct,19,4.410707999340957e-06
64,indirect,26,1.0875040999962949e-06
8192,direct,7,0.0003849149999950896
16,direct,8,4.366472333155495e-07
1048576,indirect,0,0.10674129099970742
128,keyvalue,24,1.6949333999946248e-06
4,direct,38,3.712200000154553e-07
8,indirect,36,6.397633400047198e-07
8,keyvalue,19,6.445841599997948e-07
16384,direct,32,0.0008581966800556984
64,keyvalue,5,1.0637125000357627e-06
128,indirect,29,1.7835166003351333e-06
256,indirect,17,3.289583500190929e-06
4096,indirect,29,0.00021722833000239916
1024,indirect,19,2.242416599983699e-05
16384,direct,27,0.0008434333599871024
512,indirect,37,5.974124998829211e-06
8192,keyvalue,2,0.00043717581997043453
16384,indirect,10,0.0010902466800325782
8,direct,33,3.841224999996484e-07
1024,keyvalue,23,1.2020665999443735e-05
32,direct,12,5.102729000100226e-07
64,indirect,30,1.0825458000908838e-06
512,keyvalue,34,5.540999998629559e-06
1024,direct,28,9.204999998473795e-06
16,indirect,16,6.96206933328843e-07
1048576,keyvalue,5,0.08733087499967951
4194304,direct,10,0.3563649580009951
4,indirect,18,6.212366600084352e-07
2048,keyvalue,13,4.69210400024167e-05
8,direct,1,3.791925000041374e-07
16384,indirect,5,0.001169575000021723
256,direct,31,2.1885414998905617e-06
128,direct,20,1.2018918001558632e-06
2048,direct,2,5.4749790006098917e-05
8192,keyvalue,35,0.0004247399999803747
256,direct,18,2.1518335006476264e-06
2048,keyvalue,2,3.4208750003017484e-05
128,keyvalue,28,1.6433415999927093e-06
262144,indirect,6,0.023373353999886604
2048,indirect,12,5.219437500272761e-05
32768,indirect,10,0.002436902833323984
128,direct,7,1.262499999938882e-06
64,direct,30,7.201124999483e-07
32768,direct,39,0.0018676075833354844
64,indirect,14,1.0803082999700564e-06
4096,indirect,10,0.00020369416000903584
32,direct,39,5.081791499833343e-07
4096,keyvalue,19,0.0001387516599970695
8192,keyvalue,36,0.0004021458199713379
1024,direct,23,9.461249999731081e-06
32768,indirect,1,0.0023724549165914746
4,direct,8,3.6705750000692205e-07
4,indirect,33,5.967149999924005e-07
1048576,indirect,2,0.10554670899909979
32768,indirect,4,0.002380638916595975
8,direct,36,3.799508399970364e-07
2048,keyvalue,27,3.222916499908024e-05
16,direct,3,4.3653610003578556e-07
512,indirect,23,6.493875000160187e-06
32768,keyvalue,37,0.0020506110833290827
256,indirect,23,3.1657079998694826e-06
2048,direct,21,3.170582999700855e-05
16,indirect,25,7.17679166640058e-07
8192,keyvalue,28,0.00042480500000237955
8,direct,3,3.6523165999824414e-07
2048,direct,12,5.4854375002832966e-05
2048,keyvalue,30,3.426375000344706e-05
16384,keyvalue,28,0.0009095383199746721
1024,indirect,30,1.2946081998961745e-05
4096,direct,15,0.0001227475000086997
16,keyvalue,31,7.247486333047466e-07
4194304,indirect,1,0.5122698750001291
512,indirect,8,6.57633400078339e-06
8192,direct,37,0.0003779049999866402
4,keyvalue,13,6.413008199888282e-07
16384,direct,6,0.0008935383600328351
128,direct,19,1.2251915999513585e-06
1024,indirect,29,1.2909082000987837e-05
8,keyvalue,26,6.267683199985186e-07
4,keyvalue,23,6.180308200055151e-07
4096,direct,1,0.00015333167000790128
256,direct,37,2.371896000113338e-06
4096,direct,38,0.00014930958999684663
2048,direct,35,6.185041500430089e-05
16,direct,38,4.493666666652037e-07
32768,direct,13,0.0019450451666974307
32768,keyvalue,29,0.0020125174167636337
8192,direct,5,0.000383655000005092
16,indirect,39,7.026375000350527e-07
16384,direct,34,0.0008584583199990447
8,direct,25,3.832916600003955e-07
128,keyvalue,20,1.6132667999045226e-06
64,keyvalue,21,1.049445900025603e-06
512,indirect,5,6.263000001126784e-06
262144,keyvalue,0,0.019321791500260588
262144,indirect,4,0.023138458500397974
8,keyvalue,28,6.466324999928475e-07
8192,indirect,14,0.0004838316799941822
16384,direct,15,0.0008660016400244785
512,indirect,39,6.319875001281616e-06
64,direct,19,7.276291999005479e-07
16384,direct,3,0.0009011166800337377
512,keyvalue,2,5.76704100058123e-06
128,indirect,25,1.7782082002668176e-06
32,indirect,25,8.250292000411718e-07
256,keyvalue,15,2.8867915007140256e-06
8,direct,35,3.641508399960003e-07
1024,keyvalue,1,1.1209249998501036e-05
32768,keyvalue,9,0.0020582360833335165
32768,indirect,12,0.002447847250095947
128,keyvalue,15,1.682916600111639e-06
1024,direct,0,9.69824999992852e-06
1024,direct,20,9.804584002267802e-06
16384,indirect,17,0.001093106640037149
4,keyvalue,17,6.264308399840957e-07
512,keyvalue,24,5.472083999848109e-06
8,keyvalue,34,6.493791800312465e-07
4194304,direct,1,0.35886075000053097
8192,direct,3,0.00039742249999108025
256,indirect,2,3.191583500665729e-06
16384,indirect,25,0.0011485166800412117
32768,direct,17,0.0018861527499514825
512,keyvalue,28,5.474625000715605e-06
16,indirect,10,7.04004166679321e-07
262144,keyvalue,8,0.01956752099977166
2048,keyvalue,3,6.139520999568049e-05
64,direct,15,7.257292001668248e-07
64,keyvalue,15,1.0125875000085216e-06
1024,direct,3,9.577916000125697e-06
4,indirect,27,6.201599999985774e-07
16,keyvalue,9,7.367416666359835e-07
2048,indirect,21,2.8715830003420704e-05
256,direct,13,2.266687500195985e-06
32768,indirect,25,0.0024247360834124265
32768,direct,5,0.001911503499892812
32768,keyvalue,25,0.0020502499999868937
8,direct,26,3.7113083999429364e-07
8192,indirect,16,0.00047679833998699907
16,keyvalue,36,7.029819333790025e-07
8192,direct,10,0.0003888708400336327
8,direct,39,3.7984750000759957e-07
16,indirect,1,6.868096999824048e-07
16384,indirect,36,0.0011271466800099007
16384,indirect,4,0.001097929999959888
8,indirect,28,6.270575000235112e-07
1024,indirect,37,1.273025000045891e-05
8,keyvalue,22,6.315441799961264e-07
64,indirect,32,1.1026624999431077e-06
8192,indirect,19,0.0005100024999774177
4096,keyvalue,20,0.00016498917000717483
32,keyvalue,20,7.849333499507339e-07
1024,keyvalue,11,1.097608399868477e-05
16384,direct,29,0.0008945149999635759
4,indirect,3,6.149975000153063e-07
8,keyvalue,9,6.315783200261649e-07
128,direct,14,1.2400584000715752e-06
8,keyvalue,38,6.386958399889409e-07
128,indirect,4,1.7254165999474936e-06
64,keyvalue,36,1.0619749999023042e-06
8,keyvalue,23,6.452050000007148e-07
32768,keyvalue,11,0.0020777916667308696
512,keyvalue,5,5.366542000047048e-06
16,keyvalue,38,7.267096999688267e-07
8,direct,31,3.8810584002931136e-07
4096,indirect,32,0.00021766207999462494
262144,keyvalue,1,0.018940312499580614
2048,direct,26,2.375000000029104e-05
128,direct,12,1.2293915999180172e-06
262144,direct,7,0.01903095849957026
4096,keyvalue,3,0.00017933707998963656
1024,keyvalue,24,2.0420917997398645e-05
64,indirect,0,1.1440207999839913e-06
16,direct,7,4.321277666652653e-07
32,direct,11,5.074104000414081e-07
1024,keyvalue,35,1.1221084001590497e-05
64,keyvalue,32,1.0754290999102522e-06
256,indirect,29,3.0625624995082034e-06
256,indirect,1,3.340520500387356e-06
8,indirect,25,6.453374999910011e-07
128,keyvalue,21,1.6576083999098045e-06
16384,direct,9,0.0008875566799542866
16,direct,21,4.3687223333108704e-07
8192,keyvalue,31,0.0004492908199972589
4096,keyvalue,35,0.00018371374999333058
32768,direct,8,0.0018541910000446176
16,indirect,9,7.247708332821882e-07
4,keyvalue,12,6.174783400274464e-07
256,keyvalue,7,2.81781250032509e-06
512,keyvalue,31,5.857750000359374e-06
32,indirect,29,8.35427099991648e-07
64,indirect,8,1.1156167000081042e-06
4,keyvalue,27,6.081241599895293e-07
65536,indirect,7,0.00520105550003791
65536,indirect,0,0.00511623616663807
8,indirect,27,6.38436660010484e-07
4,keyvalue,20,6.157833399993251e-07
1024,indirect,4,1.4125834000878967e-05
128,direct,37,1.2297166002099402e-06
16384,indirect,32,0.0011564316799922382
512,indirect,14,6.134540999482852e-06
4096,indirect,16,0.00019826458001261926
64,keyvalue,20,1.0568375000730158e-06
64,keyvalue,12,9.592541000529309e-07
1024,keyvalue,37,1.0740667999925791e-05
8,indirect,34,6.263566800043918e-07
128,keyvalue,32,1.6921250000450527e-06
4,direct,10,3.712683400226524e-07
1048576,keyvalue,1,0.0870434579992434
16384,direct,10,0.0008850683199852938
16384,keyvalue,17,0.0009222700000100304
32,keyvalue,6,7.618708500558568e-07
128,keyvalue,36,1.552724999783095e-06
16,keyvalue,20,7.10927799991623e-07
1024,keyvalue,34,1.1207999999896855e-05
256,keyvalue,12,2.9032080001343274e-06
128,indirect,31,1.7201750000822357e-06
8,direct,12,3.7545581999438585e-07
4096,keyvalue,11,0.00013995291999890469
4,indirect,7,6.132483400142519e-07
1024,keyvalue,29,1.1311083999316907e-05
4096,direct,26,0.0001533512500100187
262144,direct,3,0.01894766650002566
1024,indirect,3,1.2546665999252582e-05
512,keyvalue,3,5.3616669993061805e-06
2048,direct,36,2.7951045003646867e-05
512,keyvalue,12,5.364959000871749e-06
2048,indirect,16,3.134750000754138e-05
8192,keyvalue,14,0.0003956608199951006
128,indirect,36,1.8932168000901583e-06
1024,direct,1,1.0921583998424466e-05
8,direct,30,3.7555832001089586e-07
8192,direct,21,0.000384463339978538
8192,indirect,31,0.0005072741599724395
256,direct,39,2.1891040005357352e-06
128,direct,27,1.232791599977645e-06
1024,indirect,1,1.6658166001434436e-05
256,indirect,38,3.163729500556656e-06
64,indirect,36,1.094908300001407e-06
1024,keyvalue,36,1.0997834000590956e-05
8,keyvalue,24,6.450691799909691e-07
64,indirect,27,1.0695458000554936e-06
32,direct,34,5.378457999540842e-07
65536,indirect,9,0.005219840333362906
4194304,keyvalue,6,0.3728197500004171
16384,indirect,24,0.001085670000029495
32768,direct,3,0.0018829479166318681
32,keyvalue,14,7.997417000296991e-07
1024,keyvalue,21,1.1159834000864066e-05
256,indirect,12,3.1761459995323095e-06
32,keyvalue,8,8.247479499914334e-07
2048,keyvalue,8,3.5037295001529854e-05
4,direct,6,3.69319160017767e-07
16,direct,27,4.300430333387339e-07
262144,direct,1,0.01874141649932426
1024,keyvalue,16,1.1316083997371607e-05
32768,indirect,26,0.0024097395832238058
16,indirect,19,7.294555667006838e-07
32768,direct,2,0.001942472166774678
16384,keyvalue,21,0.0009896133599977474
64,direct,39,7.642832999408711e-07
8,direct,8,3.838841800097725e-07
4096,direct,19,0.00015958459000103175
32,indirect,38,8.118583500618115e-07
32768,indirect,7,0.00244035066680226
262144,direct,5,0.019006458500371082
1024,indirect,10,1.2444168001820798e-05
8192,indirect,38,0.00047003083996969506
16,indirect,23,6.986055666250953e-07
16384,keyvalue,9,0.0009799200000270502
32768,direct,23,0.0019381805833897185
512,indirect,35,5.877292000150192e-06
8,keyvalue,39,6.445791599981022e-07
32,direct,17,5.208854499869631e-07
8192,direct,26,0.00038481499999761583
128,direct,3,1.2279665999813006e-06
8,keyvalue,29,6.3128333997156e-07
1024,direct,37,9.656334001192591e-06
32768,keyvalue,35,0.002003586833325244
4,indirect,6,6.03080000000773e-07
1024,indirect,23,1.3275084002088989e-05
256,indirect,5,3.15710399991076e-06
1048576,indirect,9,0.10549379200165276
4,indirect,25,6.16809999992256e-07
256,keyvalue,37,2.757000000201515e-06
32,keyvalue,24,7.913916500001505e-07
8192,indirect,30,0.0005009466800038353
128,direct,9,1.2508584000897826e-06
512,direct,13,4.623208000339218e-06
512,direct,20,4.431999999724212e-06
1048576,keyvalue,0,0.08572904200082121
16,indirect,17,7.369985999806279e-07
512,indirect,20,6.129833000159124e-06
8192,indirect,7,0.0004976241799886338
4,indirect,8,6.264658399959444e-07
8,direct,11,3.822333399875788e-07
2048,keyvalue,36,6.213728999682644e-05
1048576,direct,1,0.08342629199978546
262144,indirect,2,0.023254249999808962
16,keyvalue,39,7.141958333401514e-07
16,indirect,20,6.864180333044108e-07
4096,keyvalue,26,0.00013896458000090206
128,direct,22,1.2382584001898067e-06
128,indirect,33,1.8314500000997215e-06
8192,indirect,23,0.0005032716799905757
64,keyvalue,22,1.080345800073701e-06
128,indirect,17,1.8549000000348315e-06
32,direct,21,5.354375000024447e-07
512,keyvalue,36,5.542540999158518e-06
16,indirect,6,7.311236333407578e-07
64,indirect,3,1.1123750000479049e-06
256,direct,21,2.283145499859529e-06
16,indirect,26,7.177208333208304e-07
256,keyvalue,2,2.861583499907283e-06
1024,indirect,9,1.281916799780447e-05
64,keyvalue,31,1.1113542001112363e-06
4096,direct,31,0.00016182208999452997
8192,direct,31,0.00040425584000331583
8,indirect,9,6.467833200076711e-07
16384,keyvalue,4,0.0009569366800133139
1048576,indirect,5,0.10689941700002237
64,keyvalue,16,1.0593334000077448e-06
16,indirect,14,7.482194666105594e-07
4,indirect,16,6.3446168001974e-07
4096,indirect,1,0.0002005479100080265
512,direct,16,4.558250000627595e-06
16,direct,26,4.3134306664190566e-07
4096,direct,34,0.0001372287500089442
8,direct,27,3.8664666000840955e-07
1024,indirect,2,1.392058400233509e-05
262144,keyvalue,9,0.020155354000053194
262144,direct,4,0.01856781249989581
256,indirect,11,3.124896000372246e-06
4096,indirect,3,0.00018262042000060318
256,keyvalue,14,2.7887289998034247e-06
4096,indirect,18,0.00022210790999452
65536,direct,5,0.0041903265000655665
32768,keyvalue,22,0.0020664062499236024
1024,direct,13,1.0856665998289828e-05
16384,keyvalue,39,0.000995426640001824
8,indirect,32,6.283033400177373e-07
4096,direct,25,0.00016802915999505785
4,direct,15,3.6356500000692903e-07
1024,direct,34,9.343165998870972e-06
16384,direct,8,0.0008658733600168489
512,keyvalue,33,5.360916999052279e-06
32768,direct,31,0.001908329916659568
32768,keyvalue,5,0.0020029722500112257
16384,indirect,38,0.0010985583200090333
4096,indirect,20,0.00018142959001124837
64,indirect,28,1.167195800007903e-06
256,keyvalue,33,2.870145999622764e-06
1024,indirect,34,1.230833400040865e-05
32768,direct,4,0.0019036076666149409
256,direct,27,2.3412294995068807e-06
4096,direct,8,0.0001473416600128985
4,indirect,14,6.326758399882237e-07
4096,direct,0,0.0001310070799991081
32,indirect,34,8.481958499942266e-07
16,keyvalue,8,7.309583333456733e-07
8192,direct,1,0.0003914000000077067
16384,keyvalue,38,0.0009624616799555952
2048,indirect,0,6.253937499423046e-05
32,indirect,2,8.075166500020714e-07
1048576,indirect,11,0.105574749999505
4096,keyvalue,9,0.00012993874999665423
8192,direct,17,0.00040504917997168376
4,keyvalue,0,6.068424999830314e-07
64,indirect,38,1.0998416999427718e-06
512,keyvalue,30,5.492832999152597e-06
64,keyvalue,37,1.060187499933818e-06
1024,direct,27,9.561415998177836e-06
1024,direct,7,9.75458399989293e-06
4,direct,28,3.5671833997184875e-07
2048,direct,15,2.5447709995205513e-05
4,keyvalue,14,6.100416600020253e-07
32,keyvalue,23,7.815042000402173e-07
16,direct,30,4.4134306663181634e-07
4,keyvalue,1,6.225058200288914e-07
64,keyvalue,9,1.0389125000074274e-06
4096,keyvalue,21,0.00014137166001091829
1024,indirect,33,1.2963249999302206e-05
4096,indirect,36,0.00015748125000754953
8192,indirect,26,0.0005255566599953454
4,indirect,30,6.33372500014957e-07
16384,indirect,21,0.0011254383199411676
32768,indirect,9,0.002423763916643414
64,direct,14,6.954458000109299e-07
128,keyvalue,8,1.5746083998237736e-06
8,indirect,14,6.288175000008778e-07
16,direct,0,4.540222333162092e-07
4096,indirect,34,0.00019404124999709892
4096,direct,6,0.00019045915998503916
64,keyvalue,25,1.0254832999635254e-06
8192,keyvalue,38,0.00039048583999829134
8,keyvalue,27,6.180491800114397e-07
16,keyvalue,13,7.09383333317722e-07
8192,keyvalue,12,0.00041621915999712656
2048,indirect,5,8.01464549931552e-05
32768,indirect,35,0.0023788610833435087
1024,indirect,12,1.262824999867007e-05
2048,indirect,17,3.5453540003800296e-05
4,keyvalue,8,6.192541599739342e-07
2048,direct,39,2.257249999274791e-05
64,direct,4,7.070625000778818e-07
4,indirect,31,6.086433199743624e-07
32,keyvalue,9,8.072728999650281e-07
32,indirect,22,8.335812499353779e-07
32768,indirect,32,0.0024056319166447793
32,keyvalue,27,8.258437500444416e-07
2048,indirect,1,5.363812500036147e-05
1024,direct,2,9.467166000831639e-06
256,direct,16,2.2429169994211406e-06
4,keyvalue,22,6.152716599899576e-07
16,indirect,2,7.128986000073685e-07
512,direct,33,4.665708000175073e-06
512,indirect,24,6.297457999608014e-06
128,indirect,6,1.7961334000574425e-06
4,keyvalue,11,6.117866600106936e-07
1024,direct,21,9.460416000365512e-06
128,indirect,10,1.8271082000865136e-06
32768,direct,12,0.0018825520833161136
1024,direct,10,9.549084003083408e-06
8192,direct,19,0.0003770749999966938
2048,indirect,28,7.938291499158367e-05
32,indirect,24,8.330812500389584e-07
4096,indirect,6,0.00016574333998505607
16384,keyvalue,13,0.0009704749999946216
32768,indirect,16,0.002396295166666581
64,indirect,24,1.187700000082259e-06
8,direct,29,3.7449499999638644e-07
2048,direct,9,4.075917000591289e-05
2048,indirect,3,3.239853999730258e-05
1024,indirect,21,1.254233400322846e-05
4,direct,0,3.649966600278276e-07
512,direct,27,4.397124999741208e-06
16,keyvalue,28,7.037555666708309e-07
4,direct,23,3.5873415999958526e-07
64,indirect,33,1.1178458998983842e-06
32,indirect,36,8.137562500451167e-07
262144,keyvalue,2,0.019641124999907333
4194304,direct,7,0.35849783300000126
32,keyvalue,35,7.87043750005978e-07
32768,direct,18,0.0019567604166089345
64,direct,7,7.017833000645623e-07
128,keyvalue,14,1.657733200045186e-06
32,indirect,26,7.989645499947074e-07
16384,keyvalue,18,0.0009636600000521866
16,keyvalue,2,7.102555666885262e-07
4096,indirect,30,0.00020815500000026077
32768,indirect,13,0.0024154131666970593
128,keyvalue,29,1.6626333999738563e-06
64,direct,27,7.348042001467547e-07
32,direct,29,5.254562500340398e-07
16,indirect,5,7.338944666723061e-07
4,direct,34,3.647449999698438e-07
512,keyvalue,35,5.547749999095686e-06
8,direct,18,3.687341600016225e-07
262144,keyvalue,5,0.019609916499575775
4096,indirect,39,0.00016120291000333963
262144,keyvalue,7,0.01943904149993614
8,keyvalue,31,6.358208399979049e-07
128,keyvalue,13,1.6720081999665127e-06
2048,direct,34,2.7360829999452108e-05
8192,direct,28,0.00038209917998756283
32,keyvalue,0,8.22072949995345e-07
16384,direct,14,0.0008985883200512035
64,keyvalue,2,1.065470799949253e-06
256,indirect,26,3.048771000067063e-06
8192,direct,36,0.0003722816599838552
1024,indirect,0,1.2721499999315711e-05
32768,direct,15,0.001916833333325485
128,indirect,0,1.7894915999931981e-06
128,indirect,20,1.795841599960113e-06
64,direct,0,7.200833000752027e-07
128,keyvalue,38,1.6938082000706346e-06
256,direct,34,2.240166500087071e-06
16384,indirect,15,0.0011059533199295401
256,direct,5,2.2583335003218963e-06
16,indirect,28,7.045416666490686e-07
16,direct,22,4.525611000038528e-07
16,keyvalue,15,7.209444333663365e-07
32,keyvalue,16,8.01077100004477e-07
256,keyvalue,21,2.8207294999447186e-06
256,direct,33,2.260229000057734e-06
2048,indirect,11,3.501270999549888e-05
32,keyvalue,34,8.056167000177084e-07
128,indirect,12,1.7794499999581603e-06
4096,indirect,25,0.0001636954199966567
16,direct,25,4.338069666725157e-07
32768,indirect,23,0.0023790660000789408
2048,indirect,36,5.718874999729451e-05
16,indirect,8,7.011902999996285e-07
256,keyvalue,26,2.79333350044908e-06
2048,indirect,9,3.813541999988956e-05
256,indirect,19,3.171166499669198e-06
4096,keyvalue,31,0.0001650179199896229
4096,keyvalue,14,0.0001900345899957756
1024,direct,17,9.483750000072178e-06
128,keyvalue,0,1.622533400222892e-06
4096,indirect,31,0.0001652933299919823
128,indirect,5,1.8082168000546517e-06
16384,indirect,19,0.0011110833199927583
8,indirect,22,6.538591800199356e-07
1024,indirect,28,1.2722581999696559e-05
128,indirect,2,1.7803250000724802e-06
128,keyvalue,7,1.607666600102675e-06
16,indirect,29,6.950097333174198e-07
4,keyvalue,9,6.112991600093665e-07
2048,direct,29,2.3096875002011074e-05
4,keyvalue,26,6.272041799820727e-07
1024,direct,39,9.491749999142485e-06
2048,indirect,26,4.738937500405882e-05
16,direct,24,4.6375833329269277e-07
8192,direct,18,0.0003772233199924813
32768,direct,38,0.0019334791666854774
128,indirect,24,1.7966499999602093e-06
16384,indirect,0,0.0011004633199627278
256,direct,3,2.3041664999254864e-06
16384,direct,5,0.000903214999998454
512,keyvalue,29,5.784332999610342e-06
4,direct,2,3.7063415999000425e-07
8192,keyvalue,34,0.0004263675000038347
8192,indirect,37,0.0004951808199984953
8192,direct,11,0.0004069349999917904
32,indirect,1,8.171604499693786e-07
64,keyvalue,0,1.0535417000937742e-06
512,keyvalue,8,5.277500000374858e-06
32,indirect,19,8.209728999645449e-07
8,direct,38,3.931499999816879e-07
4,direct,26,3.668258400284685e-07
512,direct,4,4.695040999649791e-06
32768,keyvalue,33,0.002103677083293102
32,keyvalue,38,7.771833500555658e-07
32,indirect,15,8.49677049973252e-07
256,keyvalue,6,2.8628955005842727e-06
128,direct,31,1.2592415998369689e-06
256,indirect,35,3.163603999382758e-06
8192,indirect,5,0.0005008241599716712
64,keyvalue,14,1.0156750000533066e-06
32,indirect,39,8.522812499904831e-07
2048,keyvalue,35,5.942687500464672e-05
16,keyvalue,23,7.089860999864565e-07
16,direct,2,4.334611000255488e-07
32768,direct,19,0.0019711562499651336
65536,indirect,5,0.00513626383326482
2048,keyvalue,10,4.60316699991381e-05
32768,keyvalue,19,0.00200488891656884
2048,direct,4,5.223541999839654e-05
4,direct,37,3.688699999838718e-07
256,indirect,14,3.1348749998869607e-06
4,keyvalue,29,6.170433400257025e-07
4,indirect,15,6.164708399955998e-07
8,direct,17,3.8802416001999517e-07
2048,direct,38,2.39820799924928e-05
4,direct,32,3.669616600018344e-07
32768,indirect,6,0.0024353402498794217
4096,direct,16,0.00017331834000287925
8192,direct,33,0.0004106133399909595
64,keyvalue,38,1.0476374998688698e-06
32,indirect,3,8.378937500310712e-07
128,direct,36,1.218824999887147e-06
4,direct,14,3.723233200071263e-07
2048,indirect,33,3.4221044998048456e-05
1048576,direct,8,0.08157016700170061
32,keyvalue,2,7.919812500404078e-07
8,indirect,2,6.337175000226125e-07
4,indirect,5,6.293183399975532e-07
128,keyvalue,16,1.64461679996748e-06
1024,keyvalue,32,1.1022000002412825e-05
128,direct,0,1.2462333997973474e-06
32,keyvalue,36,8.333250000760017e-07
4,direct,27,3.680958399854717e-07
512,keyvalue,0,5.45741699897917e-06
64,indirect,9,1.1392374999559252e-06
128,direct,25,1.2329834000411211e-06
1048576,direct,3,0.08373058400138689
16,direct,13,4.352125000271675e-07
256,indirect,22,3.2230835004156687e-06
8,indirect,31,6.501941600072314e-07
262144,keyvalue,11,0.020035396000821493
65536,indirect,8,0.005471472166694487
16,keyvalue,24,7.183208333420528e-07
32,keyvalue,11,8.571041999857699e-07
128,indirect,35,1.922049999848241e-06
16384,keyvalue,5,0.0009775399999489309
2048,direct,19,5.022208499212866e-05
256,indirect,31,3.1864580005276367e-06
2048,keyvalue,17,4.470833499908622e-05
8192,direct,12,0.00038523666000401136
2048,direct,22,4.66741699983686e-05
16,direct,1,4.207208333658248e-07
256,direct,6,2.292604499416484e-06
8,indirect,26,6.605349999881582e-07
1024,direct,38,9.377583999594208e-06
4194304,keyvalue,0,0.38114266599950497
32768,indirect,15,0.002495583333408528
16384,keyvalue,37,0.0009711399999650893
8,indirect,1,6.298333199811168e-07
64,indirect,25,1.0772290999739198e-06
2048,keyvalue,34,3.1275625005946494e-05
32768,direct,30,0.001935486166530609
1024,direct,29,9.681668001576327e-06
8,indirect,24,6.369366800208809e-07
16384,keyvalue,19,0.0009124066799995489
16384,keyvalue,0,0.0009206599999743049
128,direct,10,1.2160081998445093e-06
1048576,direct,11,0.08143116700011888
32768,keyvalue,4,0.002060986083354995
2048,keyvalue,7,4.7638539999752535e-05
32768,direct,7,0.0019378820000686876
32,indirect,0,8.331375000125263e-07
2048,keyvalue,29,6.195187500452449e-05
256,direct,4,2.193562499996915e-06
128,indirect,14,1.7978750001930167e-06
128,direct,18,1.188449999972363e-06
65536,direct,9,0.0040887151665932224
16,keyvalue,4,7.324374999977105e-07
128,keyvalue,25,1.6544166002859129e-06
262144,keyvalue,4,0.019688000000314787
4096,direct,18,0.00015220582999972976
2048,direct,3,6.17716649958311e-05
1024,keyvalue,28,1.0869499998079846e-05
2048,keyvalue,32,4.6746460002395905e-05
8,keyvalue,16,6.347266599914292e-07
1048576,indirect,1,0.10608587500064459
8,indirect,19,6.449883399909595e-07
8,indirect,30,6.539108400102123e-07
1024,keyvalue,15,1.1058999996748752e-05
1024,direct,25,9.513000000879402e-06
2048,indirect,24,4.6642704992336805e-05
16,direct,20,4.446250000304038e-07
16,direct,5,4.503541666660264e-07
16384,direct,35,0.0008898516799672507
2048,keyvalue,9,6.740854500094429e-05
8,direct,19,3.7770250000903616e-07
256,indirect,16,3.0333124996104744e-06
16384,indirect,2,0.0011016350000136298
32768,direct,24,0.0019220451666418132
512,keyvalue,20,5.465375001222128e-06
128,keyvalue,34,1.5677999999752502e-06
32768,keyvalue,10,0.0020839409166910627
128,indirect,22,1.7516165997221833e-06
64,keyvalue,39,1.069724999979371e-06
8192,keyvalue,3,0.00043682667997927636
2048,direct,1,3.178583499902743e-05
1048576,direct,7,0.08314149999932852
32768,keyvalue,30,0.002017444416651415
64,indirect,23,1.1436666998633883e-06
256,keyvalue,13,2.7831249999508146e-06
