Series length,Threads,Method,Run,Runtime
512,8,intervals_msort,8,0.13853254100104095
512,8,presort,1,0.11212633300601738
512,8,intervals_msort,0,0.1362047079965123
512,8,presort,0,0.1126806249958463
512,8,intervals,9,0.13580987499881303
512,8,presort,5,0.11392083299870137
512,8,intervals_msort,7,0.13802058300643694
512,8,intervals_msort,9,0.13737741699878825
512,8,presort,6,0.11197054199874401
512,8,intervals,4,0.1365788330003852
512,8,presort,3,0.11130470799980685
512,8,intervals,2,0.13505616700422252
512,8,intervals,6,0.13616070799616864
512,8,intervals_msort,4,0.13820291699812515
512,8,intervals_msort,6,0.1371778750035446
512,8,presort,8,0.11202804200001992
512,8,intervals,7,0.13623166699835565
512,8,presort,9,0.11269895800069207
512,8,intervals_msort,3,0.13585566699475748
512,8,presort,7,0.11232612499588868
512,8,intervals,8,0.13608891700278036
512,8,presort,4,0.1120254580018809
512,8,intervals,0,0.1351852500010864
512,8,intervals,3,0.13498199999594362
512,8,intervals_msort,1,0.1408556660026079
512,8,intervals_msort,5,0.13978754200070398
512,8,intervals,5,0.13718225000047823
512,8,intervals,1,0.13585374999820488
512,8,intervals_msort,2,0.13737745900289156
512,8,presort,2,0.11364733299706131
1024,8,presort,8,0.18490204199770233
1024,8,presort,5,0.18435712499922374
1024,8,intervals,6,0.2535227499975008
1024,8,presort,7,0.18826908400660614
1024,8,intervals,2,0.25424279200524325
1024,8,intervals_msort,5,0.255433999998786
1024,8,intervals,9,0.25422354199690744
1024,8,intervals,5,0.254346790999989
1024,8,presort,2,0.1874650419995305
1024,8,presort,0,0.18513733299914747
1024,8,presort,4,0.18687499999941792
1024,8,intervals_msort,4,0.25924400000076275
1024,8,intervals,7,0.2563474589987891
1024,8,intervals,1,0.25490645799436606
1024,8,intervals,8,0.25677812499634456
1024,8,intervals_msort,2,0.2577292909991229
1024,8,intervals_msort,1,0.25685304100625217
1024,8,intervals,4,0.2559478749972186
1024,8,intervals_msort,3,0.26094799999555107
1024,8,intervals_msort,0,0.2581871250004042
1024,8,presort,9,0.18393758300226182
1024,8,intervals_msort,9,0.25744750000012573
1024,8,presort,3,0.18641541700344533
1024,8,presort,1,0.18578004200389842
1024,8,presort,6,0.18512291699880734
1024,8,intervals,0,0.2559017909952672
1024,8,intervals_msort,8,0.2585152090032352
1024,8,intervals,3,0.2570084170001792
1024,8,intervals_msort,6,0.2572307910013478
1024,8,intervals_msort,7,0.25748937500611646
2048,8,intervals,6,0.47112312499666587
2048,8,intervals,2,0.4696854580033687
2048,8,intervals_msort,9,0.4736485419998644
2048,8,intervals,1,0.46933837499818765
2048,8,intervals,8,0.4800471659982577
2048,8,presort,1,0.35448975000326755
2048,8,presort,0,0.35844512499897974
2048,8,presort,2,0.35458945899881655
2048,8,intervals_msort,5,0.4953874159982661
2048,8,presort,9,0.35345687499648193
2048,8,intervals_msort,7,0.4977341250050813
2048,8,intervals_msort,8,0.4954277090000687
2048,8,intervals_msort,1,0.49017116599861765
2048,8,presort,3,0.3563363749999553
2048,8,presort,5,0.35671429200010607
2048,8,intervals_msort,4,0.49333370899694273
2048,8,intervals,5,0.4860152080000262
2048,8,intervals_msort,6,0.4974412499941536
2048,8,presort,4,0.35350408300291747
2048,8,intervals_msort,3,0.4961557919959887
2048,8,intervals_msort,2,0.49407358300231863
2048,8,intervals,7,0.4841065420041559
2048,8,presort,6,0.36041587500221794
2048,8,presort,8,0.3557325419969857
2048,8,intervals,3,0.48514558400347596
2048,8,intervals,0,0.48479362500074785
2048,8,presort,7,0.3546376250014873
2048,8,intervals,9,0.4834290830040118
2048,8,intervals_msort,0,0.49908133399731014
2048,8,intervals,4,0.4896791659994051
4096,8,presort,5,0.6480554590016254
4096,8,intervals,9,0.8208444999982021
4096,8,intervals_msort,3,0.8316175420040963
4096,8,intervals,0,0.8186946660061949
4096,8,intervals_msort,4,0.8349851250022766
4096,8,intervals_msort,9,0.8304878749986528
4096,8,presort,9,0.6484757079961128
4096,8,intervals,2,0.8173300420021405
4096,8,intervals_msort,2,0.8338989999974729
4096,8,intervals,8,0.8172291669980041
4096,8,presort,8,0.6426465420008753
4096,8,presort,7,0.6616974589996971
4096,8,intervals_msort,7,0.8343965419990127
4096,8,intervals_msort,1,0.8254247499935445
4096,8,presort,2,0.6397694580009556
4096,8,presort,0,0.6436411249960656
4096,8,intervals,1,0.8168304999999236
4096,8,intervals,3,0.816383291996317
4096,8,intervals_msort,8,0.831238916995062
4096,8,presort,6,0.6420552089984994
4096,8,intervals,4,0.8174150419945363
4096,8,intervals_msort,5,0.8317226669969386
4096,8,intervals,7,0.822632417002751
4096,8,intervals_msort,0,0.8278676659974735
4096,8,presort,1,0.6457782080033212
4096,8,intervals_msort,6,0.830768291001732
4096,8,presort,4,0.6475139579997631
4096,8,intervals,6,0.8173585420008749
4096,8,intervals,5,0.8146338329970604
4096,8,presort,3,0.6492495839993353
8192,8,presort,8,1.257137207998312
8192,8,intervals_msort,1,1.4267757079942385
8192,8,intervals,5,1.384223250002833
8192,8,presort,6,1.2407512499994482
8192,8,presort,9,1.2402162090002093
8192,8,intervals,6,1.388463082999806
8192,8,presort,0,1.2417921249943902
8192,8,intervals_msort,2,1.407887875000597
8192,8,intervals,1,1.3804910830003791
8192,8,intervals_msort,3,1.3988059999974212
8192,8,intervals,7,1.3806275410024682
8192,8,intervals,2,1.3924232499994105
8192,8,intervals,0,1.3863370409962954
8192,8,presort,4,1.2559425419967738
8192,8,presort,5,1.2536545830007526
8192,8,intervals,9,1.3871895830016001
8192,8,intervals,4,1.3801489999968908
8192,8,presort,2,1.24426558399864
8192,8,intervals_msort,5,1.4037243749990012
8192,8,intervals_msort,8,1.4051685419981368
8192,8,intervals_msort,0,1.4118983750013285
8192,8,presort,7,1.2427107920011622
8192,8,intervals,8,1.4139718330043252
8192,8,presort,3,1.442399542000203
8192,8,intervals_msort,7,1.4952052500011632
8192,8,presort,1,1.256374999997206
8192,8,intervals,3,1.3842825000028824
8192,8,intervals_msort,6,1.394327540998347
8192,8,intervals_msort,4,1.404970832998515
8192,8,intervals_msort,9,1.3982768749992829
16384,8,intervals,2,2.5009124580028583
16384,8,presort,2,2.3527785419937572
16384,8,intervals_msort,0,2.513394374997006
16384,8,intervals_msort,9,2.5029357919993345
16384,8,intervals,9,2.495610083999054
16384,8,intervals,3,2.487156249997497
16384,8,presort,8,2.3561959579965333
16384,8,intervals_msort,3,2.5263970419982797
16384,8,intervals,6,2.554565917002037
16384,8,intervals_msort,8,2.59451770799933
16384,8,presort,6,2.375410082997405
16384,8,intervals_msort,7,2.565463708000607
16384,8,intervals_msort,5,2.542617209001037
16384,8,intervals_msort,4,2.550532207998913
16384,8,intervals,5,2.522857459000079
16384,8,intervals,4,2.834786792001978
16384,8,intervals,8,2.932655625001644
16384,8,presort,3,2.7670577090029838
16384,8,presort,5,2.499395209000795
16384,8,presort,7,2.421341916997335
16384,8,intervals_msort,2,2.6112325829963083
16384,8,intervals_msort,1,2.629223208001349
16384,8,presort,9,2.4197338340018177
16384,8,intervals,7,2.5647996670013526
16384,8,intervals,1,2.56492637500196
16384,8,presort,0,2.4216643330000807
16384,8,intervals,0,2.569787707994692
16384,8,presort,4,2.419991624999966
16384,8,intervals_msort,6,2.598423916999309
16384,8,presort,1,2.4227647910011
32768,8,intervals,3,4.947246541996719
32768,8,intervals,8,4.881334167002933
32768,8,intervals,9,4.840373125000042
32768,8,presort,2,4.774288500004332
32768,8,intervals,0,4.871168332996604
32768,8,intervals_msort,7,4.93580183400627
32768,8,intervals_msort,2,4.972608333002427
32768,8,presort,7,4.8213306670004386
32768,8,intervals_msort,0,4.962001625004632
32768,8,intervals_msort,3,4.958744709001621
32768,8,presort,0,4.8309636669946485
32768,8,presort,6,4.863935666006
32768,8,intervals,1,4.937200749998738
32768,8,intervals,4,5.001457958001993
32768,8,intervals_msort,8,4.939487791998545
32768,8,intervals_msort,6,4.968503750002128
32768,8,intervals_msort,4,5.0192687079979805
32768,8,intervals,5,4.940541125004529
32768,8,intervals_msort,1,4.979386040999088
32768,8,intervals,7,4.915527541998017
32768,8,intervals_msort,5,4.941948082996532
32768,8,presort,9,4.964497291999578
32768,8,presort,5,4.902594166997005
32768,8,intervals,6,4.874085583003762
32768,8,presort,8,4.833025540996459
32768,8,presort,3,5.05243566599529
32768,8,intervals,2,4.922182583002723
32768,8,presort,1,4.892935957999725
32768,8,intervals_msort,9,4.670862833001593
32768,8,presort,4,4.566734332998749
