Mode,Depth,Div,kappa,tau_scalar,tau_vec,delta,NL_Threshold
approx,6,4,2.949129436262786e-05,2.0840509545831522e-08,3.126769579755678e-08,-1.0427186251725256e-08,inf
exact,6,4,4.8129249885314494e-05,3.881694193595311e-09,1.2883443392227238e-08,-9.001749198631927e-09,inf
