Series length,Number of samples,Estimator,Runtime_single,Runtime_multi,Speedup
16,1,moment_quant_approx_intervals,0.0045337909999716,0.0045019579993095,1.0070709235108328
16,3,moment_quant_approx_intervals,0.0046537499999885,0.0046140409976942,1.0086061225537755
16,10,moment_quant_approx_intervals,0.0047088750000057,0.0045922499994048,1.0253960478231838
16,30,moment_quant_approx_intervals,0.0048496669999167,0.0047524590008833,1.0204542530541205
16,100,moment_quant_approx_intervals,0.0053820409999616,0.0052997909988334,1.0155194801354062
16,300,moment_quant_approx_intervals,0.0070038329999988,0.0069811250032216,1.003252770401149
16,1000,moment_quant_approx_intervals,0.0132627920000913,0.0130437080006231,1.0167961441223412
16,3000,moment_quant_approx_intervals,0.03067154200005,0.0307088749977992,0.9987842928875813
16,10000,moment_quant_approx_intervals,0.1025329579999834,0.104131584001152,0.9846480199403198
32,1,moment_quant_approx_intervals,0.010063291999927,0.0099142090002715,1.0150373065215206
32,3,moment_quant_approx_intervals,0.0102978339999708,0.0102312079980038,1.0065120366998697
32,10,moment_quant_approx_intervals,0.0104403330000195,0.0103293339998344,1.0107459977755466
32,30,moment_quant_approx_intervals,0.0107706250000774,0.0106575840000004,1.0106066252986603
32,100,moment_quant_approx_intervals,0.0122002909999991,0.0120379169966327,1.0134885465161307
32,300,moment_quant_approx_intervals,0.0166814169999724,0.0164304589998209,1.0152739494468312
32,1000,moment_quant_approx_intervals,0.0308962090000477,0.0305535410006996,1.0112153285061216
32,3000,moment_quant_approx_intervals,0.0733734169999706,0.0729578749997017,1.0056956428661141
32,10000,moment_quant_approx_intervals,0.2524169170001187,0.2443987920014478,1.0328075475865013
64,1,moment_quant_approx_intervals,0.0207199169999512,0.0205602919995726,1.0077637516228815
64,3,moment_quant_approx_intervals,0.0212491669999508,0.0210513750025711,1.0093956806790787
64,10,moment_quant_approx_intervals,0.0215206670000043,0.021317041999282,1.0095522165190254
64,30,moment_quant_approx_intervals,0.0221883750000415,0.0220403749990509,1.006714949314473
64,100,moment_quant_approx_intervals,0.0257992920001015,0.0247645410017867,1.0417835726589944
64,300,moment_quant_approx_intervals,0.0354844589999174,0.0339285000009113,1.0458599407272444
64,1000,moment_quant_approx_intervals,0.0665173329998651,0.0654101660002197,1.0169265278984567
64,3000,moment_quant_approx_intervals,0.1571062919999803,0.154474625000148,1.0170362413880583
64,10000,moment_quant_approx_intervals,0.5363684169999487,0.5458338749995164,0.9826587201104438
128,1,moment_quant_approx_intervals,0.0219529580003836,0.021788000001834,1.0075710482162528
128,3,moment_quant_approx_intervals,0.0226693750000777,0.0223957909984164,1.0122158668868022
128,10,moment_quant_approx_intervals,0.0230207079998763,0.0228005410026526,1.009656218122109
128,30,moment_quant_approx_intervals,0.023959625000316,0.0236842499980411,1.0116269251632488
128,100,moment_quant_approx_intervals,0.0292654170002606,0.0288736250004149,1.0135692002594086
128,300,moment_quant_approx_intervals,0.041617374999987,0.0405700410010467,1.0258154533024328
128,1000,moment_quant_approx_intervals,0.084083875000033,0.0827299169977777,1.0163660021838494
