Dtype,l,Method,Run,Runtime
float64,128,argsort,6,3.4105083999747874e-06
float64,16384,sort,7,0.0009328916799859144
float32,16,argsort,9,2.655133333306973e-06
float64,32768,sort,5,0.002012670166701961
float32,4096,sort,0,0.00017042082999978446
float64,64,argsort,3,2.9872625000280094e-06
float64,16,sort,6,2.7316486000321067e-06
float64,64,argsort,9,2.8957500000615257e-06
float64,8192,argsort,4,0.00039604249999683814
float32,8192,argsort,8,0.0004006350000054226
float32,64,argsort,6,2.8997291999985465e-06
float64,8192,argsort,9,0.0003916016599760042
float64,128,argsort,3,3.3592666000913594e-06
float64,128,sort,2,3.4858333998272427e-06
float64,128,sort,6,3.4501250000175788e-06
float32,128,sort,8,3.4536666000349215e-06
float64,8,sort,4,2.6560999999855995e-06
float64,1024,sort,7,1.362899999730871e-05
float64,32768,sort,1,0.0019863750000392124
float64,8192,sort,5,0.00040671917999134165
float32,16,argsort,1,2.5626749999598057e-06
float32,64,argsort,9,2.9682833001061226e-06
float64,4,sort,2,2.6908208399981957e-06
float32,32,sort,6,2.7355458500096574e-06
float32,8192,sort,9,0.0003778608400170924
float32,8,sort,9,2.7214008399823796e-06
float64,1024,sort,4,1.3554834000387928e-05
float32,32768,argsort,9,0.0019289964999795
float64,8192,argsort,8,0.0003879266600051778
float32,4,sort,0,2.6331491600285516e-06
float64,4096,argsort,3,0.00017543124999065186
float32,4096,argsort,4,0.00017448542001147872
float32,8192,argsort,4,0.0004123016800076584
float32,16,sort,1,2.70351390002664e-06
float64,32768,argsort,7,0.001980201416699856
float32,8,argsort,6,2.5749308199738154e-06
float64,256,argsort,5,4.510166500040213e-06
float64,8,sort,2,2.694403340028657e-06
float64,32,argsort,7,2.719112500017218e-06
float64,4,sort,7,2.688537499998347e-06
float64,64,sort,3,3.0439707999903476e-06
float32,8192,sort,4,0.00039023583998641696
float32,256,sort,9,4.65514549978252e-06
float32,128,sort,5,3.369975000168779e-06
float64,16384,sort,2,0.0008785799999895971
float64,16384,sort,1,0.0009112516800087178
float64,16384,sort,5,0.0009143133200268494
float32,16384,sort,4,0.000866805000041495
float32,16384,argsort,6,0.0008698866800114047
float32,32768,sort,7,0.0018931354167458874
float32,8192,sort,6,0.00039191665997350355
float64,32768,argsort,0,0.0019737638332723386
float64,32768,sort,4,0.0020055451667152133
float32,1024,sort,9,1.3677999999345047e-05
float64,16,argsort,2,2.607826400041328e-06
float64,16384,argsort,0,0.0009182166800019331
float32,8192,argsort,3,0.0004110183400189271
float64,512,argsort,7,7.337958000789513e-06
float32,4,sort,2,2.6116541600276832e-06
float64,32768,argsort,1,0.0020079444999889042
float32,64,argsort,1,2.928329099995608e-06
float64,4,sort,3,2.670101660005457e-06
float32,2048,argsort,4,3.0080209999141516e-05
float64,32,argsort,2,2.6231978999931015e-06
float32,16384,sort,6,0.0008508050000091316
float32,1024,argsort,8,1.3311250000697327e-05
float32,4096,argsort,3,0.0001683733400022902
float32,16,sort,9,2.686847233356578e-06
float32,16384,sort,2,0.0008510999999998603
float64,4,argsort,9,2.5039066600220393e-06
float32,256,argsort,8,4.535957999905804e-06
float64,4096,argsort,7,0.0001883595800063631
float64,128,sort,4,3.423741799997515e-06
float32,512,sort,7,7.3760420000326125e-06
float64,8,argsort,2,2.556251659989357e-06
float32,512,argsort,7,7.362415999523364e-06
float32,16,argsort,7,2.514191666705301e-06
float32,256,argsort,1,4.592562499965425e-06
float32,256,argsort,6,4.5508749999498835e-06
float64,128,sort,3,3.399541599719669e-06
float64,64,argsort,1,2.9282499999681023e-06
float64,32768,argsort,5,0.0019421632500780106
float64,256,sort,2,4.685146000156237e-06
float32,8192,argsort,6,0.0003751966799973161
float64,64,argsort,6,3.026862499973504e-06
float32,32768,argsort,1,0.001902166666695848
float32,64,argsort,0,3.0298790999950144e-06
float32,64,sort,0,3.029645800052094e-06
float64,2048,argsort,8,5.746312500377826e-05
float64,64,sort,2,3.027500000098371e-06
float64,32,sort,6,2.7654312500089873e-06
float64,64,sort,8,3.0841374998999526e-06
float32,32,sort,5,2.754841649948503e-06
float32,1024,sort,3,1.3432415998977376e-05
float32,256,sort,5,4.662833000111277e-06
float32,128,argsort,7,3.2702332002372715e-06
float64,4096,argsort,4,0.0001639604099909775
float64,16,argsort,5,2.5687610999739264e-06
float32,16,argsort,0,2.675855533319312e-06
float32,4,sort,1,2.6575883199984675e-06
float32,16,sort,4,2.6973153000047506e-06
float32,8192,argsort,1,0.00039069915997970385
float64,4096,sort,5,0.00016860042000189424
float64,16,sort,4,2.678976399996221e-06
float32,32,argsort,9,2.7113770999676488e-06
float32,32768,sort,2,0.001916708333283168
float32,256,sort,7,4.670541999985289e-06
float32,256,sort,4,4.790603999936138e-06
float64,32,sort,9,2.7311520500006735e-06
float64,32768,sort,0,0.0020186493332706354
float64,32768,sort,9,0.0020383472500119146
float64,16384,argsort,5,0.0009061600000131875
float64,32,sort,3,2.7214291500058606e-06
float32,64,sort,2,2.97824169992964e-06
float32,4,sort,7,2.6168458399843074e-06
float64,8192,sort,0,0.0003928491600163397
float64,1024,sort,9,1.7945083996892207e-05
float64,128,argsort,9,3.268499999830965e-06
float64,512,argsort,2,7.339708001381951e-06
float64,8,sort,3,2.673866660006752e-06
float32,2048,sort,1,3.243854000174906e-05
float64,1024,sort,6,1.4058500000828645e-05
float64,8192,sort,8,0.00039088333996915023
float64,4096,sort,9,0.0001724058400031936
float64,256,sort,4,4.765270499774488e-06
float64,4,sort,4,2.6507258199853823e-06
float64,8,argsort,7,2.538710840017302e-06
float32,1024,argsort,6,1.342258400109131e-05
float32,8,sort,3,2.6172416799818164e-06
float32,2048,argsort,8,3.650791500149353e-05
float64,4,argsort,8,2.601619179986301e-06
float64,32,argsort,6,2.7185500000086906e-06
float32,16,argsort,3,2.643937499973011e-06
float64,512,sort,7,7.694916999753332e-06
float64,32768,argsort,3,0.0020048680833800367
float32,4096,sort,1,0.00016300499999488238
float32,2048,argsort,1,7.364457999756269e-05
float64,64,argsort,8,2.9090541000186933e-06
float32,256,sort,3,4.5203125000625735e-06
float64,4096,argsort,0,0.0001700945800075715
float64,32,argsort,3,2.586462500039488e-06
float64,2048,sort,2,5.3520000001299195e-05
float64,4,argsort,1,2.6167033199817524e-06
float32,2048,sort,6,2.795542000058049e-05
float64,4,sort,0,2.606950820008933e-06
float32,32,argsort,0,2.6640937500815197e-06
float64,8,sort,5,2.639561659998435e-06
float32,1024,argsort,4,1.31748339990736e-05
float32,8192,argsort,0,0.0003831408400219516
float64,16384,argsort,9,0.0009358866799448151
float32,4096,sort,2,0.00017148167000414106
float32,128,argsort,8,3.4738915997877483e-06
float64,16,argsort,1,2.6022222333267564e-06
float32,256,argsort,7,4.5268955000210555e-06
float64,1024,sort,1,1.3712415999179938e-05
float64,256,sort,7,4.652624999835097e-06
float32,16384,argsort,1,0.000873046679989784
float64,8192,sort,9,0.0004213175000040792
float64,8192,argsort,3,0.0004054650000034599
float64,4096,sort,8,0.00017815541999880225
float32,1024,argsort,5,1.351283400072134e-05
float32,32768,sort,8,0.0019209965832184632
float32,1024,sort,1,1.3225499998952727e-05
float64,4,sort,5,2.678144159981457e-06
float64,16,argsort,8,2.556756933336146e-06
float32,256,argsort,3,4.465041500225198e-06
float32,16384,argsort,5,0.0008718099999532569
float64,1024,argsort,5,1.3579999998910352e-05
float32,16384,argsort,8,0.0008690449999994598
float32,2048,sort,8,6.007771000440698e-05
float64,8192,sort,1,0.00039536915999633494
float64,4096,argsort,2,0.0001777195899921935
float64,16,sort,3,2.6017374999961855e-06
float64,1024,argsort,8,1.4056665997486561e-05
float32,1024,sort,8,1.34666659978393e-05
float64,8,argsort,4,2.5021075000040584e-06
float32,32,sort,3,2.7763458499975966e-06
float32,1024,argsort,9,1.3316000000486382e-05
float32,128,sort,7,3.5062581999227406e-06
float32,1024,sort,5,1.3272333999339026e-05
float32,64,sort,1,2.9963832999783335e-06
float64,32,sort,8,2.8104062500460712e-06
float32,512,argsort,1,7.3146250015270194e-06
float64,64,argsort,7,2.85802500002319e-06
float32,32,sort,8,2.834800000073301e-06
float32,8,argsort,8,2.562063340010354e-06
