Dataset,Resample,Estimator,Accuracy,BalancedAccuracy,LogLoss,ROCAUC,F1,Runtime,Runtime_FeatureExtractionTrain,Runtime_ClassifierFit,Runtime_FeatureExtractionTest,Runtime_Prediction
ACSF1,0,moment_quant_exact,0.92,0.9199999999999999,0.4054526578959613,0.9943333333333334,0.9192648287385129,1.5416868329994031,0.09212074999959441,1.3540947919973405,0.08840920800139429,0.0070620830010739155
ACSF1,0,moment_quant_approx,0.85,0.85,0.5689418410438377,0.9839444444444445,0.8469393179919495,1.5206749999997555,0.06724629199743504,1.3823829160028254,0.06455812499916647,0.006487667000328656
ACSF1,0,quant,0.92,0.9199999999999999,0.4054526578959613,0.9943333333333334,0.9192648287385129,1.6606148749997374,0.15479316699929768,1.3461949580014334,0.15291916699789,0.006707583001116291
ACSF1,1,moment_quant_exact,0.79,0.79,0.7322212752671201,0.9674444444444446,0.7842840687577528,1.4442608329991344,0.09486837499571266,1.254050333001942,0.08873666699946625,0.00660545800201362
ACSF1,1,moment_quant_approx,0.76,0.76,1.4374176323560999,0.9530000000000001,0.7553840697224732,1.3927547089988366,0.06683725000038976,1.2540226249984698,0.0654379589977907,0.00645687500218628
ACSF1,1,quant,0.79,0.79,0.7322212752671201,0.9674444444444446,0.7842840687577528,1.5651009590001195,0.15701883399742655,1.2480433329983498,0.15346545800275635,0.0065733340015867725
ACSF1,2,moment_quant_exact,0.83,0.8300000000000001,0.5736500475665158,0.9812222222222223,0.8224546214019897,1.5147444579997682,0.09328399999503745,1.326076458004536,0.08877729199593887,0.006606708004255779
ACSF1,2,moment_quant_approx,0.78,0.78,0.7158564455176735,0.9641111111111111,0.772703818369453,1.4884085840021726,0.06776245900255162,1.3494182909998926,0.06460095899819862,0.006626875001529697
ACSF1,2,quant,0.83,0.8300000000000001,0.5736500475665158,0.9812222222222223,0.8224546214019897,1.6386921250013984,0.1551257920000353,1.3237349170012749,0.1529556660025264,0.0068757499975617975
ACSF1,3,moment_quant_exact,0.73,0.73,1.5410541221916958,0.9425555555555555,0.7308169299479031,1.4506392500043148,0.09423475000221515,1.26012812499539,0.089696166003705,0.006580209003004711
ACSF1,3,moment_quant_approx,0.7,0.7,1.317644536853792,0.9395000000000002,0.6966436622958362,1.346196250000503,0.0677101670007687,1.205135500000324,0.06683450000127777,0.006516082998132333
ACSF1,3,quant,0.73,0.73,1.5410541221916958,0.9425555555555555,0.7308169299479031,1.585121791002166,0.1556136660001357,1.2686040420012432,0.15426779200060992,0.0066362910001771525
ACSF1,4,moment_quant_exact,0.8,0.8,0.6997878779266925,0.9781111111111112,0.7914319281024086,1.5279224580008304,0.09184275000006892,1.341105208004592,0.0882975419954164,0.006676958000753075
ACSF1,4,moment_quant_approx,0.72,0.72,0.6919758313479343,0.9800555555555556,0.697128746327831,1.4695302920008544,0.06683683399751317,1.3312534159995266,0.0647781669977121,0.006661875006102491
ACSF1,4,quant,0.8,0.8,0.6997878779266925,0.9781111111111112,0.7914319281024086,1.6574350830051117,0.15456437499960884,1.342533833005291,0.1535048329969868,0.0068320420032250695
ACSF1,5,moment_quant_exact,0.75,0.75,1.329220840082834,0.9618333333333333,0.7480487576765675,1.4984059580019675,0.0950409170036437,1.307420416000241,0.0892724589939462,0.00667216600413667
ACSF1,5,moment_quant_approx,0.7,0.7,2.1344221475800818,0.9383888888888889,0.6935969603152264,1.407590082999377,0.06799208300071768,1.2678852079989156,0.06521500000235392,0.006497791997389868
ACSF1,5,quant,0.75,0.75,1.329220840082834,0.9618333333333333,0.7480487576765675,1.625561499997275,0.15498787500109756,1.3081659999952535,0.1556364999996731,0.006771125001250766
ACSF1,6,moment_quant_exact,0.8,0.8,1.4367231382196106,0.9493888888888888,0.7953939997051452,1.4456843749940163,0.09363370799837867,1.257768584000587,0.08775204099947587,0.00653004199557472
ACSF1,6,moment_quant_approx,0.69,0.6900000000000001,1.5742497741585908,0.9317777777777776,0.6804804559643705,1.392317332996754,0.06680166599835502,1.254183709002973,0.06480649999866728,0.006525457996758632
ACSF1,6,quant,0.8,0.8,1.4367231382196106,0.9493888888888888,0.7953939997051452,1.5738789169990923,0.15534754200052703,1.2578914580008131,0.1539229579939274,0.006716959003824741
ACSF1,7,moment_quant_exact,0.79,0.79,0.5831287933626568,0.9837777777777776,0.7808669692133147,1.505926833000558,0.09335508299409412,1.3171542500058422,0.08886929199798033,0.006548208002641331
ACSF1,7,moment_quant_approx,0.77,0.77,0.6656962988442092,0.9785555555555555,0.7631600643863398,1.4597380830018665,0.06793091700092191,1.3204969159996836,0.06483808399934787,0.006472166001913138
ACSF1,7,quant,0.79,0.79,0.5831287933626568,0.9837777777777776,0.7808669692133147,1.6338417919978383,0.1551404170022579,1.3181538749995525,0.15393808299995726,0.0066094169960706495
ACSF1,8,moment_quant_exact,0.86,0.86,0.5685095686926762,0.9821666666666666,0.8589471936059633,1.555839915999968,0.09295004099840298,1.3661578340033884,0.09020145799877355,0.006530582999403123
ACSF1,8,moment_quant_approx,0.81,0.8099999999999999,0.9680875917145945,0.9756111111111112,0.8104327256178111,1.539925958000822,0.0675502499943832,1.4007442080037436,0.06492820900166407,0.006703291001031175
ACSF1,8,quant,0.86,0.86,0.5685095686926762,0.9821666666666666,0.8589471936059633,1.6761698339978466,0.15575441699911607,1.3596825830027228,0.15411633400071878,0.006616499995288905
ACSF1,9,moment_quant_exact,0.79,0.7899999999999999,1.700152484416351,0.9544999999999999,0.7940150675067892,1.425963291003427,0.09364800000184914,1.2362850409990642,0.08948679199966136,0.006543458002852276
ACSF1,9,moment_quant_approx,0.76,0.76,1.128552190164094,0.9565,0.7657723229642734,1.4083242500055349,0.06776241700572427,1.269085374995484,0.06497574999957578,0.006500708004750777
ACSF1,9,quant,0.79,0.7899999999999999,1.700152484416351,0.9544999999999999,0.7940150675067892,1.5595661670013214,0.15535291700507514,1.2418160829984117,0.1555854170001112,0.006811749997723382
ACSF1,10,moment_quant_exact,0.79,0.79,1.3231180908393905,0.9672222222222223,0.7847737203195543,1.4741920830056188,0.09361158300453098,1.2862724169972353,0.08776149999903282,0.006546583004819695
ACSF1,10,moment_quant_approx,0.77,0.77,0.8243791637790525,0.9577222222222223,0.7668094478620795,1.429450874995382,0.06682049999653827,1.2912321670009987,0.06483450000087032,0.006563707996974699
ACSF1,10,quant,0.79,0.79,1.3231180908393905,0.9672222222222223,0.7847737203195543,1.5991852500010282,0.15655666700331494,1.281838290997257,0.15341458399780095,0.007375708002655301
ACSF1,11,moment_quant_exact,0.81,0.8099999999999999,1.0507049089406273,0.9587777777777778,0.8009266000970807,1.4316094159948989,0.0960274999961257,1.2413872910037753,0.08767058399826055,0.0065240409967373125
ACSF1,11,moment_quant_approx,0.76,0.76,0.7564492963116328,0.9615,0.7544529142355227,1.411687959000119,0.06699074999778531,1.2729579170045326,0.06519595799909439,0.0065433339987066574
ACSF1,11,quant,0.81,0.8099999999999999,1.0507049089406273,0.9587777777777778,0.8009266000970807,1.5557787090001511,0.15626150000025518,1.2400375420038472,0.1528981669980567,0.0065814999979920685
ACSF1,12,moment_quant_exact,0.84,0.8400000000000001,0.5170105020832456,0.9877222222222223,0.8381370091896406,1.538939541002037,0.09461629099678248,1.3494025840045651,0.08818579099897761,0.006734875001711771
ACSF1,12,moment_quant_approx,0.82,0.82,0.633710577099354,0.9782777777777778,0.8183672192960119,1.5318010829942068,0.06702529199537821,1.3920290829992155,0.06615933300054166,0.006587374999071471
ACSF1,12,quant,0.84,0.8400000000000001,0.5170105020832456,0.9877222222222223,0.8381370091896406,1.6687453750055283,0.1566212500038091,1.3511479169974336,0.1542820410031709,0.0066941670011146925
ACSF1,13,moment_quant_exact,0.86,0.86,0.8637316554460851,0.9826666666666667,0.8512265512265512,1.51461091600504,0.0932124160026433,1.3270273340021959,0.08780683299846714,0.0065643330017337576
ACSF1,13,moment_quant_approx,0.74,0.74,1.3720290404199156,0.9638333333333334,0.7273235361130098,1.4522602500001085,0.06645749999734107,1.31357145900256,0.06568270800198661,0.006548582998220809
ACSF1,13,quant,0.86,0.86,0.8637316554460851,0.9826666666666667,0.8512265512265512,1.6496951669978444,0.1564864999963902,1.3335101250049775,0.15298095799516886,0.006717584001307841
ACSF1,14,moment_quant_exact,0.84,0.8400000000000001,0.5403354041359671,0.9891666666666667,0.8390702012723819,1.539096917003917,0.09614370800409233,1.3465218749988708,0.08982083400042029,0.006610500000533648
ACSF1,14,moment_quant_approx,0.78,0.78,0.6433931948570297,0.976388888888889,0.7794178521557711,1.5151824579952518,0.06685991699487204,1.3768448750051903,0.06492845799948554,0.0065492079957039095
ACSF1,14,quant,0.84,0.8400000000000001,0.5403354041359671,0.9891666666666667,0.8390702012723819,1.665353624994168,0.15636049999739043,1.3476942089982913,0.15470104099949822,0.006597874998988118
ACSF1,15,moment_quant_exact,0.79,0.79,1.2778399179923998,0.9661111111111111,0.7831745016847319,1.4671439589947113,0.09320529199612793,1.2792977499993867,0.0880487920003361,0.006592124998860527
ACSF1,15,moment_quant_approx,0.75,0.75,1.0941389833352044,0.9581111111111111,0.7436309176607332,1.402683000000252,0.0669208340041223,1.2646631659954437,0.06455279199872166,0.00654620800196426
ACSF1,15,quant,0.79,0.79,1.2778399179923998,0.9661111111111111,0.7831745016847319,1.5968929170048796,0.15411629200389143,1.2813180409939378,0.154919709006208,0.006538875000842381
ACSF1,16,moment_quant_exact,0.75,0.75,1.4895297495103264,0.9555555555555557,0.7418907339650374,1.3994340830031433,0.09380300000339048,1.2104548330025864,0.08862274999410147,0.006553500003064983
ACSF1,16,moment_quant_approx,0.64,0.64,0.9703902323278496,0.9532777777777777,0.6270319738740792,1.3535780000020168,0.06825100000423845,1.2135734159965068,0.06524920900119469,0.006504375000076834
ACSF1,16,quant,0.75,0.75,1.4895297495103264,0.9555555555555557,0.7418907339650374,1.5381374580028933,0.15709995799988974,1.2213594999993802,0.1531348330026958,0.006543167000927497
ACSF1,17,moment_quant_exact,0.85,0.85,0.5497949126642301,0.9864444444444445,0.8434806111613219,1.5591072910028743,0.09331479100364959,1.3706261669940432,0.08853208300570259,0.006634249999478925
ACSF1,17,moment_quant_approx,0.79,0.7899999999999999,0.6251276185223807,0.9788888888888888,0.7876228449912659,1.5077813749958295,0.0679495419972227,1.3680152079978143,0.06528708300174912,0.006529541999043431
ACSF1,17,quant,0.85,0.85,0.5497949126642301,0.9864444444444445,0.8434806111613219,1.6908259580013691,0.15521525000076508,1.3743258749964298,0.15466474999993807,0.006620083004236221
