Dataset,SeriesLength,Representation,Depth,Column,Correlation
ItalyPowerDemand,24,fft_magnitude,2,12,0.9584988066388745
ItalyPowerDemand,24,fft_magnitude,2,13,0.9871356840579988
ItalyPowerDemand,24,fft_magnitude,2,14,0.7951206246269557
ItalyPowerDemand,24,fft_magnitude,2,15,0.9414988319554531
ItalyPowerDemand,24,fft_magnitude,2,16,0.9628085597265381
ItalyPowerDemand,24,fft_magnitude,3,18,1.0
ItalyPowerDemand,24,fft_magnitude,3,20,1.0
ItalyPowerDemand,24,fft_magnitude,3,21,1.0
ItalyPowerDemand,24,fft_magnitude,3,23,1.0
ItalyPowerDemand,24,fft_magnitude,3,24,1.0
ItalyPowerDemand,24,fft_magnitude,3,26,1.0
ItalyPowerDemand,24,fft_magnitude,3,28,1.0
ItalyPowerDemand,24,fft_magnitude,3,29,1.0
ItalyPowerDemand,24,fft_magnitude,3,31,1.0
ECG200,96,raw,0,1,0.7168078047950377
ECG200,96,raw,0,2,0.5587698456853101
ECG200,96,raw,0,3,0.6163525310295884
ECG200,96,raw,0,4,0.5696633054129997
ECG200,96,raw,0,5,0.7062707639965766
ECG200,96,raw,0,6,0.8054845679941407
ECG200,96,raw,0,7,0.8105974454559826
ECG200,96,raw,0,8,0.7726526956059927
ECG200,96,raw,0,9,0.749788461794478
ECG200,96,raw,0,10,0.7370957792777113
ECG200,96,raw,0,11,0.704624216478193
ECG200,96,raw,0,12,0.6916988965521503
ECG200,96,raw,0,13,0.6491721576674274
ECG200,96,raw,0,14,0.6186938149957548
ECG200,96,raw,0,15,0.5875175039887148
ECG200,96,raw,0,16,0.5336570153536305
ECG200,96,raw,0,17,0.5054665773987231
ECG200,96,raw,0,18,0.5144337813710397
ECG200,96,raw,0,19,0.49406000018188406
ECG200,96,raw,0,20,0.4979295112620555
ECG200,96,raw,0,21,0.6530901439175656
ECG200,96,raw,0,22,0.5099441566928132
ECG200,96,raw,1,25,0.8853909542993184
ECG200,96,raw,1,26,0.6312211655343418
ECG200,96,raw,1,27,0.7310191616452579
ECG200,96,raw,1,28,0.6741697474932768
ECG200,96,raw,1,29,0.6155553600186003
ECG200,96,raw,1,30,0.8805955653479539
ECG200,96,raw,1,31,0.7797258768100308
ECG200,96,raw,1,32,0.8492726621022855
ECG200,96,raw,1,33,0.5297284452698309
ECG200,96,raw,1,34,0.6604796766232419
ECG200,96,raw,1,37,0.9498705129879235
ECG200,96,raw,1,38,0.9022302867799331
ECG200,96,raw,1,39,0.5410258143977289
ECG200,96,raw,1,40,0.9093190699996035
ECG200,96,raw,1,41,0.7623526245108979
ECG200,96,raw,1,42,0.9494693209879872
ECG200,96,raw,1,43,0.779915299434803
ECG200,96,raw,1,44,0.862877416888703
ECG200,96,raw,1,45,0.5753827180371368
ECG200,96,raw,1,46,0.8596657829921696
ECG200,96,raw,1,49,0.9359999566223544
ECG200,96,raw,1,50,0.8792563291895302
ECG200,96,raw,1,51,0.5839399602554461
ECG200,96,raw,1,52,0.835953253460837
ECG200,96,raw,1,53,0.6279951676779629
ECG200,96,raw,1,54,0.8781206605274825
ECG200,96,raw,1,55,0.5791992361984696
ECG200,96,raw,1,56,0.8472791050590859
ECG200,96,raw,1,57,0.6193828993209474
ECG200,96,raw,1,58,0.8005436689118891
ECG200,96,raw,2,61,0.8607407114615261
ECG200,96,raw,2,62,0.955107617186488
ECG200,96,raw,2,63,0.38164223745399106
ECG200,96,raw,2,64,0.8956820790811076
ECG200,96,raw,2,67,0.9621525438098812
ECG200,96,raw,2,68,0.9175246291434119
ECG200,96,raw,2,69,0.867259173982477
ECG200,96,raw,2,70,0.963697116592348
ECG200,96,raw,2,73,0.9378314813966447
ECG200,96,raw,2,74,0.9688327386554156
ECG200,96,raw,2,75,0.9286717840605714
ECG200,96,raw,2,76,0.9759981895434533
ECG200,96,raw,2,79,0.8824833496499331
ECG200,96,raw,2,80,0.9825164355364037
ECG200,96,raw,2,81,0.5022024527410623
ECG200,96,raw,2,82,0.8905570509336986
ECG200,96,raw,2,85,0.9005419464809394
ECG200,96,raw,2,86,0.9489294237774017
ECG200,96,raw,2,87,0.6174435510928421
ECG200,96,raw,2,88,0.9674770145860078
ECG200,96,raw,2,91,0.9131387437205634
ECG200,96,raw,2,92,0.9870347939507804
ECG200,96,raw,2,93,0.7826080683044881
ECG200,96,raw,2,94,0.9746057885805863
ECG200,96,raw,2,97,0.9127975746157183
ECG200,96,raw,2,98,0.9893939569492776
ECG200,96,raw,2,99,0.7807451199939255
ECG200,96,raw,2,100,0.9866087877018767
ECG200,96,raw,3,103,0.810817132651513
ECG200,96,raw,3,106,0.6760808117122553
ECG200,96,raw,3,109,0.821488304292142
ECG200,96,raw,3,112,0.9407734950352343
ECG200,96,raw,3,115,0.7651618175203013
ECG200,96,raw,3,118,0.6671807595327185
ECG200,96,raw,3,121,0.7139248520910267
ECG200,96,raw,3,124,0.8967452501584413
ECG200,96,raw,3,127,0.6784742012288552
ECG200,96,raw,3,130,0.8125896854996336
ECG200,96,raw,3,133,0.9127845414645288
