Series length,Number of samples,Estimator,Run,Threads,Runtime
16,3,moment_quant_approx_samples,2,8,0.004234207997797057
16,3,moment_quant_exact_samples,7,8,0.0006549159988935571
16,3,moment_quant_exact_intervals,2,8,0.0011437499997555278
16,3,moment_quant_exact_samples,5,8,0.0007264170017151628
16,3,moment_quant_approx_intervals,4,8,0.004662999999709427
16,3,moment_quant_approx_intervals,2,8,0.004634375000023283
16,3,moment_quant_approx_intervals,0,8,0.0046140409976942465
16,3,moment_quant_approx_samples,7,8,0.004329792001954047
16,3,moment_quant_exact_intervals,8,8,0.0011677500006044284
16,3,moment_quant_exact_samples,0,8,0.0008754579976084642
16,3,moment_quant_approx_samples,9,8,0.004185124998912215
16,3,moment_quant_exact_samples,1,8,0.0007939999995869584
16,3,moment_quant_approx_intervals,9,8,0.004662415998609504
16,3,moment_quant_approx_intervals,3,8,0.00462412500201026
16,3,moment_quant_exact_samples,9,8,0.0008477499977743719
16,3,moment_quant_exact_intervals,9,8,0.0011567920009838417
16,3,moment_quant_approx_samples,8,8,0.004461708002054365
16,3,moment_quant_approx_samples,0,8,0.004432624999026302
16,3,moment_quant_approx_intervals,1,8,0.004687332999310456
16,3,moment_quant_approx_intervals,7,8,0.00463116699756938
16,3,moment_quant_approx_intervals,5,8,0.0046211250009946525
16,3,moment_quant_exact_intervals,7,8,0.001149957999587059
16,3,moment_quant_approx_samples,5,8,0.004255541000020457
16,3,moment_quant_exact_samples,8,8,0.0006787919992348179
16,3,moment_quant_approx_samples,1,8,0.004169833002379164
16,3,moment_quant_approx_samples,6,8,0.00418133399944054
16,3,moment_quant_exact_intervals,1,8,0.0011613749993557576
16,3,moment_quant_approx_samples,3,8,0.004226875000313157
16,4,moment_quant_exact_intervals,9,8,0.0011482500012789387
16,4,moment_quant_approx_samples,4,8,0.004221457998937694
16,4,moment_quant_exact_samples,2,8,0.000791041999036679
16,4,moment_quant_exact_samples,5,8,0.0008522499992977828
16,4,moment_quant_approx_intervals,9,8,0.0046302089976961724
16,4,moment_quant_exact_samples,6,8,0.0007475000020349398
16,4,moment_quant_approx_intervals,7,8,0.004557333999400726
16,4,moment_quant_approx_samples,3,8,0.0042285420022381
16,4,moment_quant_exact_intervals,7,8,0.0011541659987415187
16,4,moment_quant_approx_intervals,4,8,0.004573209000227507
16,4,moment_quant_approx_intervals,8,8,0.004557749998639338
16,4,moment_quant_exact_samples,7,8,0.000793790997704491
16,4,moment_quant_exact_samples,8,8,0.000801792000856949
16,4,moment_quant_approx_samples,7,8,0.004235500000504544
16,4,moment_quant_exact_intervals,2,8,0.0011654170011752285
16,4,moment_quant_exact_intervals,8,8,0.00110816700180294
16,4,moment_quant_approx_intervals,3,8,0.004603083998517832
16,4,moment_quant_exact_intervals,1,8,0.0011188330026925541
16,4,moment_quant_approx_samples,2,8,0.004233791001752252
16,4,moment_quant_exact_intervals,0,8,0.0011213340003450867
16,4,moment_quant_exact_samples,3,8,0.0007479169980797451
16,4,moment_quant_approx_intervals,5,8,0.004581291999784298
16,4,moment_quant_exact_intervals,6,8,0.0011269579990766943
16,4,moment_quant_exact_intervals,3,8,0.0011021669997717254
16,4,moment_quant_approx_samples,0,8,0.004189790997770615
16,4,moment_quant_exact_intervals,5,8,0.0011363749981683213
16,4,moment_quant_exact_samples,4,8,0.0007330410007853061
16,4,moment_quant_approx_intervals,6,8,0.004584500002238201
16,4,moment_quant_approx_samples,9,8,0.004199000002699904
16,4,moment_quant_approx_samples,8,8,0.004210708000755403
16,4,moment_quant_approx_intervals,1,8,0.004654583000956336
16,4,moment_quant_approx_samples,5,8,0.004285874998458894
16,4,moment_quant_exact_samples,9,8,0.0006925830020918511
16,4,moment_quant_exact_samples,0,8,0.0007722919981461018
16,4,moment_quant_approx_intervals,0,8,0.004664833999413531
16,4,moment_quant_approx_samples,6,8,0.004276750001736218
16,4,moment_quant_approx_samples,1,8,0.0042847499971685465
16,4,moment_quant_exact_samples,1,8,0.0007772919998387806
16,4,moment_quant_approx_intervals,2,8,0.004722375000710599
16,4,moment_quant_exact_intervals,4,8,0.0011342089965182822
16,8,moment_quant_approx_intervals,7,8,0.004644624998036306
16,8,moment_quant_exact_samples,0,8,0.0008223750010074582
16,8,moment_quant_approx_samples,5,8,0.004393791998154484
16,8,moment_quant_approx_samples,0,8,0.004291125002055196
16,8,moment_quant_exact_samples,9,8,0.0008769580017542467
16,8,moment_quant_approx_samples,7,8,0.004200332998152589
16,8,moment_quant_exact_intervals,3,8,0.0011430410013417713
16,8,moment_quant_approx_intervals,2,8,0.004656290999264456
16,8,moment_quant_exact_intervals,9,8,0.0011559590020624455
16,8,moment_quant_approx_samples,9,8,0.004351165996922646
16,8,moment_quant_approx_intervals,9,8,0.004716667001048336
16,8,moment_quant_approx_intervals,1,8,0.0046602090005762875
16,8,moment_quant_exact_intervals,4,8,0.0011704579992510844
16,8,moment_quant_approx_intervals,3,8,0.004676915999880293
16,8,moment_quant_approx_samples,2,8,0.004261457997927209
16,8,moment_quant_exact_samples,1,8,0.00080895900100586
16,8,moment_quant_exact_intervals,2,8,0.0011655829985102173
16,8,moment_quant_approx_samples,6,8,0.004288125001039589
16,8,moment_quant_exact_intervals,8,8,0.001161583000794053
16,8,moment_quant_exact_intervals,7,8,0.0011303339997539297
16,8,moment_quant_exact_samples,3,8,0.0008588749988120981
16,8,moment_quant_approx_samples,1,8,0.004324417001043912
16,8,moment_quant_exact_samples,7,8,0.0008309170007123612
16,8,moment_quant_exact_intervals,6,8,0.0011816250007541385
16,8,moment_quant_approx_samples,4,8,0.004360083999927156
16,8,moment_quant_exact_intervals,5,8,0.0011591670008783694
16,8,moment_quant_exact_samples,6,8,0.000751042000047164
16,8,moment_quant_exact_samples,5,8,0.0007780420019116718
16,8,moment_quant_approx_intervals,4,8,0.00470412499998929
16,8,moment_quant_approx_intervals,6,8,0.004682499999034917
16,8,moment_quant_approx_intervals,8,8,0.004662749997805804
16,8,moment_quant_exact_intervals,1,8,0.001150832998973783
16,8,moment_quant_approx_intervals,0,8,0.004697291002230486
16,8,moment_quant_exact_samples,8,8,0.0009154170002148021
16,8,moment_quant_exact_samples,4,8,0.0007675830020161811
16,8,moment_quant_approx_samples,8,8,0.004350750001322012
16,8,moment_quant_approx_samples,3,8,0.004275625000445871
16,8,moment_quant_approx_intervals,5,8,0.004613000000972534
16,8,moment_quant_exact_samples,2,8,0.000827457999548642
16,8,moment_quant_exact_intervals,0,8,0.001151332999143051
16,10,moment_quant_exact_samples,7,8,0.0008457910007564351
16,10,moment_quant_exact_intervals,7,8,0.0011946670019824523
16,10,moment_quant_exact_samples,2,8,0.0008590000034018885
16,10,moment_quant_approx_samples,1,8,0.004342917000030866
16,10,moment_quant_exact_intervals,0,8,0.0011392080014047679
16,10,moment_quant_approx_intervals,6,8,0.004619790997821838
16,10,moment_quant_approx_samples,2,8,0.004258500001014909
16,10,moment_quant_approx_intervals,5,8,0.004664792002586182
16,10,moment_quant_exact_samples,5,8,0.000826624996989267
16,10,moment_quant_approx_samples,8,8,0.004296957999031292
16,10,moment_quant_approx_intervals,8,8,0.004733707999548642
16,10,moment_quant_approx_samples,7,8,0.0042411249996803235
16,10,moment_quant_approx_intervals,1,8,0.004592249999404885
16,10,moment_quant_exact_intervals,8,8,0.001150374999269843
16,10,moment_quant_exact_samples,8,8,0.0008487500017508864
16,10,moment_quant_approx_samples,5,8,0.004347917001723545
16,10,moment_quant_exact_intervals,4,8,0.001155791000201134
16,10,moment_quant_approx_intervals,0,8,0.004700000001321314
16,10,moment_quant_exact_intervals,6,8,0.0011945420010306407
16,10,moment_quant_exact_samples,0,8,0.0008733340000617318
16,10,moment_quant_exact_intervals,5,8,0.0011735000007320195
16,10,moment_quant_approx_intervals,7,8,0.004740708001918392
16,10,moment_quant_approx_samples,4,8,0.004279249998944579
16,10,moment_quant_approx_samples,0,8,0.0044114169977547135
16,10,moment_quant_approx_samples,3,8,0.004261750000296161
16,10,moment_quant_exact_samples,6,8,0.0008948750000854488
16,10,moment_quant_approx_intervals,4,8,0.004727499999717111
16,10,moment_quant_approx_intervals,9,8,0.004669583002396394
16,10,moment_quant_approx_intervals,2,8,0.004681041002186248
16,10,moment_quant_exact_samples,9,8,0.0009077919967239723
16,10,moment_quant_exact_samples,3,8,0.0008619580003141891
16,10,moment_quant_exact_intervals,2,8,0.0011920420001843013
16,10,moment_quant_exact_intervals,3,8,0.0011137500005133916
16,10,moment_quant_approx_intervals,3,8,0.004640916002244921
16,10,moment_quant_exact_intervals,9,8,0.00112658400030341
16,10,moment_quant_exact_samples,4,8,0.00086479199671885
16,10,moment_quant_exact_samples,1,8,0.0007873329996073153
16,10,moment_quant_approx_samples,6,8,0.0042690419977589045
16,10,moment_quant_approx_samples,9,8,0.004305165999539895
16,10,moment_quant_exact_intervals,1,8,0.001145417001680471
16,16,moment_quant_exact_intervals,6,8,0.0011440829985076562
16,16,moment_quant_approx_intervals,9,8,0.004654291999031557
16,16,moment_quant_exact_intervals,0,8,0.0012122080006520264
16,16,moment_quant_exact_samples,4,8,0.0008868330005498137
16,16,moment_quant_exact_samples,5,8,0.0008291249978356063
16,16,moment_quant_exact_samples,2,8,0.0009030420005728956
16,16,moment_quant_approx_intervals,1,8,0.004733208999823546
16,16,moment_quant_exact_intervals,3,8,0.001169250001112232
16,16,moment_quant_exact_samples,3,8,0.0009507920003670733
16,16,moment_quant_approx_samples,3,8,0.004360999999335036
16,16,moment_quant_approx_samples,6,8,0.0043898749972868245
16,16,moment_quant_approx_samples,8,8,0.004320916999859037
16,16,moment_quant_approx_samples,0,8,0.004404541999974754
16,16,moment_quant_approx_intervals,4,8,0.004747582999698352
16,16,moment_quant_exact_samples,7,8,0.0008746250023250468
16,16,moment_quant_approx_samples,9,8,0.0043804169981740415
16,16,moment_quant_exact_intervals,1,8,0.0011899590026587248
16,16,moment_quant_exact_intervals,7,8,0.0011487920019135345
16,16,moment_quant_approx_samples,2,8,0.0043457909996504895
16,16,moment_quant_exact_intervals,5,8,0.00116787500155624
16,16,moment_quant_exact_samples,1,8,0.0009111670005950145
16,16,moment_quant_approx_samples,1,8,0.004359125003247755
16,16,moment_quant_exact_samples,6,8,0.0008271250007965136
16,16,moment_quant_exact_intervals,2,8,0.0011792090008384548
16,16,moment_quant_approx_intervals,8,8,0.004764750003232621
16,16,moment_quant_exact_samples,0,8,0.0008632080025563482
16,16,moment_quant_approx_samples,5,8,0.00427049999780138
16,16,moment_quant_approx_intervals,3,8,0.0047289590002037585
16,16,moment_quant_approx_samples,7,8,0.0043992499995511025
16,16,moment_quant_approx_intervals,6,8,0.0047482500012847595
16,16,moment_quant_exact_intervals,4,8,0.0011815420002676547
16,16,moment_quant_approx_intervals,0,8,0.0047455420026381034
16,16,moment_quant_approx_intervals,5,8,0.004731834000267554
16,16,moment_quant_exact_samples,9,8,0.0009764169990376104
16,16,moment_quant_exact_samples,8,8,0.0008575000028940849
16,16,moment_quant_exact_intervals,9,8,0.0011806660004367586
16,16,moment_quant_approx_intervals,2,8,0.004768083003000356
16,16,moment_quant_approx_samples,4,8,0.00435670799924992
16,16,moment_quant_approx_intervals,7,8,0.004811832997802412
16,16,moment_quant_exact_intervals,8,8,0.0011720420006895438
16,30,moment_quant_approx_intervals,0,8,0.004896291000477504
16,30,moment_quant_approx_intervals,6,8,0.004908958999294555
16,30,moment_quant_exact_samples,1,8,0.0011069590000261087
16,30,moment_quant_exact_intervals,8,8,0.0012051659978169482
16,30,moment_quant_exact_samples,2,8,0.0009630419990571681
