Series length,Method,Run,Runtime,Number of features
512,samples,7,0.04942291600309545,1284
512,samples,4,0.04998550000163959,1284
512,samples,5,0.049681417003739625,1284
512,intervals,1,0.02113216699945042,1284
512,samples,2,0.04944616600550944,1284
512,intervals,9,0.020769415998074692,1284
512,intervals_numba,6,0.04963512500398792,1284
512,intervals_numba,8,0.04992566700093448,1284
512,intervals_numba,2,0.0509691670013126,1284
512,intervals_numba,7,0.050802540994482115,1284
512,intervals_numba,3,0.050264457997400314,1284
512,samples,0,0.04971254199335817,1284
512,intervals,8,0.020654334002756514,1284
512,intervals_numba,5,0.04968087500310503,1284
512,intervals,2,0.02039525000145659,1284
512,intervals,3,0.020421833003638312,1284
512,intervals_numba,9,0.04919333399448078,1284
512,intervals,5,0.02052295899920864,1284
512,intervals,4,0.020367582998005673,1284
512,intervals,6,0.020715708000352606,1284
512,intervals,7,0.02052962500602007,1284
512,intervals_numba,0,0.0483351250004489,1284
512,samples,1,0.048822917000507005,1284
512,intervals_numba,1,0.04940912500023842,1284
512,samples,6,0.04895995800325181,1284
512,samples,9,0.050062709000485484,1284
512,intervals,0,0.02076508299796842,1284
512,samples,3,0.04930341599538224,1284
512,intervals_numba,4,0.04957720899983542,1284
512,samples,8,0.049316833006741945,1284
1024,intervals_numba,4,0.106016792000446,2568
1024,intervals_numba,0,0.10623258399573388,2568
1024,samples,4,0.10114366700145183,2568
1024,intervals_numba,7,0.10597566599608399,2568
1024,intervals_numba,6,0.10572008400049526,2568
1024,samples,1,0.10206395900604548,2568
1024,intervals,5,0.04891141600091942,2568
1024,intervals,8,0.048727166999015026,2568
1024,intervals,3,0.04872912499558879,2568
1024,intervals_numba,9,0.10437783299857983,2568
1024,intervals_numba,2,0.10461304099590052,2568
1024,intervals_numba,1,0.10464095800125506,2568
1024,intervals_numba,3,0.10503824999614153,2568
1024,intervals,6,0.04885291700338712,2568
1024,samples,7,0.10167579200060572,2568
1024,samples,5,0.10207216699927812,2568
1024,intervals,1,0.04909879200567957,2568
1024,samples,6,0.10195504099829122,2568
1024,samples,9,0.10298612499900628,2568
1024,samples,3,0.10234150000178488,2568
1024,intervals,0,0.04911016600090079,2568
1024,samples,2,0.1017808749966207,2568
1024,samples,8,0.1017386660023476,2568
1024,intervals,7,0.048599292000290006,2568
1024,intervals,2,0.04836054200131912,2568
1024,samples,0,0.10211004200391471,2568
1024,intervals_numba,8,0.10654362499917625,2568
1024,intervals,4,0.04897141699620988,2568
1024,intervals_numba,5,0.10423679200175684,2568
1024,intervals,9,0.048728415997175034,2568
2048,intervals_numba,9,0.22608875000150874,5136
2048,samples,6,0.2194567089973134,5136
2048,samples,2,0.2201351670009899,5136
2048,intervals_numba,6,0.22852379200048745,5136
2048,intervals,0,0.11180658300145296,5136
2048,intervals,8,0.11136166700453032,5136
2048,samples,7,0.22051400000054855,5136
2048,intervals_numba,8,0.22743154100317042,5136
2048,samples,0,0.2205584160037688,5136
2048,intervals,7,0.11202904200035846,5136
2048,intervals,1,0.11055287499766564,5136
2048,intervals_numba,7,0.22603083399735624,5136
2048,intervals_numba,2,0.22607925000193063,5136
2048,intervals_numba,1,0.22592037499998696,5136
2048,intervals,3,0.11166174999380019,5136
2048,samples,5,0.22022054199624108,5136
2048,intervals,5,0.11281533300643787,5136
2048,intervals_numba,0,0.22519449999526842,5136
2048,samples,8,0.22039004200632917,5136
2048,intervals_numba,5,0.2263746250027907,5136
2048,intervals,4,0.11326966600609012,5136
2048,intervals_numba,3,0.22531816700211493,5136
2048,intervals,9,0.11113204199500615,5136
2048,samples,9,0.22112758299772395,5136
2048,intervals,2,0.11406891699880362,5136
2048,intervals_numba,4,0.22501862500212155,5136
2048,intervals,6,0.11162587499711663,5136
2048,samples,1,0.2204232080039219,5136
2048,samples,3,0.22091837500192923,5136
2048,samples,4,0.22024516700184904,5136
4096,intervals,2,0.2590190420014551,10272
4096,samples,9,0.4850249579976662,10272
4096,intervals_numba,4,0.4925615000029211,10272
4096,intervals,4,0.25372470900038024,10272
4096,intervals_numba,2,0.4917649170020013,10272
4096,intervals_numba,6,0.49096608399850084,10272
4096,samples,2,0.48460616700322134,10272
4096,samples,4,0.4848983749980107,10272
4096,samples,5,0.4894752079999307,10272
4096,samples,8,0.48681158399995184,10272
4096,intervals_numba,9,0.4927879579990986,10272
4096,samples,7,0.48891929099772824,10272
4096,intervals_numba,7,0.4913681670004735,10272
4096,intervals,3,0.2611529170026188,10272
4096,intervals_numba,5,0.48969183299777796,10272
4096,samples,3,0.4848234169985517,10272
4096,intervals_numba,1,0.49147549999906914,10272
4096,intervals_numba,8,0.4914154169964604,10272
4096,intervals,6,0.25549987500562565,10272
4096,samples,0,0.4853671249948093,10272
4096,intervals,5,0.2555947080036276,10272
4096,intervals_numba,3,0.49110429199936334,10272
4096,intervals,7,0.25544629099749727,10272
4096,intervals,1,0.2541311249951832,10272
4096,intervals,8,0.25705254200147465,10272
4096,intervals_numba,0,0.4907604999971227,10272
4096,intervals,0,0.2563732499984326,10272
4096,samples,1,0.48427162499865517,10272
4096,samples,6,0.4859467499991297,10272
4096,intervals,9,0.25752195800305344,10272
8192,samples,1,1.0776905000020633,20544
8192,intervals,3,0.5603317500062985,20544
8192,intervals,8,0.5580374999990454,20544
8192,intervals,4,0.5567824160025339,20544
8192,intervals_numba,5,1.0731798749984591,20544
8192,intervals,2,0.5595813749969238,20544
8192,intervals_numba,6,1.0769020000007004,20544
8192,samples,0,1.0726832910004305,20544
8192,samples,7,1.0667676250013756,20544
8192,intervals_numba,4,1.0778266670022276,20544
8192,intervals_numba,0,1.076962499995716,20544
8192,intervals_numba,2,1.0771033339988207,20544
8192,intervals_numba,1,1.0760388329945272,20544
8192,intervals_numba,3,1.075369625003077,20544
8192,intervals,6,0.5611027080012718,20544
8192,samples,4,1.0677251669985708,20544
8192,samples,3,1.0696620000016992,20544
8192,samples,6,1.0744785830029286,20544
8192,intervals,7,0.5574130840032012,20544
8192,intervals,9,0.5591954590054229,20544
8192,samples,5,1.0684557079948718,20544
8192,intervals,1,0.5582554169959622,20544
8192,intervals,0,0.5613663750045816,20544
8192,samples,2,1.0736757089980529,20544
8192,intervals,5,0.5614421249993029,20544
8192,intervals_numba,7,1.0783290830004262,20544
8192,intervals_numba,9,1.0767528750002384,20544
8192,intervals_numba,8,1.0754069579998031,20544
8192,samples,9,1.066256208003324,20544
8192,samples,8,1.0643590000036056,20544
16384,samples,4,2.3408670829958282,41088
16384,intervals,5,1.2279332079997403,41088
16384,intervals_numba,4,2.34248670800298,41088
16384,intervals,3,1.2129231250000885,41088
16384,intervals_numba,0,2.351064292000956,41088
16384,samples,8,2.340361208000104,41088
16384,intervals_numba,3,2.3549539169980562,41088
16384,samples,7,2.3405403750002733,41088
16384,intervals,6,1.2075983339964296,41088
16384,intervals,9,1.2115404169962858,41088
16384,intervals_numba,8,2.3526322500038077,41088
16384,samples,2,2.3443438329995843,41088
16384,intervals,2,1.2153390419989591,41088
16384,intervals,0,1.2129213330044877,41088
16384,intervals,7,1.2204618749965448,41088
16384,samples,9,2.3459146249952028,41088
16384,samples,3,2.34664870800043,41088
16384,intervals_numba,2,2.3538439170006313,41088
16384,intervals_numba,9,2.3546716249984456,41088
16384,intervals_numba,7,2.3562119170019287,41088
16384,samples,5,2.344840874997317,41088
16384,samples,1,2.353364082999178,41088
16384,intervals_numba,6,2.35497100000066,41088
16384,intervals_numba,5,2.354490582998551,41088
16384,intervals,4,1.2161566670038155,41088
16384,samples,0,2.3483199999973294,41088
16384,samples,6,2.3444180419974145,41088
16384,intervals,1,1.2102493749989662,41088
16384,intervals_numba,1,2.3513552079966757,41088
16384,intervals,8,1.2173300419963198,41088
32768,samples,8,5.119680499999959,82176
32768,intervals,5,2.6268994159981958,82176
32768,intervals,6,2.621568374997878,82176
32768,intervals_numba,8,5.118062832996657,82176
32768,intervals_numba,9,5.1201788329999545,82176
32768,intervals_numba,4,5.11765637499775,82176
32768,samples,5,5.1122652090052725,82176
32768,samples,1,5.109698749998643,82176
32768,intervals,8,2.623506666001049,82176
32768,intervals_numba,7,5.125282833003439,82176
32768,samples,2,5.105068208002194,82176
32768,intervals,7,2.6207163329963805,82176
32768,intervals,3,2.6228867910031113,82176
32768,intervals,2,2.6212249170057476,82176
32768,intervals_numba,2,5.118972125004802,82176
32768,intervals,4,2.6267156249959953,82176
32768,samples,0,5.113828083005501,82176
32768,samples,6,5.116753333997622,82176
32768,intervals_numba,6,5.119544500004849,82176
32768,samples,7,5.1179188750029425,82176
32768,samples,4,5.115018249998684,82176
32768,samples,9,5.116258082998684,82176
32768,intervals,0,2.622869165999873,82176
32768,samples,3,5.112077165998926,82176
32768,intervals_numba,5,5.123792750004213,82176
32768,intervals_numba,3,5.122483708997606,82176
32768,intervals,1,2.62309108300542,82176
32768,intervals_numba,0,5.116937416998553,82176
32768,intervals_numba,1,5.119358583004214,82176
32768,intervals,9,2.6235908340022434,82176
