Number of time series,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
64,0.030713333002495347,0.030946541999583133,0.03095204200144508,0.030931957997381687,0.030605333999119466,0.03064191699741059,0.030011208000360057,0.030742541999643436,0.03127141699951608,0.030608875000325497
128,0.05988299999808078,0.06009487499977695,0.060968750000029104,0.06045266600267496,0.05964920800033724,0.058954416999768,0.060085083001467865,0.06032983300246997,0.059394666997832246,0.06005508299858775
256,0.11796124999818858,0.11726524999903631,0.11791358299888088,0.1185362090000126,0.11779533400112996,0.11795279100260814,0.1178625419997843,0.1147666670003673,0.11870729099973687,0.11738087499907124
512,0.23502895899946452,0.23614829199868836,0.23271195899724262,0.22849399999904563,0.23604804199931095,0.2292014169979666,0.23264062499947613,0.236869749998732,0.23425558300004923,0.22893837499941583
1024,0.4675900830006867,0.46825420900131576,0.6258299159999297,0.4650487079998129,0.47158704200046486,0.4667316659979406,0.4640559580002446,0.4695536250001169,0.4619633329966746,0.45897237499957555
2048,0.9454646249978396,0.9419857920001959,0.9631977499993809,0.9523540830014099,0.933657540997956,0.9411638749988924,0.9431773750002321,0.931264666000061,0.9361505000015313,0.9392607919980946
4096,1.9245411249976314,1.9055566670031112,1.9159428750026564,1.9016400829968916,1.9114939999999478,1.9153884580009617,1.889462833001744,1.918358333001379,1.901058750001539,1.9215904170014255
8192,3.790661374998308,3.8943491669997456,3.8561246669996763,3.8544767909988877,3.7746215000006487,3.8702730420009175,3.8911072080009035,3.8696436659993196,3.8493895410028927,3.8967845830011356
16384,7.769798332999926,7.767180416998599,7.800144457996794,7.752444957997795,7.659165875000326,7.748832042001595,7.876196999997774,7.852714166998339,7.7063992920011515,7.711612916999002
