Number of time series,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
64,0.03416983300121501,0.03414287499981583,0.034244624999701045,0.034322750001592794,0.034206750002340414,0.03422225000031176,0.034385708000627346,0.034561624997877516,0.034196583001175895,0.034045207998133264
128,0.0405425839999225,0.040339707997191,0.040499417002138216,0.04051937499752967,0.039992500001972076,0.04116104099739459,0.04054849999738508,0.04031170800226391,0.03999850000036531,0.040269749999424675
256,0.05205387500245706,0.05265179199705017,0.052513209000608185,0.05288699999800883,0.05312912500085076,0.052325583001220366,0.05249362500035204,0.053262083001754945,0.05208950000087498,0.052641666999988956
512,0.07835858299949905,0.07812954199835076,0.07996933400136186,0.0787152499979129,0.07829308299915283,0.0780047080006625,0.07707945799847948,0.07911650000096415,0.07974604199989699,0.07914229200105183
1024,0.13819441700252355,0.1321452499978477,0.1318752079969272,0.13796779100084677,0.13771887499751756,0.1358438749994093,0.13292183299927274,0.13957454199771746,0.13267329200243694,0.13787095799852978
2048,0.2566038340009982,0.2552791669986618,0.24568816700048046,0.25973966600213316,0.2509937919967342,0.24597600000197417,0.25473504200272146,0.2586711670010118,0.24808904200108373,0.2600791670010949
4096,0.5506277080021391,0.5554505000000063,0.5659584999993967,0.5566726249999192,0.5577475419995608,0.556029084000329,0.5499629160003678,0.5634569579997333,0.5605731659998128,0.5602345000006608
8192,1.4524928749997343,1.4144913749987609,1.499652625003364,1.4802623750001658,1.4760063749999972,1.5132333750007092,1.4563430419984797,1.3903155000007246,1.4726629580000008,1.45880891699926
16384,4.3582869170022605,4.258729416000278,4.382535750002717,4.295764958998916,4.326647040998068,4.181767707999825,4.331286082997394,4.239231916999415,4.37188654199781,4.222616207996907
