Number of time series,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
64,0.020175165998807643,0.020143458001257386,0.020136499999352964,0.020303749999584397,0.020274916998459958,0.02021266700103297,0.020257042000594083,0.020192584001051728,0.020222875002218643,0.020203042000503046
128,0.030042542002775008,0.030179916000633966,0.030131791998428525,0.030065874998399522,0.030334499999298714,0.030410624996875413,0.03018812500158674,0.030076749997533625,0.030116958001599414,0.030139083999529248
256,0.05027608399905148,0.050389791998895817,0.05020741699991049,0.05026295800053049,0.05033508300039102,0.05001099999935832,0.050149957998655736,0.0501067500008503,0.0503192920004949,0.04991166699983296
512,0.0907928329979768,0.0903773749996617,0.09051295899917022,0.09031374999904074,0.09072520900008385,0.09131062499727705,0.09079670900246128,0.09078833399689756,0.09137508300045738,0.09065212499990594
1024,0.18093729199972586,0.1748217909989762,0.1772433340011048,0.1820292080010404,0.18040683300205274,0.18074195900044288,0.18030554199867765,0.17742920800083084,0.17606233400147175,0.18072037499950966
2048,0.3696594169996388,0.3786500829992292,0.37193958300122176,0.37365000000136206,0.3715278750023572,0.3703827499994077,0.3753294169982837,0.37026404200150864,0.372180667000066,0.36014266699930886
4096,0.8139305829972727,0.8233707090003008,0.811507000002166,0.8183159170002909,0.806223208001029,0.8205312909994973,0.8208367920015007,0.8005550419984502,0.8140516659987043,0.8214252920006402
8192,1.7715529170018272,1.792316999999457,1.7857027089994517,1.7515234999991662,1.7915279579974595,1.7763142090007022,1.7801587499998277,1.774301875000674,1.7913488339981996,1.7898158749994764
16384,3.7610491669984185,3.7589267080002173,3.771359250000387,3.7744553330012423,3.782447334000608,3.7821976250015723,3.7707509160027257,3.742241916999774,3.805828749998909,3.726797583000007
