Number of time series,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
64,0.03032579100181465,0.030268665999756195,0.030575291999412002,0.030294125001091743,0.030285959001048468,0.03038787500190665,0.030285374999948544,0.030205541999748675,0.03033616699758568,0.030313457999000093
128,0.036957583000912564,0.037326040997868404,0.037117083000339335,0.03699979200246162,0.037270832999638515,0.037063583000417566,0.03780524999820045,0.03707941700122319,0.03695058300218079,0.0370833329980087
256,0.05039445900183637,0.05037658299988834,0.05068233299971325,0.050675416001467966,0.05056129199874704,0.050358000000414904,0.05012999999962631,0.05086608300189255,0.05038329200033331,0.05084545799763873
512,0.07883399999991525,0.07770437499857508,0.07797345799917821,0.0793832499985001,0.0782900409976719,0.07780550000097719,0.07810800000152085,0.07851362500150572,0.07954879200042342,0.07806599999821628
1024,0.13673512500099605,0.13816870800292236,0.1367607499996666,0.1365948330021638,0.13471891600056551,0.13601583299896447,0.13713158300015493,0.13805929099908099,0.13543495900012203,0.13702570800160174
2048,0.2494266659996356,0.25272983299873886,0.2492266670014942,0.2529849579987058,0.2480708750008489,0.25381158299933304,0.25117675000001327,0.2508735000010347,0.24851349999880767,0.25109874999907333
4096,0.5001759580009093,0.500302707998344,0.4905655000002298,0.49384283299878007,0.4940728340006899,0.4926329160007299,0.5067260420000821,0.5007404169991787,0.49516024999684305,0.49631837500055553
8192,1.032023208001192,1.0104554160025145,1.0587443340009486,1.0428389170010632,1.0248359590004839,1.1099292500002775,1.0241688339992834,1.0147114169994893,1.0203657080019184,1.0138097909984936
16384,2.645079041001736,2.5628324579993205,2.651273333001882,2.682798707999609,2.674420208000811,2.635629083000822,2.6296160420024535,2.6105819580006937,2.582061834000342,2.6487197499991453
