Number of time series,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
64,0.04185979199974099,0.04160412499913946,0.04149179200248909,0.04199316700032796,0.04201820900198072,0.041836625001451466,0.04179133299840032,0.042252667000866495,0.04194679200008977,0.041897750001226086
128,0.06174479100081953,0.06077408399869455,0.06120104200090282,0.06127145899881725,0.06104983299883315,0.061046208000334445,0.061776124999596504,0.06098812500204076,0.06147408399920096,0.06062545800159569
256,0.10068204199706088,0.10196291700049187,0.10069949999888195,0.10101141700215521,0.10206083299999591,0.10056787500070641,0.10076854200087837,0.10055491700040875,0.10097724999650382,0.10072191700237454
512,0.1793865409999853,0.17880562500067754,0.1795699579997745,0.18100095800036797,0.1788680409990775,0.18079258299985668,0.17959766599960858,0.18124612500105286,0.17917170799773885,0.17963308400067035
1024,0.3438638750012615,0.3422005829997943,0.3457078339997679,0.346510750001471,0.35482104100083234,0.35067679200074053,0.35267041599945514,0.34591729100066004,0.3416923750010028,0.3417250830025296
2048,0.7016353330000129,0.7131040839994967,0.7029114159995515,0.6967259590019239,0.690902416001336,0.7026321250014007,0.7001874160014268,0.6986502910003765,0.7175829589978093,0.6937799170009384
4096,1.4484468330010714,1.4501724999972794,1.4271724579994043,1.4370105419984611,1.4457097499980591,1.4461906670003373,1.4164267919986742,1.4406362080007966,1.4521349579990783,1.432586375001847
8192,2.9377229580022686,3.0475047920008365,3.0181748750001134,2.966343541000242,3.034368958000414,3.020662208000431,2.9253983330017945,3.015654958999221,2.9021671250011423,2.9902393330012274
16384,6.051970208001876,6.050167290999525,6.01055683300001,6.067386375001661,6.06706616700103,5.99631433399918,6.1077942500014615,6.0350448329991195,5.939166708001721,6.036383542003023
