Series length,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
16,0.007996832999197068,0.00804766699729953,0.007845457999792416,0.00795158300024923,0.008011042002181057,0.007964958000229672,0.008024999999179272,0.007971082999574719,0.007839249999960884,0.008080457999312785
32,0.0168014580012823,0.01671241599979112,0.016870458999619586,0.017022583000652958,0.016964583002845757,0.016780666999693494,0.016817125000670785,0.016950916000496363,0.016999416999169625,0.01711691700256779
64,0.035104417002003174,0.03484983399903285,0.034993082997971214,0.03493379200153868,0.034940083998662885,0.03478187500149943,0.034948625001561595,0.03493545799938147,0.03471200000058161,0.03503416699822992
128,0.047177541000564815,0.04804537500240258,0.0468524999996589,0.04697200000009616,0.047194875001878245,0.0470761249998759,0.04709533300047042,0.04713075000108802,0.04702049999832525,0.04686824999953387
256,0.06576845800009323,0.06618016699940199,0.06563504100267892,0.0659367080006632,0.06568350000088685,0.06630658299764036,0.06618037500084029,0.06560979200003203,0.06657316699784133,0.06565725000109524
512,0.12530891699861968,0.12531554200177197,0.13002841699926648,0.12556841599871404,0.12996999999813852,0.12611070799903246,0.12737462500081165,0.12661799999841605,0.13031583299743943,0.12590454199744272
1024,0.23091420800119522,0.23238958300134982,0.23201945899927523,0.23278537499936647,0.23639054199884413,0.23073462499814923,0.23107412500030478,0.2329804580003838,0.2318100830016192,0.2312545829990995
2048,0.4464854580000974,0.4403987909972784,0.42480520800017985,0.4273474579968024,0.43283316700035357,0.4283839170020656,0.4284158340014983,0.43139079100001254,0.42768283400073415,0.4331369169995014
4096,0.8729901660008181,0.8532945830011158,0.8570292499971401,0.8429917080029554,0.8504669169997214,0.8569467910019739,0.8415414160008368,0.8519364999992831,0.85793200000262,0.8573464159999276
