Series length,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
16,0.02059266699870932,0.020593542001734022,0.019452417000138666,0.02214954200098873,0.022123416998510947,0.022148582997033373,0.01946758300255169,0.022160500000609318,0.02110562500092783,0.019094084000244038
32,0.04711733300064225,0.04887191599846119,0.04822162499840488,0.04882641599760973,0.04879658299978473,0.04866662499989616,0.04754491700077779,0.04767500000161817,0.04873879099977785,0.04785433299912256
64,0.09867075000147452,0.10810149999815621,0.10713912500068545,0.10566199999811943,0.1086689160001697,0.1017595409975911,0.1177642080001533,0.1084525410005881,0.10767804100032663,0.10698916699766414
128,0.14841137499752222,0.1516050419995736,0.15526841699829674,0.15516766600194387,0.14769891600008123,0.15367183300259057,0.15529616700223414,0.14923300000009476,0.1510175410003285,0.15797066599770915
256,0.23231112500070594,0.22879937499965308,0.22650687500208733,0.23471004200109746,0.22993629200209398,0.23377404200073215,0.23334733299998334,0.2266299170005368,0.23130720799963456,0.22739683300096658
512,0.419759125001292,0.42322470799990697,0.41154187500069384,0.42149891599910916,0.41708070800086716,0.4167126249994908,0.42771329099923605,0.41735729100037133,0.4214089579982101,0.4143906669996795
1024,0.8450605840007483,0.850404292003077,0.850408124999376,0.8443168750018231,0.8445650419998856,0.8429715829988709,0.8518512080008804,0.8446040419985366,0.8529611670019221,0.8545721249975031
2048,1.8145342909992905,1.8196005829995556,1.8149593329981144,1.8146402919992397,1.8152461669997138,1.8105043329996988,1.817244458001369,1.8112480829986453,1.8161736660003953,1.815528291001101
4096,3.9780491669989715,3.997841708998749,3.986219833997893,4.080304708000767,3.9624532909983827,4.035912540999561,4.024728000000323,4.037886124999204,3.991675999997824,3.994191542002227
