Series length,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
16,0.006778374998248182,0.006892624998727115,0.0068285419984022155,0.006667415997071657,0.0066416250010661315,0.006619874999159947,0.00654374999794527,0.007072666998283239,0.006782500000554137,0.006608084000617964
32,0.01599033300226438,0.01627066700166324,0.015880292001384078,0.016915500000322936,0.016470833001221763,0.016642832997604273,0.01605395799924736,0.01616433299932396,0.016208082997763995,0.015847082999243867
64,0.03823191599803977,0.03903783400164684,0.038156499998876825,0.03847870800018427,0.038797834000433795,0.03971304100195994,0.03819225000188453,0.038475207998999394,0.037897000001976267,0.037897957998211496
128,0.0719802499988873,0.07237037500090082,0.0720601249995525,0.07184945799963316,0.07212633400195045,0.0717187499976717,0.07211158299833187,0.07157987500249874,0.07179499999983818,0.07301766599994153
256,0.14741425000102026,0.14774191699689254,0.1474174579998362,0.1471070419975149,0.14741233399763587,0.14949625000008382,0.14761558299869648,0.1483275840000715,0.14932899999985239,0.14966358300080174
512,0.33653904200036777,0.33326108300025226,0.330055958002049,0.33256058400002075,0.33553225000287057,0.33768329200029257,0.3363799580001796,0.3344830420028302,0.3338479999983974,0.33026566600165097
1024,0.7733507500015548,0.787955082996632,0.7764473340030236,0.78376158300307,0.7829390419974516,0.7792765410013089,0.7763221669993072,0.7796755829986068,0.7853050839985372,0.7750369170025806
2048,1.8071858749972307,1.7977948330008076,1.7729791659985494,1.7987979579993407,1.8042607090028469,1.794427541000914,1.81998837500214,1.7917835840016778,1.7977634999988368,1.783765084001061
4096,4.067089416999806,4.0863537910008745,4.08594791699943,4.092522999999346,4.0924698330018145,4.093812917002651,4.049581708000915,4.091868084000453,4.077361290997942,4.019349666999915
