Series length,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
16,0.010957708000205457,0.010820542000146816,0.011643875001027482,0.010806791997310938,0.010730875001172535,0.010822958996868692,0.010762707999674603,0.010700458999053808,0.010795875001349486,0.010875166997720953
32,0.02475320799931069,0.024516249999578577,0.02458745799958706,0.024274125000374625,0.02420791600161465,0.024621958000352606,0.02480966700022691,0.024495875000866363,0.024345834000996547,0.024382999999943422
64,0.05064258299898938,0.05052645800242317,0.05131954199896427,0.05045304200029932,0.05042849999881582,0.05059366599743953,0.05017716700240271,0.05054187499990803,0.050763541999913286,0.05050604200005182
128,0.06161937499928172,0.06268466600158717,0.06222366699876147,0.06259250000221073,0.06158429199786042,0.0625421250006184,0.06344179200095823,0.06159450000268407,0.061778958999639144,0.06327904100180604
256,0.07194137499755016,0.07142683400161332,0.07202562500242493,0.0732049999969604,0.07343962499726331,0.07218337499944028,0.0720340000007127,0.07208404199991492,0.07141074999890407,0.07156158400175627
512,0.11361666699667694,0.11520691700206953,0.11539895800160593,0.1161643749983341,0.11608670799978427,0.11436966700057383,0.1132753749989206,0.11640350000016042,0.11722541699782596,0.11587445900295279
1024,0.18589808400065522,0.18679683299706085,0.18737612499899114,0.18731087499691057,0.18741195899929153,0.1858014169993112,0.18586475000120117,0.1856081659971096,0.18521058400074253,0.18769166599668097
2048,0.3858976250012347,0.35846708299868624,0.3436407090011926,0.35557274999882793,0.34361387500030105,0.34538516600150615,0.3829310840010294,0.3725317919997906,0.34535491700080456,0.34776487500130315
4096,0.7494934169990302,0.7739658339996822,0.7531574579988956,0.7569176669967419,0.7633092500000203,0.7535611250023067,0.7658159579987114,0.7615152090002084,0.7346017499985464,0.7263669579988346
