Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
ECG200,96,Short,moment_quant_approx,Classification (training),0.11615684303275577,71.1260280756685
ECG200,96,Short,moment_quant_approx,Transformation (inference),0.020232255567922592,12.388766257639759
ECG200,96,Short,moment_quant_approx,Transformation (training),0.021546102766296777,13.193271014129643
ECG200,96,Short,moment_quant_exact,Classification (inference),0.005459213966726827,3.3191465009976713
ECG200,96,Short,moment_quant_exact,Classification (training),0.11769913886576733,71.55987790875662
ECG200,96,Short,moment_quant_exact,Transformation (inference),0.019627820867268938,11.93351521865065
ECG200,96,Short,moment_quant_exact,Transformation (training),0.021690265200595565,13.187460371595064
ECG200,96,Short,quant,Classification (inference),0.0055177680328293765,3.227968079508903
ECG200,96,Short,quant,Classification (training),0.11668764996647947,68.26383550806136
ECG200,96,Short,quant,Transformation (inference),0.023864545900141778,13.961078454059544
ECG200,96,Short,quant,Transformation (training),0.024866299933394915,14.547117958370185
ECG5000,140,Short,moment_quant_approx,Classification (inference),0.062100601466712105,7.952387122384837
ECG5000,140,Short,moment_quant_approx,Classification (training),0.4241555514003267,54.31588527612022
ECG5000,140,Short,moment_quant_approx,Transformation (inference),0.2503596707661927,32.060189027843705
ECG5000,140,Short,moment_quant_approx,Transformation (training),0.04428933743353502,5.671538573651242
ECG5000,140,Short,moment_quant_exact,Classification (inference),0.0477773611011798,5.490372182501753
ECG5000,140,Short,moment_quant_exact,Classification (training),0.427590516632578,49.13689295332571
ECG5000,140,Short,moment_quant_exact,Transformation (inference),0.2790139431327891,32.063101782918764
ECG5000,140,Short,moment_quant_exact,Transformation (training),0.11582077220082279,13.309633081253773
ECG5000,140,Short,quant,Classification (inference),0.04549855830045994,4.550487848516801
ECG5000,140,Short,quant,Classification (training),0.42803898343311936,42.80984421399137
ECG5000,140,Short,quant,Transformation (inference),0.460843349933081,46.09073654799875
ECG5000,140,Short,quant,Transformation (training),0.06548021806665924,6.548931389493083
ECGFiveDays,136,Short,moment_quant_approx,Classification (inference),0.007984913899660212,5.013199257427717
ECGFiveDays,136,Short,moment_quant_approx,Classification (training),0.0681269055664112,42.77237759707269
ECGFiveDays,136,Short,moment_quant_approx,Transformation (inference),0.062340920733549826,39.13974044755716
ECGFiveDays,136,Short,moment_quant_approx,Transformation (training),0.020825068034901004,13.074682697942432
ECGFiveDays,136,Short,moment_quant_exact,Classification (inference),0.008107962599509197,2.949403285271714
ECGFiveDays,136,Short,moment_quant_exact,Classification (training),0.06972364856701456,25.363111339108972
ECGFiveDays,136,Short,moment_quant_exact,Transformation (inference),0.1885875180327275,68.60177737877515
ECGFiveDays,136,Short,moment_quant_exact,Transformation (training),0.008482666699516467,3.0857079968441528
ECGFiveDays,136,Short,quant,Classification (inference),0.008182911066493603,4.336538405426368
ECGFiveDays,136,Short,quant,Classification (training),0.06822569726694681,36.15624733434697
ECGFiveDays,136,Short,quant,Transformation (inference),0.0880005860655122,46.63596097673909
ECGFiveDays,136,Short,quant,Transformation (training),0.024287648600390288,12.871253283487556
EOGHorizontalSignal,1250,Long,moment_quant_approx,Classification (inference),0.01353672226711443,0.2831696170176743
EOGHorizontalSignal,1250,Long,moment_quant_approx,Classification (training),4.440781240200886,92.89503753075172
EOGHorizontalSignal,1250,Long,moment_quant_approx,Transformation (inference),0.1599529763666699,3.3459963324077364
EOGHorizontalSignal,1250,Long,moment_quant_approx,Transformation (training),0.16615798206524532,3.475796519822871
EOGHorizontalSignal,1250,Long,moment_quant_exact,Classification (inference),0.0138940264997169,0.28206235631784493
EOGHorizontalSignal,1250,Long,moment_quant_exact,Classification (training),4.32612987926647,87.8246768499972
EOGHorizontalSignal,1250,Long,moment_quant_exact,Transformation (inference),0.296683008166292,6.022955862690765
EOGHorizontalSignal,1250,Long,moment_quant_exact,Transformation (training),0.2891636209007023,5.870304930994194
EOGHorizontalSignal,1250,Long,quant,Classification (inference),0.013602513899968416,0.258470099582583
EOGHorizontalSignal,1250,Long,quant,Classification (training),4.3368113361330565,82.40653648027433
EOGHorizontalSignal,1250,Long,quant,Transformation (inference),0.4532030333000875,8.61160179725854
EOGHorizontalSignal,1250,Long,quant,Transformation (training),0.45908619990004806,8.723391622884542
EOGVerticalSignal,1250,Long,moment_quant_approx,Classification (inference),0.013943372299399879,0.26479813597008967
EOGVerticalSignal,1250,Long,moment_quant_approx,Classification (training),4.9263039944659495,93.55528110030704
EOGVerticalSignal,1250,Long,moment_quant_approx,Transformation (inference),0.1605616902003627,3.049221907034137
EOGVerticalSignal,1250,Long,moment_quant_approx,Transformation (training),0.16485199020074406,3.1306988566887304
EOGVerticalSignal,1250,Long,moment_quant_exact,Classification (inference),0.014156490233290193,0.25165912094039206
EOGVerticalSignal,1250,Long,moment_quant_exact,Classification (training),5.024084365266268,89.31286173744071
EOGVerticalSignal,1250,Long,moment_quant_exact,Transformation (inference),0.29305366116750514,5.209598250867954
EOGVerticalSignal,1250,Long,moment_quant_exact,Transformation (training),0.2939696026665236,5.2258808907509495
EOGVerticalSignal,1250,Long,quant,Classification (inference),0.01424560973367377,0.238958653650921
EOGVerticalSignal,1250,Long,quant,Classification (training),5.02817849176572,84.34365289880758
EOGVerticalSignal,1250,Long,quant,Transformation (inference),0.4571246915669083,7.667899295964417
EOGVerticalSignal,1250,Long,quant,Transformation (training),0.4619887014009388,7.749489151577078
Earthquakes,512,Medium-long,moment_quant_approx,Classification (inference),0.00673662906604775,0.5219755210577618
Earthquakes,512,Medium-long,moment_quant_approx,Classification (training),1.1624273139338281,90.06857835477616
Earthquakes,512,Medium-long,moment_quant_approx,Transformation (inference),0.04549194449985706,3.5248610546067662
Earthquakes,512,Medium-long,moment_quant_approx,Transformation (training),0.07594660136722567,5.884585069559291
Earthquakes,512,Medium-long,moment_quant_exact,Classification (inference),0.0068159431005672365,0.5421619834729695
Earthquakes,512,Medium-long,moment_quant_exact,Classification (training),1.1189482056332054,89.00473047070068
Earthquakes,512,Medium-long,moment_quant_exact,Transformation (inference),0.06171522213359515,4.9090267845164774
Earthquakes,512,Medium-long,moment_quant_exact,Transformation (training),0.0696989832669108,5.544080761309886
Earthquakes,512,Medium-long,quant,Classification (inference),0.00686963756646335,0.5165339480146541
Earthquakes,512,Medium-long,quant,Classification (training),1.1163626790662724,83.94026853023416
Earthquakes,512,Medium-long,quant,Transformation (inference),0.07041026656685663,5.294208408911217
Earthquakes,512,Medium-long,quant,Transformation (training),0.1363063181005903,10.24898911283995
ElectricDeviceDetection,256,Medium-short,moment_quant_approx,Classification (inference),0.07096765969860518,5.449529730547591
ElectricDeviceDetection,256,Medium-short,moment_quant_approx,Classification (training),0.7975089361008334,61.23984750400737
ElectricDeviceDetection,256,Medium-short,moment_quant_approx,Transformation (inference),0.3684685944666853,28.294304318996037
ElectricDeviceDetection,256,Medium-short,moment_quant_approx,Transformation (training),0.06532607363381729,5.0163184464490005
ElectricDeviceDetection,256,Medium-short,moment_quant_exact,Classification (inference),0.07132238339739459,5.795991484488662
ElectricDeviceDetection,256,Medium-short,moment_quant_exact,Classification (training),0.7911583596340885,64.29324003057232
ElectricDeviceDetection,256,Medium-short,moment_quant_exact,Transformation (inference),0.31330442643375134,25.460587562599073
ElectricDeviceDetection,256,Medium-short,moment_quant_exact,Transformation (training),0.054761555599300925,4.4501809223399444
ElectricDeviceDetection,256,Medium-short,quant,Classification (inference),0.07149998480163045,4.943290588497008
ElectricDeviceDetection,256,Medium-short,quant,Classification (training),0.7907591140009269,54.67067016663026
ElectricDeviceDetection,256,Medium-short,quant,Transformation (inference),0.4906421277327657,33.92149829220971
ElectricDeviceDetection,256,Medium-short,quant,Transformation (training),0.09350342076601612,6.464540952663015
ElectricDevices,96,Short,moment_quant_approx,Classification (inference),0.18807874453292847,1.437327184929954
ElectricDevices,96,Short,moment_quant_approx,Classification (training),11.73262171663373,89.66253037096786
ElectricDevices,96,Short,moment_quant_approx,Transformation (inference),0.48707976946704246,3.7223397871088197
ElectricDevices,96,Short,moment_quant_approx,Transformation (training),0.6775316249334234,5.177802656993373
ElectricDevices,96,Short,moment_quant_exact,Classification (inference),0.19003586810043385,1.5661276597588878
ElectricDevices,96,Short,moment_quant_exact,Classification (training),11.38445263463412,93.82179448825187
ElectricDevices,96,Short,moment_quant_exact,Transformation (inference),0.2613735499326139,2.1540372887001475
ElectricDevices,96,Short,moment_quant_exact,Transformation (training),0.29826168343303533,2.4580405632891122
ElectricDevices,96,Short,quant,Classification (inference),0.18918250266724496,1.5266579048067175
ElectricDevices,96,Short,quant,Classification (training),11.375708641666764,91.79926936015495
ElectricDevices,96,Short,quant,Transformation (inference),0.3793425084996367,3.0612040282013337
ElectricDevices,96,Short,quant,Transformation (training),0.44770445403361614,3.612868706836996
EthanolLevel,1751,Long,moment_quant_approx,Classification (inference),0.018385887466380712,0.20567895728186097
EthanolLevel,1751,Long,moment_quant_approx,Classification (training),8.45032256943329,94.53193586409749
EthanolLevel,1751,Long,moment_quant_approx,Transformation (inference),0.22937480010004943,2.5659664129664357
EthanolLevel,1751,Long,moment_quant_approx,Transformation (training),0.24103609159986564,2.6964187656542102
EthanolLevel,1751,Long,moment_quant_exact,Classification (inference),0.01872320563367486,0.1903800431541186
EthanolLevel,1751,Long,moment_quant_exact,Classification (training),8.624069763932978,87.6906874786825
EthanolLevel,1751,Long,moment_quant_exact,Transformation (inference),0.5991127819334603,6.0918583874084975
EthanolLevel,1751,Long,moment_quant_exact,Transformation (training),0.592741474899473,6.027074090754882
EthanolLevel,1751,Long,quant,Classification (inference),0.018812869433895638,0.17918859578741572
EthanolLevel,1751,Long,quant,Classification (training),8.620670538900109,82.11006056461977
EthanolLevel,1751,Long,quant,Transformation (inference),0.9256591360661939,8.816707166991003
EthanolLevel,1751,Long,quant,Transformation (training),0.9337786348330458,8.89404367260181
FaceAll,131,Short,moment_quant_approx,Classification (inference),0.03437327073358266,2.258839129118994
FaceAll,131,Short,moment_quant_approx,Classification (training),1.2476824361678154,81.99143832934358
FaceAll,131,Short,moment_quant_approx,Transformation (inference),0.16095801946673113,10.577354576901913
FaceAll,131,Short,moment_quant_approx,Transformation (training),0.07870910419878778,5.172367964635501
FaceAll,131,Short,moment_quant_exact,Classification (inference),0.034380433199597306,2.1591442343544798
FaceAll,131,Short,moment_quant_exact,Classification (training),1.2802547444332353,80.40197265403758
FaceAll,131,Short,moment_quant_exact,Transformation (inference),0.13388010970035485,8.407877389911778
FaceAll,131,Short,moment_quant_exact,Transformation (training),0.14380229166708883,9.031005721696166
FaceAll,131,Short,quant,Classification (inference),0.029941337434138345,1.7293976589273294
FaceAll,131,Short,quant,Classification (training),1.377888859633337,79.58621665961383
FaceAll,131,Short,quant,Transformation (inference),0.1996530028324438,11.53186414787741
FaceAll,131,Short,quant,Transformation (training),0.12383274583286638,7.152521533581425
FaceFour,350,Medium-long,moment_quant_approx,Classification (inference),0.00584799033361676,3.1039155032015313
FaceFour,350,Medium-long,moment_quant_approx,Classification (training),0.12051499713270455,63.965284931848146
FaceFour,350,Medium-long,moment_quant_approx,Transformation (inference),0.033491240233706726,17.776017717621222
FaceFour,350,Medium-long,moment_quant_approx,Transformation (training),0.028552651533148746,15.154781847329106
FaceFour,350,Medium-long,moment_quant_exact,Classification (inference),0.006350019400027376,3.618685985748186
FaceFour,350,Medium-long,moment_quant_exact,Classification (training),0.11856014583293772,67.56387833902733
FaceFour,350,Medium-long,moment_quant_exact,Transformation (inference),0.03754764299980399,21.39727786039219
FaceFour,350,Medium-long,moment_quant_exact,Transformation (training),0.013020788833576514,7.420157814832292
FaceFour,350,Medium-long,quant,Classification (inference),0.005623812299745573,2.7464539018817278
FaceFour,350,Medium-long,quant,Classification (training),0.12088635693241177,59.03625316519009
FaceFour,350,Medium-long,quant,Transformation (inference),0.04675322236726055,22.8324778908279
FaceFour,350,Medium-long,quant,Transformation (training),0.03150291800047848,15.384815042100277
FacesUCR,131,Short,moment_quant_approx,Classification (inference),0.0296313458003472,5.308279325249938
FacesUCR,131,Short,moment_quant_approx,Classification (training),0.3724841193994507,66.72831410744986
FacesUCR,131,Short,moment_quant_approx,Transformation (inference),0.12604431116730358,22.580088516496865
FacesUCR,131,Short,moment_quant_approx,Transformation (training),0.030050219467132853,5.38331805080333
FacesUCR,131,Short,moment_quant_exact,Classification (inference),0.0302556624335314,5.264191256633841
FacesUCR,131,Short,moment_quant_exact,Classification (training),0.3869360207669767,67.3231075959114
FacesUCR,131,Short,moment_quant_exact,Transformation (inference),0.10983131946632052,19.10958231072778
FacesUCR,131,Short,moment_quant_exact,Transformation (training),0.047721738900145236,8.303118836726986
FacesUCR,131,Short,quant,Classification (inference),0.029744130632752733,4.538539153376953
FacesUCR,131,Short,quant,Classification (training),0.38894787776613765,59.34801704779629
FacesUCR,131,Short,quant,Transformation (inference),0.20051404996775088,30.595645164990266
FacesUCR,131,Short,quant,Transformation (training),0.03616188333374638,5.517798633836501
FiftyWords,270,Medium-short,moment_quant_approx,Classification (inference),0.014823343199532204,0.6249069899635005
FiftyWords,270,Medium-short,moment_quant_approx,Classification (training),2.244289176333647,94.61239444517363
FiftyWords,270,Medium-short,moment_quant_approx,Transformation (inference),0.05601443333265096,2.361397861281572
FiftyWords,270,Medium-short,moment_quant_approx,Transformation (training),0.05696096383326218,2.4013007035812945
FiftyWords,270,Medium-short,moment_quant_exact,Classification (inference),0.0151018179332216,0.621772544341529
FiftyWords,270,Medium-short,moment_quant_exact,Classification (training),2.291626794399781,94.35093370452338
FiftyWords,270,Medium-short,moment_quant_exact,Transformation (inference),0.061361627833199796,2.526382958097788
FiftyWords,270,Medium-short,moment_quant_exact,Transformation (training),0.06074295143359143,2.5009107930372942
FiftyWords,270,Medium-short,quant,Classification (inference),0.015232032032993887,0.6096012023799672
FiftyWords,270,Medium-short,quant,Classification (training),2.2929879207668518,91.76767686113325
FiftyWords,270,Medium-short,quant,Transformation (inference),0.095527400032491,3.8231023801617283
FiftyWords,270,Medium-short,quant,Transformation (training),0.09494063753348499,3.7996195563250437
Fish,463,Medium-long,moment_quant_approx,Classification (inference),0.0072223847319643165,0.8409838933202712
Fish,463,Medium-long,moment_quant_approx,Classification (training),0.7541955499997129,87.81951301437753
Fish,463,Medium-long,moment_quant_approx,Transformation (inference),0.04784025420109776,5.57058156392733
Fish,463,Medium-long,moment_quant_approx,Transformation (training),0.049543601366652444,5.768921528374866
Fish,463,Medium-long,moment_quant_exact,Classification (inference),0.007269187466348086,0.7869651801728755
Fish,463,Medium-long,moment_quant_exact,Classification (training),0.7508521625003293,81.28755931536321
Fish,463,Medium-long,moment_quant_exact,Transformation (inference),0.08042674166645152,8.707031637203555
Fish,463,Medium-long,moment_quant_exact,Transformation (training),0.08515065000004439,9.218443867260362
Fish,463,Medium-long,quant,Classification (inference),0.007267702765238893,0.7880230665397604
Fish,463,Medium-long,quant,Classification (training),0.7532316236662154,81.67145975412812
Fish,463,Medium-long,quant,Transformation (inference),0.08087267356725832,8.768868827238713
Fish,463,Medium-long,quant,Transformation (training),0.08089830829970496,8.77164835209341
FloodModeling1_disc,266,Medium-short,moment_quant_approx,Classification (inference),0.006699844466735727,0.9717227993929118
FloodModeling1_disc,266,Medium-short,moment_quant_approx,Classification (training),0.5945947984650654,86.23802014174845
FloodModeling1_disc,266,Medium-short,moment_quant_approx,Transformation (inference),0.03269972233344252,4.742657218833172
FloodModeling1_disc,266,Medium-short,moment_quant_approx,Transformation (training),0.05548667510156515,8.047599840025455
FloodModeling1_disc,266,Medium-short,moment_quant_exact,Classification (inference),0.00685306120091501,0.9190264913497699
FloodModeling1_disc,266,Medium-short,moment_quant_exact,Classification (training),0.6305172555352329,84.55521468459415
FloodModeling1_disc,266,Medium-short,moment_quant_exact,Transformation (inference),0.05567006253162007,7.46560708298154
FloodModeling1_disc,266,Medium-short,moment_quant_exact,Transformation (training),0.05264663469958269,7.060151741074544
FloodModeling1_disc,266,Medium-short,quant,Classification (inference),0.006972573634023573,0.8931300336885483
FloodModeling1_disc,266,Medium-short,quant,Classification (training),0.6311588734325293,80.8463238223746
FloodModeling1_disc,266,Medium-short,quant,Transformation (inference),0.05081448893373206,6.508923188963348
FloodModeling1_disc,266,Medium-short,quant,Transformation (training),0.09174370280040114,11.751622954973502
FloodModeling2_disc,266,Medium-short,moment_quant_approx,Classification (inference),0.006160518066705313,1.386474336251495
FloodModeling2_disc,266,Medium-short,moment_quant_approx,Classification (training),0.35063701113152396,78.91369070098087
FloodModeling2_disc,266,Medium-short,moment_quant_approx,Transformation (inference),0.032259398501870803,7.260238123069737
FloodModeling2_disc,266,Medium-short,moment_quant_approx,Transformation (training),0.05527283056726442,12.439596839697906
FloodModeling2_disc,266,Medium-short,moment_quant_exact,Classification (inference),0.006081144499087971,1.2415010573140783
FloodModeling2_disc,266,Medium-short,moment_quant_exact,Classification (training),0.3743117375667983,76.41792067660049
FloodModeling2_disc,266,Medium-short,moment_quant_exact,Transformation (inference),0.05518864023470081,11.267082243051986
FloodModeling2_disc,266,Medium-short,moment_quant_exact,Transformation (training),0.05424041246636378,11.073496023033444
FloodModeling2_disc,266,Medium-short,quant,Classification (inference),0.0063436221350759965,1.2169283625556073
FloodModeling2_disc,266,Medium-short,quant,Classification (training),0.3737731764646014,71.70275434396225
FloodModeling2_disc,266,Medium-short,quant,Transformation (inference),0.0505152652675557,9.690592809146294
FloodModeling2_disc,266,Medium-short,quant,Transformation (training),0.09064941253406379,17.389724484335865
FloodModeling3_disc,266,Medium-short,moment_quant_approx,Classification (inference),0.006564584566027967,1.0674393701243663
FloodModeling3_disc,266,Medium-short,moment_quant_approx,Classification (training),0.5251800609999918,85.39731157045762
FloodModeling3_disc,266,Medium-short,moment_quant_approx,Transformation (inference),0.0308349584336004,5.013942356460339
FloodModeling3_disc,266,Medium-short,moment_quant_approx,Transformation (training),0.05240469859951792,8.521306702957686
FloodModeling3_disc,266,Medium-short,moment_quant_exact,Classification (inference),0.006636772267423366,0.9918156755090706
FloodModeling3_disc,266,Medium-short,moment_quant_exact,Classification (training),0.5628618194998125,84.11546354628886
FloodModeling3_disc,266,Medium-short,moment_quant_exact,Transformation (inference),0.051073626298360326,7.632569135519307
FloodModeling3_disc,266,Medium-short,moment_quant_exact,Transformation (training),0.04858158049852737,7.2601516426827715
FloodModeling3_disc,266,Medium-short,quant,Classification (inference),0.00700041383339941,0.997028013550644
FloodModeling3_disc,266,Medium-short,quant,Classification (training),0.5630575944650142,80.1930011973947
FloodModeling3_disc,266,Medium-short,quant,Transformation (inference),0.047856223635123214,6.815882135326891
FloodModeling3_disc,266,Medium-short,quant,Transformation (training),0.08421386660096077,11.994088653727777
FordA,500,Medium-long,moment_quant_approx,Classification (inference),0.028198548532964156,0.1794174168863551
FordA,500,Medium-long,moment_quant_approx,Classification (training),14.73874348749887,93.77742551487508
FordA,500,Medium-long,moment_quant_approx,Transformation (inference),0.23708662783416606,1.5084985773142299
FordA,500,Medium-long,moment_quant_approx,Transformation (training),0.7126999694669697,4.534658490924334
FordA,500,Medium-long,moment_quant_exact,Classification (inference),0.029112648633842234,0.17444134921566182
FordA,500,Medium-long,moment_quant_exact,Classification (training),15.268072319432637,91.4854285098628
FordA,500,Medium-long,moment_quant_exact,Transformation (inference),0.3550773098002537,2.1276032207327558
FordA,500,Medium-long,moment_quant_exact,Transformation (training),1.0368133138671207,6.212526920188781
FordA,500,Medium-long,quant,Classification (inference),0.029146897299991252,0.1657115380908117
FordA,500,Medium-long,quant,Classification (training),15.271929292967009,86.82690533762045
FordA,500,Medium-long,quant,Transformation (inference),0.6174442304996773,3.5104125172674867
FordA,500,Medium-long,quant,Transformation (training),1.6704161347666135,9.496970607021256
FordB,500,Medium-long,moment_quant_approx,Classification (inference),0.020535237499522376,0.10982956245244369
FordB,500,Medium-long,moment_quant_approx,Classification (training),17.836980113966515,95.39834742283581
FordB,500,Medium-long,moment_quant_approx,Transformation (inference),0.14600816246747853,0.7809022222733706
FordB,500,Medium-long,moment_quant_approx,Transformation (training),0.6938445179332727,3.7109207924383876
FordB,500,Medium-long,moment_quant_exact,Classification (inference),0.020831204233157482,0.10836184452889434
FordB,500,Medium-long,moment_quant_exact,Classification (training),17.958071279133097,93.41609377007504
FordB,500,Medium-long,moment_quant_exact,Transformation (inference),0.20931328053314546,1.088826786444866
FordB,500,Medium-long,moment_quant_exact,Transformation (training),1.035528833400167,5.386717598951204
FordB,500,Medium-long,quant,Classification (inference),0.020845883299383132,0.10431215113647158
FordB,500,Medium-long,quant,Classification (training),17.958524070799953,89.86389543477304
FordB,500,Medium-long,quant,Transformation (inference),0.3468220666669367,1.7354868256743763
FordB,500,Medium-long,quant,Transformation (training),1.6579450833669398,8.296305588416102
FreezerRegularTrain,301,Medium-short,moment_quant_approx,Classification (inference),0.022474686100273738,3.95748521338219
FreezerRegularTrain,301,Medium-short,moment_quant_approx,Classification (training),0.1699983986346827,29.934395786164664
FreezerRegularTrain,301,Medium-short,moment_quant_approx,Transformation (inference),0.3367479693653877,59.296717358102214
FreezerRegularTrain,301,Medium-short,moment_quant_approx,Transformation (training),0.03868216949922494,6.811401642350934
FreezerRegularTrain,301,Medium-short,moment_quant_exact,Classification (inference),0.021021494400580744,3.132696637199955
FreezerRegularTrain,301,Medium-short,moment_quant_exact,Classification (training),0.15606262913327856,23.256998963161212
FreezerRegularTrain,301,Medium-short,moment_quant_exact,Transformation (inference),0.43383062919989845,64.65095807704884
FreezerRegularTrain,301,Medium-short,moment_quant_exact,Transformation (training),0.0601203596660828,8.959346322590003
FreezerRegularTrain,301,Medium-short,quant,Classification (inference),0.020729993133378786,2.1345933359768825
FreezerRegularTrain,301,Medium-short,quant,Classification (training),0.15598892223376118,16.06237453838131
FreezerRegularTrain,301,Medium-short,quant,Transformation (inference),0.7377226985326464,75.96422950816495
FreezerRegularTrain,301,Medium-short,quant,Transformation (training),0.05670323060015405,5.838802617476854
FreezerSmallTrain,301,Medium-short,moment_quant_approx,Classification (inference),0.020196334633025448,4.303350773440469
FreezerSmallTrain,301,Medium-short,moment_quant_approx,Classification (training),0.08417454859906376,17.935561843259098
FreezerSmallTrain,301,Medium-short,moment_quant_approx,Transformation (inference),0.33765393890086365,71.94589342702845
FreezerSmallTrain,301,Medium-short,moment_quant_approx,Transformation (training),0.027291663933525907,5.815193956271981
FreezerSmallTrain,301,Medium-short,moment_quant_exact,Classification (inference),0.019101343133418842,3.500375957814528
FreezerSmallTrain,301,Medium-short,moment_quant_exact,Classification (training),0.08119174156672668,14.878619695388553
FreezerSmallTrain,301,Medium-short,moment_quant_exact,Transformation (inference),0.4305519790997399,78.89988602913739
FreezerSmallTrain,301,Medium-short,moment_quant_exact,Transformation (training),0.014848980600557551,2.721118317659524
FreezerSmallTrain,301,Medium-short,quant,Classification (inference),0.019271752599646145,2.260405545430346
FreezerSmallTrain,301,Medium-short,quant,Classification (training),0.08039981530043099,9.430184795959175
FreezerSmallTrain,301,Medium-short,quant,Transformation (inference),0.7219886681336599,84.68286320867155
FreezerSmallTrain,301,Medium-short,quant,Transformation (training),0.03091918886663426,3.6265464499389415
GestureMidAirD1,360,Medium-long,moment_quant_approx,Classification (inference),0.007210408300064296,0.5869916913741513
GestureMidAirD1,360,Medium-long,moment_quant_approx,Classification (training),1.1381997290664003,92.65963261474798
GestureMidAirD1,360,Medium-long,moment_quant_approx,Transformation (inference),0.03690974320149199,3.00478304256864
GestureMidAirD1,360,Medium-long,moment_quant_approx,Transformation (training),0.046046449998781665,3.748592651309236
GestureMidAirD1,360,Medium-long,moment_quant_exact,Classification (inference),0.007422047101135796,0.5607972688900513
GestureMidAirD1,360,Medium-long,moment_quant_exact,Classification (training),1.1748734167325892,88.7714392562037
GestureMidAirD1,360,Medium-long,moment_quant_exact,Transformation (inference),0.05312140276752563,4.013762939752562
GestureMidAirD1,360,Medium-long,moment_quant_exact,Transformation (training),0.08806445416654844,6.654000535153688
GestureMidAirD1,360,Medium-long,quant,Classification (inference),0.007343476433500907,0.5559156485127181
GestureMidAirD1,360,Medium-long,quant,Classification (training),1.1753840264340396,88.9788888442122
GestureMidAirD1,360,Medium-long,quant,Transformation (inference),0.056484373600202725,4.275978477651566
GestureMidAirD1,360,Medium-long,quant,Transformation (training),0.08175767226639433,6.18921702962353
GestureMidAirD2,360,Medium-long,moment_quant_approx,Classification (inference),0.00722105003563527,0.5677266203584505
GestureMidAirD2,360,Medium-long,moment_quant_approx,Classification (training),1.180999449933976,92.85143061568878
GestureMidAirD2,360,Medium-long,moment_quant_approx,Transformation (inference),0.03736127646407108,2.9373832219068348
GestureMidAirD2,360,Medium-long,moment_quant_approx,Transformation (training),0.046342029266330985,3.6434595420459392
GestureMidAirD2,360,Medium-long,moment_quant_exact,Classification (inference),0.00734758069787248,0.5414404019159499
GestureMidAirD2,360,Medium-long,moment_quant_exact,Classification (training),1.2066408112009717,88.91689831647774
GestureMidAirD2,360,Medium-long,moment_quant_exact,Transformation (inference),0.05404194296813023,3.9823300381655913
GestureMidAirD2,360,Medium-long,moment_quant_exact,Transformation (training),0.08901296516608755,6.559331243440714
GestureMidAirD2,360,Medium-long,quant,Classification (inference),0.00735892633432129,0.5435846129352269
GestureMidAirD2,360,Medium-long,quant,Classification (training),1.2069865305655791,89.15693352922175
GestureMidAirD2,360,Medium-long,quant,Transformation (inference),0.05846533616616697,4.318681243185039
GestureMidAirD2,360,Medium-long,quant,Transformation (training),0.08096673470184515,5.980800614657997
GestureMidAirD3,360,Medium-long,moment_quant_approx,Classification (inference),0.007398102767183396,0.519721597621716
GestureMidAirD3,360,Medium-long,moment_quant_approx,Classification (training),1.3343918791681062,93.74190939479553
GestureMidAirD3,360,Medium-long,moment_quant_approx,Transformation (inference),0.03591609173211807,2.523129126854663
GestureMidAirD3,360,Medium-long,moment_quant_approx,Transformation (training),0.045768109633354426,3.215239880728079
GestureMidAirD3,360,Medium-long,moment_quant_exact,Classification (inference),0.007548219366678143,0.4958166886979913
GestureMidAirD3,360,Medium-long,moment_quant_exact,Classification (training),1.3719942762346666,90.1216069525336
GestureMidAirD3,360,Medium-long,moment_quant_exact,Transformation (inference),0.05395546680034987,3.5441498963585416
GestureMidAirD3,360,Medium-long,moment_quant_exact,Transformation (training),0.08888309873194274,5.838426462409888
GestureMidAirD3,360,Medium-long,quant,Classification (inference),0.007567709768287943,0.49887925195729294
GestureMidAirD3,360,Medium-long,quant,Classification (training),1.372836776433784,90.50027089525781
GestureMidAirD3,360,Medium-long,quant,Transformation (inference),0.05793612636577257,3.8192705940939677
GestureMidAirD3,360,Medium-long,quant,Transformation (training),0.07860156103367137,5.18157925869092
GesturePebbleZ1,455,Medium-long,moment_quant_approx,Classification (inference),0.00669576676591528,1.1145281076601055
GesturePebbleZ1,455,Medium-long,moment_quant_approx,Classification (training),0.5049031165345998,84.0424606614975
GesturePebbleZ1,455,Medium-long,moment_quant_approx,Transformation (inference),0.046539942998788275,7.746696743544393
GesturePebbleZ1,455,Medium-long,moment_quant_approx,Transformation (training),0.04263263203320088,7.096314487297985
GesturePebbleZ1,455,Medium-long,moment_quant_exact,Classification (inference),0.0066457889993519394,1.0539816130612032
GesturePebbleZ1,455,Medium-long,moment_quant_exact,Classification (training),0.4618427167656288,73.24543882519792
GesturePebbleZ1,455,Medium-long,moment_quant_exact,Transformation (inference),0.08980192619977359,14.24203793428744
GesturePebbleZ1,455,Medium-long,moment_quant_exact,Transformation (training),0.07225083336622141,11.458541627453426
GesturePebbleZ1,455,Medium-long,quant,Classification (inference),0.006655931899149397,1.061618469553857
GesturePebbleZ1,455,Medium-long,quant,Classification (training),0.4613361597342494,73.58293252812841
GesturePebbleZ1,455,Medium-long,quant,Transformation (inference),0.08608034723438318,13.729780874306885
