Series length,Number of samples,Estimator,Run,Runtime
9,1,moment_quant_approx_samples,3,0.0016099160000067059
9,1,moment_quant_approx_samples,12,0.0016607920000524246
9,1,moment_quant_approx_samples,26,0.0018377090000285534
9,1,moment_quant_exact_intervals,9,0.0006952920000458107
9,1,moment_quant_exact_intervals,21,0.0006178749999889988
9,1,moment_quant_approx_samples,16,0.0018869169999788937
9,1,moment_quant_approx_samples,20,0.0020372080000470305
9,1,moment_quant_approx_samples,6,0.0019580420000693266
9,1,moment_quant_exact_samples,13,0.0001474580000149217
9,1,moment_quant_approx_samples,11,0.0019047499999942374
9,1,moment_quant_exact_intervals,27,0.0006155830000125206
9,1,moment_quant_exact_intervals,24,0.0005411249999269785
9,1,moment_quant_approx_intervals,21,0.0023790830000507412
9,1,moment_quant_exact_intervals,18,0.000736666000079822
9,1,moment_quant_approx_intervals,22,0.004231750000030843
9,1,moment_quant_approx_samples,14,0.002206417000024885
9,1,moment_quant_approx_samples,1,0.0016942920000246886
9,1,moment_quant_exact_samples,6,9.991700005684834e-05
9,1,moment_quant_approx_intervals,0,0.002229499999998552
9,1,moment_quant_exact_intervals,16,0.0005772089999709351
9,1,moment_quant_exact_samples,10,8.687499996540282e-05
9,1,moment_quant_approx_intervals,4,0.0022349160000203483
9,1,moment_quant_exact_samples,14,8.841599992592819e-05
9,3,moment_quant_exact_samples,7,0.00012383399996451772
9,3,moment_quant_exact_samples,17,0.00011016600001312327
9,3,moment_quant_approx_samples,11,0.0020547080000596907
9,3,moment_quant_exact_intervals,29,0.001158709000037561
9,3,moment_quant_approx_samples,22,0.0019838330000538917
9,3,moment_quant_approx_intervals,17,0.00271504099998765
9,3,moment_quant_exact_intervals,5,0.0005977499999971769
9,3,moment_quant_approx_intervals,1,0.002201541000090401
9,3,moment_quant_approx_samples,9,0.0016732079999428606
9,3,moment_quant_exact_samples,25,0.00012579200006257452
9,3,moment_quant_exact_intervals,14,0.0005680410000650227
9,3,moment_quant_approx_intervals,18,0.0022147499998936837
9,3,moment_quant_exact_intervals,21,0.0005397079999056587
9,3,moment_quant_exact_samples,23,0.00012316699996972602
9,3,moment_quant_exact_samples,10,0.00010995800005275669
9,3,moment_quant_exact_intervals,23,0.0005315829999972266
9,3,moment_quant_approx_samples,7,0.0019360830000323404
9,3,moment_quant_approx_intervals,12,0.002612582999972801
9,3,moment_quant_approx_intervals,7,0.0022448750000876316
9,3,moment_quant_exact_intervals,18,0.0005856669999957376
9,3,moment_quant_approx_samples,3,0.0016736669999772857
9,3,moment_quant_approx_intervals,2,0.0021866669999326405
9,3,moment_quant_approx_intervals,8,0.0021727910000208794
9,3,moment_quant_approx_intervals,20,0.0021673749999990832
9,3,moment_quant_exact_intervals,2,0.0005459589999645686
9,3,moment_quant_exact_intervals,7,0.0005247919999646911
9,3,moment_quant_exact_intervals,16,0.0006122920000279919
9,3,moment_quant_exact_samples,9,0.00016083299999536393
9,3,moment_quant_approx_samples,16,0.0017135420000613522
9,3,moment_quant_exact_intervals,17,0.0005492080000522037
9,3,moment_quant_approx_samples,26,0.0016529999999193024
9,3,moment_quant_exact_intervals,4,0.0005382500000905566
9,3,moment_quant_exact_samples,19,0.00011212499998691783
9,3,moment_quant_approx_samples,21,0.001652000000035514
9,3,moment_quant_approx_intervals,10,0.0021900000000414366
9,3,moment_quant_approx_intervals,4,0.0021742079999285124
9,3,moment_quant_exact_samples,29,0.00011441700007708278
9,3,moment_quant_exact_intervals,28,0.0005400000000008731
9,3,moment_quant_approx_samples,0,0.0016568339999594173
9,3,moment_quant_exact_samples,13,0.00010812499999701686
9,3,moment_quant_approx_intervals,5,0.002179666000074576
9,3,moment_quant_exact_samples,22,0.00011308299997381255
9,3,moment_quant_exact_samples,18,0.00010412500000711589
9,3,moment_quant_exact_samples,6,0.00010037499998816202
9,3,moment_quant_exact_samples,27,0.0001014590000067983
9,3,moment_quant_exact_intervals,9,0.0006091249999826687
9,3,moment_quant_approx_intervals,24,0.00221329099997547
9,3,moment_quant_approx_samples,24,0.0016565419999778896
9,3,moment_quant_exact_samples,15,0.0001180840000643002
9,3,moment_quant_approx_samples,15,0.00164783399998214
9,3,moment_quant_approx_intervals,11,0.0021902919999092774
9,3,moment_quant_exact_samples,8,0.00012408300005972706
9,3,moment_quant_exact_intervals,1,0.0005560419999710575
9,3,moment_quant_exact_intervals,3,0.0005259159999013718
9,3,moment_quant_exact_samples,12,0.00011279199998170952
9,3,moment_quant_approx_samples,25,0.0016780419999804508
9,3,moment_quant_approx_samples,6,0.0017236249999541542
9,3,moment_quant_approx_samples,10,0.0016470829999661873
9,3,moment_quant_approx_intervals,13,0.002186749999964377
9,3,moment_quant_exact_intervals,19,0.0005718329999808702
9,3,moment_quant_exact_intervals,26,0.000527291000025798
9,3,moment_quant_exact_samples,26,0.00010804199996528041
9,3,moment_quant_exact_samples,3,0.00010354200003348524
9,3,moment_quant_approx_samples,28,0.0016614579999441048
9,3,moment_quant_approx_intervals,25,0.0021784580000030473
9,3,moment_quant_approx_samples,19,0.0016402500000367581
9,3,moment_quant_exact_samples,24,0.00011070799996559799
9,3,moment_quant_approx_intervals,16,0.0021698750000496148
9,3,moment_quant_exact_samples,5,0.00010975000009239011
9,3,moment_quant_approx_samples,8,0.0016459169999052392
9,3,moment_quant_approx_intervals,15,0.002278208000006998
9,3,moment_quant_approx_samples,18,0.0017107499999156062
9,3,moment_quant_exact_intervals,13,0.0005839589999823147
9,3,moment_quant_approx_samples,12,0.0017286250000552172
9,3,moment_quant_approx_samples,23,0.0016934590000801109
9,3,moment_quant_exact_intervals,12,0.0005718749999914507
9,3,moment_quant_approx_samples,2,0.0016650420000132726
9,3,moment_quant_exact_samples,28,0.00012091700000382843
9,3,moment_quant_exact_samples,2,0.00010891700003412552
9,3,moment_quant_exact_intervals,27,0.0005435000000488799
9,3,moment_quant_approx_intervals,19,0.0021949580000182323
9,3,moment_quant_approx_samples,14,0.0016485829999055568
9,3,moment_quant_approx_intervals,23,0.0021732499999416177
9,3,moment_quant_approx_intervals,14,0.002179209000019
9,3,moment_quant_exact_intervals,24,0.0005471250000255168
9,3,moment_quant_exact_intervals,8,0.0005279160000100092
9,3,moment_quant_approx_intervals,26,0.0021909170000071754
9,3,moment_quant_exact_samples,1,0.00011937499994019163
9,3,moment_quant_approx_intervals,27,0.002200916999981928
9,3,moment_quant_exact_intervals,25,0.00054558299996188
9,3,moment_quant_approx_intervals,29,0.0021874169999591686
9,3,moment_quant_approx_samples,4,0.0016547499999433057
9,3,moment_quant_exact_intervals,11,0.0005450419999988299
9,3,moment_quant_approx_samples,27,0.001651584000001094
9,3,moment_quant_exact_intervals,10,0.0005375419999609221
9,3,moment_quant_approx_samples,1,0.0016507079999428242
9,3,moment_quant_exact_samples,20,0.00011058299992328102
9,3,moment_quant_approx_intervals,21,0.002173874999925829
9,3,moment_quant_approx_intervals,28,0.0022118330000466813
9,3,moment_quant_exact_intervals,20,0.0005851250000432628
9,3,moment_quant_approx_intervals,3,0.002259209000044393
9,3,moment_quant_exact_samples,11,0.00012524999999641295
9,3,moment_quant_exact_samples,16,0.0001118330000053902
9,3,moment_quant_approx_intervals,9,0.002183209000008901
9,3,moment_quant_exact_samples,4,0.00011770899993734929
9,3,moment_quant_approx_samples,20,0.0016495840000061435
9,3,moment_quant_approx_samples,17,0.0016386669999519654
9,3,moment_quant_exact_intervals,22,0.0005464580000307251
9,3,moment_quant_exact_intervals,6,0.0005230829999618436
9,3,moment_quant_approx_samples,29,0.0016601250000576329
9,3,moment_quant_approx_samples,13,0.0016409170000315498
9,3,moment_quant_exact_samples,0,0.00010941699997601972
9,3,moment_quant_exact_intervals,0,0.0005346250000002328
9,3,moment_quant_approx_intervals,0,0.002194874999986496
9,3,moment_quant_approx_intervals,22,0.002208209000059469
9,3,moment_quant_exact_samples,21,0.0001256669999065707
9,3,moment_quant_exact_intervals,15,0.0005510409999942567
9,3,moment_quant_approx_samples,5,0.001665000000002692
9,3,moment_quant_approx_intervals,6,0.0021973749999233405
9,3,moment_quant_exact_samples,14,0.00011749999998755811
9,10,moment_quant_approx_intervals,28,0.002246375000027001
9,10,moment_quant_exact_samples,21,0.00020250000000032742
9,10,moment_quant_exact_samples,1,0.00019391700004689483
9,10,moment_quant_exact_intervals,12,0.0005495420000443119
9,10,moment_quant_approx_samples,3,0.0016829999999572465
9,10,moment_quant_approx_samples,11,0.001791791999949055
9,10,moment_quant_approx_samples,7,0.0018265420000034283
9,10,moment_quant_exact_samples,2,0.00022158299998409348
9,10,moment_quant_approx_intervals,10,0.0022280000000591826
9,10,moment_quant_exact_intervals,24,0.0005664999999908105
9,10,moment_quant_exact_intervals,13,0.0005536670000765298
9,10,moment_quant_approx_intervals,3,0.002827499999966676
9,10,moment_quant_approx_samples,15,0.0017463750000388245
9,10,moment_quant_approx_intervals,8,0.002233916999898611
9,10,moment_quant_approx_samples,14,0.0016801250000071377
9,10,moment_quant_approx_intervals,25,0.002204666000011457
9,10,moment_quant_exact_intervals,8,0.0005693750000546061
9,10,moment_quant_approx_samples,24,0.0016837090000763055
9,10,moment_quant_exact_samples,17,0.0002142089999779273
9,10,moment_quant_exact_intervals,15,0.0005393750000166619
9,10,moment_quant_exact_intervals,4,0.0005289580000180649
9,10,moment_quant_exact_intervals,9,0.000525042000049325
9,10,moment_quant_approx_samples,5,0.0017326670000556987
9,10,moment_quant_approx_intervals,9,0.0024019999999609354
9,10,moment_quant_exact_samples,18,0.0002144579999594498
9,10,moment_quant_approx_intervals,29,0.0022213329999658527
9,10,moment_quant_approx_samples,20,0.0016805829999384514
9,10,moment_quant_approx_intervals,2,0.002215041999988898
9,10,moment_quant_exact_intervals,28,0.0005625000000009095
9,10,moment_quant_approx_samples,6,0.001716957999974511
9,10,moment_quant_exact_samples,16,0.00021654199997556134
9,10,moment_quant_exact_samples,28,0.00020825000001423177
9,10,moment_quant_exact_samples,10,0.00020866600004865177
9,10,moment_quant_approx_samples,25,0.0017045409999809635
9,10,moment_quant_approx_intervals,5,0.002256417000012334
9,10,moment_quant_exact_intervals,5,0.0005573749999712163
9,10,moment_quant_approx_intervals,18,0.002331541999978981
9,10,moment_quant_exact_samples,4,0.00023708399999122776
9,10,moment_quant_approx_intervals,21,0.0022313749999511856
9,10,moment_quant_exact_intervals,29,0.0005667919999723381
9,10,moment_quant_exact_intervals,20,0.0005355410000902339
9,10,moment_quant_approx_samples,21,0.0016923339999266318
9,10,moment_quant_exact_samples,9,0.00020199999994474638
9,10,moment_quant_approx_samples,2,0.0016754999999193387
9,10,moment_quant_approx_intervals,16,0.002221665999968536
9,10,moment_quant_exact_intervals,23,0.0005504160000100455
9,10,moment_quant_exact_intervals,22,0.0005297919999520673
9,10,moment_quant_exact_samples,14,0.00020587500000601722
9,10,moment_quant_exact_samples,8,0.00019841699997869
9,10,moment_quant_exact_intervals,25,0.000610625000035725
9,10,moment_quant_exact_samples,13,0.00024312499999723514
9,10,moment_quant_approx_intervals,4,0.0022464579999450507
9,10,moment_quant_approx_samples,26,0.0017401249999693391
9,10,moment_quant_exact_intervals,6,0.0005472079999435664
9,10,moment_quant_approx_intervals,27,0.0022256249999372812
9,10,moment_quant_approx_samples,10,0.0016782499999408174
9,10,moment_quant_exact_samples,22,0.0002064999999902284
9,10,moment_quant_approx_samples,4,0.0016671249999262727
9,10,moment_quant_approx_samples,27,0.00166245799994158
9,10,moment_quant_exact_intervals,1,0.00054558299996188
9,10,moment_quant_exact_samples,12,0.00020424999991064396
9,10,moment_quant_exact_intervals,14,0.0005311249999522261
9,10,moment_quant_exact_samples,26,0.00019991600004232168
9,10,moment_quant_approx_intervals,14,0.002219708999973591
9,10,moment_quant_approx_intervals,13,0.0022000419999130827
9,10,moment_quant_exact_samples,5,0.000200875000018641
9,10,moment_quant_exact_samples,20,0.0001918330000307833
9,10,moment_quant_exact_samples,3,0.00018591699995340605
9,10,moment_quant_exact_intervals,18,0.0005385829999795533
9,10,moment_quant_exact_samples,15,0.00019770900007642922
9,10,moment_quant_exact_intervals,10,0.0005820000000085201
9,10,moment_quant_approx_samples,29,0.0017320419999578007
9,10,moment_quant_approx_intervals,11,0.002237499999978354
9,10,moment_quant_approx_samples,8,0.0016832909999493495
9,10,moment_quant_exact_samples,0,0.0002031249999845386
9,10,moment_quant_approx_samples,9,0.0016730419999930746
9,10,moment_quant_exact_intervals,11,0.0005556249999472129
9,10,moment_quant_exact_samples,7,0.00019670899996526714
9,10,moment_quant_approx_samples,1,0.0016789590000598764
9,10,moment_quant_approx_intervals,20,0.0022103750000042055
9,10,moment_quant_approx_samples,17,0.0016772499999433421
9,10,moment_quant_approx_intervals,23,0.002203666000013982
9,10,moment_quant_exact_samples,25,0.0001970839999785312
9,10,moment_quant_approx_intervals,12,0.002262125000015658
9,10,moment_quant_exact_intervals,21,0.0005476669999779915
9,10,moment_quant_exact_samples,11,0.000202291999926274
9,10,moment_quant_approx_intervals,17,0.002210083000022678
9,10,moment_quant_exact_samples,27,0.00020295800004532794
9,10,moment_quant_approx_samples,0,0.0016770000000860819
9,10,moment_quant_approx_intervals,0,0.002220624999949905
9,10,moment_quant_exact_samples,29,0.00019625000004452886
9,10,moment_quant_exact_intervals,3,0.0005430410000144548
